GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1662,2023,0,ULM,UAB,0,0,0,0,0,0,0,0,0,0,0,AI,AI,,Joe Aillet Stadium,Monroe,LA,,
1663,2023,0,CMU,NW,,,,,0,0,0,0,0,0,0,Time,AI,,Kelly/Shorts Stadium,Mount Pleasant,MI,,
1664,2023,0,WAST,PNST,,,,,0,0,0,0,0,0,0,TuscanSota,Rocketcan,,Martin Stadium,Pullman,WA,,
1665,2023,0,JXST,UTEP,,,,,0,0,0,0,0,0,0,AI,AI,,Mississippi Veterans Memorial Stadium,Jackson,MS,,
1666,2023,0,CONN,BALL,,,,,0,0,0,0,0,0,0,bradypeterson,npklemm,,Pratt & Whitney Stadium at Rentschler Field,Storrs,CT,,
1667,2023,0,AKRN,FRES,,,,,0,0,0,0,0,0,0,AI,tjrandall12,,InfoCision Stadium-Summa Field,Akron,OH,,
1668,2023,0,ARK,ARST,,,,,0,0,0,0,0,0,0,TheProfessional,AI,,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,,
1669,2023,0,PV,BCU,,,,,0,0,0,0,0,0,0,AI,AI,,Blackshear Field,Prairie View,TX,,
1670,2023,0,JST,UNCO,,,,,0,0,0,0,0,0,0,AI,AI,,Burgess-Snow Field at JSU Stadium,Jacksonville,AL,,
1671,2023,1,CHAR,WAKE,,,,,0,0,0,0,0,0,0,AI,deacdixieboy,,McColl-Richardson Field at Jerry Richardson Stadium,Charlotte,NC,,
1672,2023,1,TEMP,GAST,,,,,0,0,0,0,0,0,0,SandyToez,AI,,Lincoln Financial Field,Philadelphia,PA,,
1673,2023,1,UCF,USF,,,,,0,0,0,0,0,0,0,rajmurti,AI,,Bounce House,Orlando,FL,,
1674,2023,1,ILLI,ECU,,,,,0,0,0,0,0,0,0,nemolee.exe,ObliviousLAX,,Memorial Stadium,Urbana Champaign,IL,,
1675,2023,1,GASO,MEMP,,,,,0,0,0,0,0,0,0,theorupturetan,PersonnelGuy,,Allen E. Paulson Stadium,Statesboro,GA,,
1676,2023,1,KNSW,NAVY,,,,,0,0,0,0,0,0,0,AI,Syndakyt,,Fifth Third Bank Stadium,Kennesaw,GA,,
1677,2023,1,IND,SMU,,,,,0,0,0,0,0,0,0,Piercewise1,jw1952tx,,Memorial Stadium,Bloomington,IN,,
1678,2023,1,UTST,TLNE,,,,,0,0,0,0,0,0,0,Ewade,kgreene829,,Merlin Olsen Field at Maverik Stadium,Logan,UT,,
1679,2023,1,TULS,UTC,,,,,0,0,0,0,0,0,0,acewulf,AI,,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,,
1680,2023,1,GT,UNT,,,,,0,0,0,0,0,0,0,Bobbyb72,AI,,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,,
1681,2023,1,RICE,BAYL,,,,,0,0,0,0,0,0,0,AI,Vivid,,Rice Stadium,Houston,TX,,
1682,2023,1,FAU,LU,,,,,0,0,0,0,0,0,0,AI,GodMosses,,FAU Stadium,Boca Raton,FL,,
1683,2023,1,CLEM,FLA,,,,,0,0,0,0,0,0,0,Chickendawg,Weeze,,Frank Howard Field at Clemson Memorial Stadium,Clemson,SC,,
1684,2023,1,FAMU,FSU,,,,,0,0,0,0,0,0,0,AI,Kirby,,Bragg Memorial Stadium,Tallahassee,FL,,
1685,2023,1,LOU,TAMU,,,,,0,0,0,0,0,0,0,GK,gigemags,,Cardinal Stadium,Louisville,KY,,
1686,2023,1,RUTG,CUSE,,,,,0,0,0,0,0,0,0,AI,taffyowner,,High Point Solutions Stadium,Piscataway,NJ,,
1687,2023,1,CAL,DUKE,,,,,0,0,0,0,0,0,0,believer,gren,,California Memorial Stadium,Berkeley,CA,,
1688,2023,1,ORST,MIAF,,,,,0,0,0,0,0,0,0,SKLL,cultur3,,Reser Stadium,Corvallis,OR,,
1689,2023,1,BALL,UNC,,,,,0,0,0,0,0,0,0,npklemm,Tryggr,,Scheumann Stadium,Muncie,IN,,
1690,2023,1,PITT,PENN,,,,,0,0,0,0,0,0,0,TheLiberator,AI,,Heinz Field,Pittsburgh,PA,,
1691,2023,1,ULL,UVA,,,,,0,0,0,0,0,0,0,AI,AI,,Cajun Field,Lafayette,LA,,
1692,2023,1,VT,JMU,,,,,0,0,0,0,0,0,0,AI,Suffocation,,Worsham Field at Lane Stadium,Blacksburg,VA,,
1693,2023,1,NMSU,TEX,,,,,0,0,0,0,0,0,0,AI,joopear,,Aggie Memorial Stadium,Las Cruces,NM,,
1694,2023,1,TCU,ULM,,,,,0,0,0,0,0,0,0,Giambro,AI,,Amon G. Carter Stadium,Fort Worth,TX,,
1695,2023,1,TTU,NIU,,,,,0,0,0,0,0,0,0,rcarlson77,AI,,Jones AT&T Stadium,Lubbock,TX,,
1696,2023,1,OKST,USAF,,,,,0,0,0,0,0,0,0,Broletariat,jgreene816,,Boone Pickens Stadium,Stillwater,OK,,
1697,2023,1,BYU,IDST,,,,,0,0,0,0,0,0,0,Curby4,AI,,LaVell Edwards Stadium,Provo,UT,,
1698,2023,1,UHOU,UCLA,,,,,0,0,0,0,0,0,0,mahrowkeen,jmjacobs,,John O'Quinn Field at TDECU Stadium,Houston,TX,,
1699,2023,1,ARK,OKLA,,,,,0,0,0,0,0,0,0,TheProfessional,DStack,,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,,
1700,2023,1,ARST,KSST,,,,,0,0,0,0,0,0,0,AI,Swipet,,Centennial Bank Stadium,Jonesboro,AR,,
