GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,home bye,prev bye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGame,NextGameHOA
3995,2024,15,UNC,GT,0,0,0,0,1,0,1,1,0,0,0,0,0,Tryggr,ATonOfLaw,Saturday Morning,Bank of America Stadium,Charlotte,NC,0,2024 ACC Championship,,0,
3997,2024,15,BAYL,TCU,0,0,0,0,1,0,1,1,0,0,0,0,0,Vivid,DangerZoneh,Saturday Morning,AT&T Stadium,Arlington,TX,1,2024 Big 12 Championship,,0,
3998,2024,15,NEB,ILLI,0,0,0,0,1,0,1,1,0,0,0,0,0,huskersax,nemolee.exe,Saturday Morning,Allegiant Stadium,Las Vegas,NV,0,2024 Big Ten Championship,,0,
3999,2024,15,TENN,OKLA,0,0,0,0,1,0,1,1,0,0,0,0,0,tsweezy,HAFFnHAFF,Saturday Morning,Mercedes-Benz Stadium,Atlanta,GA,1,2024 SEC Championship,,0,
4000,2024,15,TULS,NAVY,0,0,0,0,1,0,1,1,0,0,0,0,0,acewulf,Syndakyt,Saturday Morning,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,0,2024 American Championship,,0,
4001,2024,15,TLDO,CMU,0,0,0,0,1,0,1,1,0,0,0,0,0,AI,AI,Saturday Morning,Ford Field,Detroit,MI,1,2024 MAC Championship,,0,
4002,2024,15,WKU,MTSU,0,0,0,0,1,0,1,1,0,0,0,0,0,AI,AI,Saturday Morning,L. T. Smith Stadium at Jimmy Feix Field,Bowling Green,KY,0,2024 C-USA Championship,,0,
4003,2024,15,UNM,CSU,0,0,0,0,1,0,1,1,0,0,0,0,0,DarthJarJar,Bellwood,Saturday Morning,Dreamstyle Stadium,Albuquerque,NM,0,2024 Mountain West Championship,,0,
4004,2024,15,TXST,MRSH,0,0,0,0,1,0,1,1,0,0,0,0,0,checkman,AI,Saturday Morning,Jim Wacker Field at Bobcat Stadium,San Marcos,TX,0,2024 Sunbelt Championship,,0,
4005,2024,15,BCU,SOU,0,0,0,0,0,0,1,1,0,0,0,0,0,AI,AI,Saturday Morning,Mississippi Veterans Memorial Stadium,Jackson,MS,0,2024 SWAC Championship,,0,
