id,stadium_name,team_id,team_abbr,city,state,country,region,capacity,record_attendance,first_season,league_id,league_name,is_domed
220,Buccaneer Field,195,CHSO,Bules Creek,NC,USA,,4000,4000,2027,2,FCS,0
221,O'Brien Field,196,EIU,Charleston,IL,USA,,10000,10000,2027,2,FCS,0
222,Ernest W. Spangler Stadium,197,WEBB,Boiling Springs,NC,USA,,7800,7800,2027,2,FCS,0
223,Hunter STadium,198,LIN,St. Charles,MO,USA,,7450,7450,2027,2,FCS,0
224,Houck Stadium,199,SEMO,Cape Girardeau,MO,USA,,11015,11015,2027,2,FCS,0
225,Hale Stadium,200,TNST,Nashville,TN,USA,,10000,10000,2027,2,FCS,0
226,Tucker Stadium,201,TNTC,Cookeville,TN,USA,,16500,16500,2027,2,FCS,0
227,Graham Stadium,202,UTM,Martin,TN,USA,,7500,7500,2027,2,FCS,0
228,Tom & Mary Casey Stadium,203,ALB,Albany,NY,USA,,8500,8500,2027,2,FCS,0
229,Beirne Stadium,204,BRY,Smithfield,RI,USA,,5500,5500,2027,2,FCS,0
230,Barker-Lane Stadium,205,CAMP,Buies Creek,NC,USA,,5500,5500,2027,2,FCS,0
231,Delaware Stadium,206,DEL,Newark,DE,USA,,18500,18500,2027,2,FCS,0
232,Rhodes Stadium,207,ELON,Elon,NC,USA,,11250,11250,2027,2,FCS,0
233,Armstrong Stadium,208,HAMP,Hampton,VA,USA,,10000,10000,2027,2,FCS,0
234,Harold Alfond Sports Stadium,209,ME,Orono,ME,USA,,8419,8419,2027,2,FCS,0
235,Kessler Field,210,MONM,West Long Branch,NJ,USA,,4600,4600,2027,2,FCS,0
236,Wildcat Stadium,211,UNH,Durham,NH,USA,,11015,11015,2027,2,FCS,0
237,Truist Stadium,212,NCAT,Greensboro,NC,USA,,21500,21500,2027,2,FCS,0
238,Meade Stadium,213,URI,Kingston,RI,USA,,6580,6580,2027,2,FCS,0
239,E. Claiborne Robins Stadium,214,RICH,Richmond,VA,USA,,8700,8700,2027,2,FCS,0
240,Kenneth P. LaValle Stadium,215,STBK,Stony Brook,NY,USA,,12300,12300,2027,2,FCS,0
