GameID,Season,Week,Home Team,Away Team,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,home bye,prev bye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGame,NextGameHOA
5321,2025,15,FSU,MIAF,1,0,0,1,0,0,0,0,0,Kirby,Dearden,Saturday Morning,Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,0,2025 ACC Semifinals,,5323,H
5322,2025,15,CUSE,UVA,1,0,0,1,0,0,0,0,0,taffyowner,Wahoo,Saturday Afternoon,Carrier Dome,Syracuse,NY,1,2025 ACC Semifinals,,5323,A
5323,2025,16,,,1,0,1,1,0,0,0,0,0,#N/A,#N/A,Saturday Afternoon,Bank of America Stadium,Charlotte,NC,0,2025 ACC Championship,,0,
5324,2025,15,UTAH,UHOU,1,0,0,1,0,0,0,0,0,SageBow,mahrowkeen,Saturday Morning,Rice-Eccles Stadium,Salt Lake City,UT,0,2025 Big 12 Semifinals,,5326,H
5325,2025,15,WVU,BAYL,1,0,0,1,0,0,0,0,0,smackemz3,Vivid,Saturday Afternoon,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,0,2025 Big 12 Semifinals,,5326,A
5326,2025,16,,,1,0,1,1,0,0,0,0,0,#N/A,#N/A,Saturday Morning,AT&T Stadium,Arlington,TX,1,2025 Big 12 Championship,,0,
5327,2025,15,PNST,MINN,1,0,0,1,0,0,0,0,0,Rocketcan,Minnow,Saturday Morning,Beaver Stadium,University Park,PA,0,2025 Big Ten Semifinals,,5329,H
5328,2025,15,WISC,IND,1,0,0,1,0,0,0,0,0,JC,Piercewise1,Saturday Afternoon,Camp Randall Stadium,Madison,WI,0,2025 Big Ten Semifinals,,5329,A
5329,2025,16,,,1,0,1,1,0,0,0,0,0,#N/A,#N/A,Saturday Evening,Lucas Oil Stadium,Indianapolis,IN,0,2025 Big Ten Championship,,0,
5330,2025,15,TENN,ARK,1,0,0,1,0,0,0,0,0,tsweezy,kwheeler,Saturday Afternoon,Neyland Stadium,Knoxville,TN,0,2025 SEC Semifinals,,5332,H
5331,2025,15,LSU,UGA,1,0,0,1,0,0,0,0,0,Jumbo,Sarge,Saturday Evening,Tiger Stadium,Baton Rouge,LA,0,2025 SEC Semifinals,,5332,A
5332,2025,16,,,1,0,1,1,0,0,0,0,0,#N/A,#N/A,Saturday Evening,Mercedes-Benz Stadium,Atlanta,GA,1,2025 SEC Championship,,0,
5333,2025,15,TULS,TLNE,1,0,0,1,0,0,0,0,0,acewulf,kgreene829,Thursday Night,Skelly Field at H. A. Chapman Stadium,Tulsa,OK,0,2025 American Semifinals,,5335,H
5334,2025,15,UNT,NAVY,1,0,0,1,0,0,0,0,0,AI,Syndakyt,Friday Night,Apogee Stadium,Denton,TX,0,2025 American Semifinals,,5335,A
5335,2025,16,,,1,0,1,1,0,0,0,0,0,#N/A,#N/A,Saturday Afternoon,#N/A,#N/A,#N/A,#N/A,2025 American Championship,,0,
5336,2025,15,WMU,TLDO,1,0,0,1,0,0,0,0,0,Jieret,ArmTheSharks,Thursday Night,Waldo Stadium,Kalamazoo,MI,0,2025 MAC Semifinals,,5338,H
5337,2025,15,BGSU,BALL,1,0,0,1,0,0,0,0,0,PoopyRhinoPickle,npklemm,Friday Night,Doyt L. Perry Stadium,Bowling Green,OH,0,2025 MAC Semifinals,,5338,A
