GameID,Season,Week,Home Team,Away Team,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,home bye,prev bye,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,Domed Stadium,GameTitle,Info,NextGame,NextGameHOA
5351,2025,17,MINN,OKST,0,0,1,0,1,0,0,1,1,Minnow,AI,Thursday Night,Wrigley Field,Chicago,IL,0,State Farm Ivy Bowl,,0,
5352,2025,17,TTU,ARK,0,0,1,0,1,0,0,1,1,rcarlson77,kwheeler,Thursday Night,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",Fayetteville,AR,0,Tyson Foods Not a Taco Bowl,,0,
5353,2025,17,CMU,SJSU,0,0,1,0,1,0,0,1,1,AI,Chandler1,Friday Night,Independence Stadium,Shreveport,LA,0,Independence Bowl,,0,
5354,2025,17,OREG,NIU,0,0,1,0,1,0,0,1,1,AI,Ape,Friday Night,Fenway Park,Boston,MA,0,Fenway Bowl,,0,
5355,2025,17,STAN,USC,0,0,1,0,1,0,0,1,1,Ricky Campbell,Dr_Novella,Saturday Morning,FAU Stadium,Boca Raton,FL,0,Boca Raton Bowl,,0,
5356,2025,17,MRSH,TULS,0,0,0,0,1,1,0,1,1,Newkbomb,acewulf,Saturday Morning,Joan C. Edwards Stadium,Huntington,WV,0,2025 FBS Playoffs Round 1,,5370,A
5357,2025,17,BOIS,OHIO,0,0,1,0,1,0,0,1,1,AI,Traith Kreios,Saturday Morning,Liberty Bowl Memorial Stadium,Memphis,TN,0,Liberty Bowl,,0,
5358,2025,17,OKLA,SMU,0,0,1,0,1,0,0,1,1,Duckal,jw1952tx,Saturday Afternoon,TIAA Bank Field,Jacksonville,FL,0,Gator Bowl,,0,
5359,2025,17,PNST,WMU,0,0,0,0,1,1,0,1,1,Rocketcan,Jieret,Saturday Afternoon,Beaver Stadium,University Park,PA,0,2025 FBS Playoffs Round 1,,5372,A
5360,2025,17,WASH,TEX,0,0,1,0,1,0,0,1,1,CoachCartier,Dean,Saturday Evening,Camping World Stadium,Orlando,FL,0,Citrus Bowl,,0,
5361,2025,17,UTAH,MIAF,0,0,0,0,1,1,0,0,1,SageBow,Dearden,Saturday Evening,Rice-Eccles Stadium,Salt Lake City,UT,0,2025 FBS Playoffs Round 1,,5375,A
5362,2025,17,SDSU,WKU,0,0,1,0,1,0,0,1,1,SittingDuck07,AI,Saturday Night,Aloha Stadium,Honolulu,HI,0,Hawai'i Bowl,,0,
5363,2025,17,WVU,CUSE,0,0,0,0,1,1,0,1,0,smackemz3,taffyowner,Saturday Night,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,0,2025 FBS Playoffs Round 1,,5377,A
5364,2025,18,CSU,TLDO,0,0,1,0,1,0,0,1,1,Bellwood,ArmTheSharks,Thursday Night,Navy-Marine Corps Memorial Stadium,Annapolis,MD,0,Military Bowl,,0,
5365,2025,18,KANS,MIZZ,0,0,1,0,1,0,0,1,1,bundy,AI,Thursday Night,Camp Randall Stadium,Madison,WI,0,Duluth Trading Co. Northern Lights Bowl,,0,
5366,2025,18,MOST,TLNE,0,0,1,0,1,0,0,1,1,AI,kgreene829,Friday Night,Sun Bowl,El Paso,TX,0,Sun Bowl,,0,
5367,2025,18,ND,UGA,0,0,1,0,1,0,0,1,1,LordLittlebutt,Sarge,Friday Night,SoFi Stadium,Inglewood,CA,1,Huy Fong Foods Sriracha Bowl,,0,
5368,2025,18,KENT,USM,0,0,1,0,1,0,0,1,1,AI,AI,Saturday Morning,Raymond James Stadium,Tampa,FL,0,Gasparilla Bowl,,0,
5369,2025,18,USAF,GASO,0,0,1,0,1,0,0,1,1,AI,miller,Saturday Morning,Yankee Stadium,The Bronx,NY,0,New Era Pinstripe Bowl,,0,
5370,2025,18,FSU,,0,0,1,0,1,1,0,1,0,Kirby,#N/A,Saturday Morning,AT&T Stadium,Arlington,TX,1,Cotton Bowl,,5391,H
5371,2025,18,UNT,UTEP,0,0,1,0,1,0,0,1,1,EmeraldSeasSunshine,AI,Saturday Afternoon,Protective Stadium,Birmingham,AL,0,Birmingham Bowl,,0,
5372,2025,18,TENN,,0,0,1,0,1,1,0,1,0,tsweezy,#N/A,Saturday Afternoon,Hard Rock Stadium,Miami Gardens,FL,0,Orange Bowl,,5391,A
5373,2025,18,UNM,JMU,0,0,1,0,1,0,0,1,1,DarthJarJar,askfortea,Saturday Evening,NRG Stadium,Houston,TX,0,Texas Bowl,,0,
5374,2025,18,TAMU,TXST,0,0,1,0,1,0,0,1,1,sleuthofbears,NillaWafer,Saturday Evening,Svalbard Stadium,Longyearbyen,NO,0,Far North Bowl,,0,
5375,2025,18,BAYL,,0,0,1,0,1,1,0,1,0,Vivid,#N/A,Saturday Evening,Rose Bowl,Pasadena,CA,0,Rose Bowl,,5393,A
