GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,PreSeason,Conference Champ,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info,NextGameID,HoA
667,2025,1,PIT,CAR,0,0,0,0,0,0,0,1,0,0,0,smackemz3,Sarge,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
668,2025,1,KC,JAX,0,0,0,0,0,0,0,1,0,0,0,jw1952tx,Weeze,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
669,2025,1,PHI,LAC,0,0,0,0,0,0,0,1,0,0,0,acewulf,Dean,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
670,2025,1,DEN,ARI,0,0,0,0,0,0,0,1,0,0,0,alexfall861,kgreene829,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
671,2025,1,CLE,CHI,0,0,0,0,0,0,0,1,0,0,0,Piercewise1,nemolee.exe,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
672,2025,1,TB,MIA,0,0,0,0,0,0,0,1,0,0,0,Ape,TheLiberator,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
673,2025,1,MIN,SF,0,0,0,0,0,0,0,1,0,0,0,Bellwood,Dr_Novella,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
674,2025,1,LV,NYJ,0,0,0,0,0,0,0,1,0,0,0,Jieret,Tryggr,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
675,2025,1,BAL,TEN,0,0,0,0,0,0,0,1,0,0,0,SyndaKyt,Paradoxic,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
676,2025,1,GB,IND,0,0,0,0,0,0,0,1,0,0,0,JC,npklemm,Sunday Noon,Lambeau Field,Green Bay,WI,,,0,
677,2025,1,DAL,NO,0,0,0,0,0,0,0,1,0,0,0,Rocketcan,Bingo415,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
678,2025,1,WAS,DET,0,0,0,0,0,0,0,1,0,0,0,Ewade,VerifiedThing,Sunday Noon,FedExField,Landover,MD,,,0,
679,2025,1,ATL,NE,0,0,0,0,0,0,0,1,0,0,0,mahrowkeen,Curby4,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
680,2025,1,CIN,LAR,0,0,0,0,0,0,0,1,0,0,0,Ezaco,Vivid,Sunday Afternoon,Paul Brown Stadium,Cincinnati,OH,,,0,
681,2025,1,BUF,SEA,0,0,0,0,0,0,0,1,0,0,0,Minnow,CoachCartier,Sunday Afternoon,Highmark Stadium,Orchard Park,NY,,,0,
682,2025,1,HOU,NYG,0,0,0,0,0,0,0,1,0,0,0,BabaYaga,thatfunk,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
683,2025,2,CAR,ARI,0,0,0,0,0,0,0,1,0,0,0,Sarge,kgreene829,Sunday Afternoon,Bank of America Stadium,Charlotte,NC,,,0,
684,2025,2,KC,MIN,0,0,0,0,0,0,0,1,0,0,0,jw1952tx,Bellwood,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
685,2025,2,JAX,ATL,0,0,0,0,0,0,0,1,0,0,0,Weeze,mahrowkeen,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
686,2025,2,PHI,MIA,0,0,0,0,0,0,0,1,0,0,0,acewulf,TheLiberator,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
687,2025,2,CLE,TEN,0,0,0,0,0,0,0,1,0,0,0,Piercewise1,Paradoxic,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
688,2025,2,SF,LV,0,0,0,0,0,0,0,1,0,0,0,Dr_Novella,Jieret,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
689,2025,2,LAC,HOU,0,0,0,0,0,0,0,1,0,0,0,Dean,BabaYaga,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
690,2025,2,IND,WAS,0,0,0,0,0,0,0,1,0,0,0,npklemm,Ewade,Sunday Noon,Lucas Oil Stadium,Indianapolis,IN,,,0,
691,2025,2,SEA,GB,0,0,0,0,0,0,0,1,0,0,0,CoachCartier,JC,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
692,2025,2,NYJ,DAL,0,0,0,0,0,0,0,1,0,0,0,Tryggr,Rocketcan,Sunday Afternoon,MetLife Stadium,East Rutherford,NJ,,,0,
693,2025,2,NO,NE,0,0,0,0,0,0,0,1,0,0,0,Bingo415,Curby4,Sunday Noon,Caesars Superdome,New Orleans,LA,,,0,
694,2025,2,LAR,BAL,0,0,0,0,0,0,0,1,0,0,0,Vivid,SyndaKyt,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
695,2025,2,NYG,DEN,0,0,0,0,0,0,0,1,0,0,0,thatfunk,alexfall861,Sunday Afternoon,MetLife Stadium,East Rutherford,NJ,,,0,
696,2025,2,DET,PIT,0,0,0,0,0,0,0,1,0,0,0,VerifiedThing,smackemz3,Sunday Noon,Ford Field,Detroit,MI,,,0,
697,2025,2,BUF,TB,0,0,0,0,0,0,0,1,0,0,0,Minnow,Ape,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
698,2025,2,CHI,CIN,0,0,0,0,0,0,0,1,0,0,0,nemolee.exe,Ezaco,Sunday Noon,Soldier Field,Chicago,IL,,,0,
699,2025,3,CAR,JAX,0,0,0,0,0,0,0,1,0,0,0,Sarge,Weeze,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
700,2025,3,SF,KC,0,0,0,0,0,0,0,1,0,0,0,Dr_Novella,jw1952tx,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
701,2025,3,CLE,ATL,0,0,0,0,0,0,0,1,0,0,0,Piercewise1,mahrowkeen,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
702,2025,3,TB,PHI,0,0,0,0,0,0,0,1,0,0,0,Ape,acewulf,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
703,2025,3,ARI,PIT,0,0,0,0,0,0,0,1,0,0,0,kgreene829,smackemz3,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
704,2025,3,MIA,DEN,0,0,0,0,0,0,0,1,0,0,0,TheLiberator,alexfall861,Sunday Afternoon,Hard Rock Stadium,Miami Gardens,FL,,,0,
705,2025,3,TEN,CHI,0,0,0,0,0,0,0,1,0,0,0,Paradoxic,nemolee.exe,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
706,2025,3,LV,MIN,0,0,0,0,0,0,0,1,0,0,0,Jieret,Bellwood,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
707,2025,3,LAC,NYJ,0,0,0,0,0,0,0,1,0,0,0,Dean,Tryggr,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
708,2025,3,SEA,BAL,0,0,0,0,0,0,0,1,0,0,0,CoachCartier,SyndaKyt,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
709,2025,3,IND,CIN,0,0,0,0,0,0,0,1,0,0,0,npklemm,Ezaco,Sunday Noon,Lucas Oil Stadium,Indianapolis,IN,,,0,
710,2025,3,GB,DAL,0,0,0,0,0,0,0,1,0,0,0,JC,Rocketcan,Sunday Noon,Lambeau Field,Green Bay,WI,,,0,
711,2025,3,WAS,NO,0,0,0,0,0,0,0,1,0,0,0,Ewade,Bingo415,Sunday Noon,FedExField,Landover,MD,,,0,
712,2025,3,HOU,DET,0,0,0,0,0,0,0,1,0,0,0,BabaYaga,VerifiedThing,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
713,2025,3,LAR,BUF,0,0,0,0,0,0,0,1,0,0,0,Vivid,Minnow,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
714,2025,3,NE,NYG,0,0,0,0,0,0,0,1,0,0,0,Curby4,thatfunk,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
715,2025,1,NYJ,LAR,0,0,0,0,0,0,0,0,0,0,0,Tryggr,Vivid,Monday Night Football,MetLife Stadium,East Rutherford,NJ,,,0,
716,2025,1,MIA,JAX,0,0,0,0,1,0,0,0,0,0,0,TheLiberator,Weeze,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
717,2025,1,NE,DET,0,0,0,0,0,0,0,0,0,0,0,Curby4,VerifiedThing,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
718,2025,1,BUF,HOU,0,0,0,0,1,0,0,0,0,0,0,Minnow,BabaYaga,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
719,2025,1,PIT,CLE,0,0,0,0,1,1,0,0,0,0,0,smackemz3,Piercewise1,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
720,2025,1,TEN,IND,0,0,0,0,1,1,0,0,0,0,0,Paradoxic,npklemm,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
721,2025,1,DEN,CAR,0,0,0,0,0,0,0,0,0,0,0,alexfall861,Sarge,Sunday Night Football,Empower Field at Mile High,Denver,CO,,,0,
722,2025,1,LAC,BAL,0,0,0,0,1,0,0,0,0,0,0,Dean,SyndaKyt,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
723,2025,1,LV,KC,0,0,0,0,1,1,0,0,0,0,0,Jieret,jw1952tx,Sunday Afternoon,Allegiant Stadium,Paradise,NV,,,0,
724,2025,1,DAL,TB,0,0,0,0,1,0,0,0,0,0,0,Rocketcan,Ape,Thursday Night Football,AT&T Stadium,Arlington,TX,,,0,
725,2025,1,NYG,CIN,0,0,0,0,0,0,0,0,0,0,0,thatfunk,Ezaco,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
726,2025,1,GB,MIN,0,0,0,0,1,1,0,0,0,0,0,JC,Bellwood,Sunday Afternoon,Lambeau Field,Green Bay,WI,,,0,
727,2025,1,CHI,NO,0,0,0,0,1,0,0,0,0,0,0,nemolee.exe,Bingo415,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
728,2025,1,ATL,PHI,0,0,0,0,1,0,0,0,0,0,0,mahrowkeen,acewulf,Sunday Noon,Mercedes-Benz Stadium,Atlanta,GA,,,0,
729,2025,1,SEA,WAS,0,0,0,0,1,0,0,0,0,0,0,CoachCartier,Ewade,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
730,2025,1,ARI,SF,0,0,0,0,1,1,0,0,0,0,0,kgreene829,Dr_Novella,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
731,2025,2,NYJ,NE,0,0,0,0,1,1,0,0,0,0,0,Tryggr,Curby4,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
732,2025,2,CIN,TEN,0,0,0,0,1,0,0,0,0,0,0,Ezaco,Paradoxic,Sunday Night Football,Paul Brown Stadium,Cincinnati,OH,,,0,
733,2025,2,PIT,HOU,0,0,0,0,1,0,0,0,0,0,0,smackemz3,BabaYaga,Thursday Night Football,Heinz Field,Pittsburgh,PA,,,0,
734,2025,2,IND,LV,0,0,0,0,1,0,0,0,0,0,0,npklemm,Jieret,Sunday Afternoon,Lucas Oil Stadium,Indianapolis,IN,,,0,
735,2025,2,LAC,DEN,0,0,0,0,1,1,0,0,0,0,0,Dean,alexfall861,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
736,2025,2,KC,BUF,0,0,0,0,1,0,0,0,0,0,0,jw1952tx,Minnow,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
737,2025,2,WAS,CLE,0,0,0,0,0,0,0,0,0,0,0,Ewade,Piercewise1,Sunday Noon,FedExField,Landover,MD,,,0,
738,2025,2,NYG,BAL,0,0,0,0,0,0,0,0,0,0,0,thatfunk,SyndaKyt,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
739,2025,2,PHI,DAL,0,0,0,0,1,1,0,0,0,0,0,acewulf,Rocketcan,Sunday Noon,Lincoln Financial Field,Philadelphia,PA,,,0,
740,2025,2,DET,MIA,0,0,0,0,0,0,0,0,0,0,0,VerifiedThing,TheLiberator,Monday Night Football,Ford Field,Detroit,MI,,,0,
741,2025,2,CAR,CHI,0,0,0,0,1,0,0,0,0,0,0,Sarge,nemolee.exe,Sunday Noon,Bank of America Stadium,Charlotte,NC,,,0,
742,2025,2,TB,MIN,0,0,0,0,1,0,0,0,0,0,0,Ape,Bellwood,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
743,2025,2,NO,GB,0,0,0,0,1,0,0,0,0,0,0,Bingo415,JC,Sunday Noon,Caesars Superdome,New Orleans,LA,,,0,
744,2025,2,LAR,SEA,0,0,0,0,1,1,0,0,0,0,0,Vivid,CoachCartier,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
745,2025,2,SF,JAX,0,0,0,0,0,0,0,0,0,0,0,Dr_Novella,Weeze,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
746,2025,2,ARI,ATL,0,0,0,0,1,0,0,0,0,0,0,kgreene829,mahrowkeen,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
747,2025,3,MIA,BUF,0,0,0,0,1,1,0,0,0,0,0,TheLiberator,Minnow,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
748,2025,3,CLE,LAC,0,0,0,0,1,0,0,0,0,0,0,Piercewise1,Dean,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
749,2025,3,BAL,KC,0,0,0,0,1,0,0,0,0,0,0,SyndaKyt,jw1952tx,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
750,2025,3,PIT,CIN,0,0,0,0,1,1,0,0,0,0,0,smackemz3,Ezaco,Sunday Noon,Heinz Field,Pittsburgh,PA,,,0,
751,2025,3,JAX,TEN,0,0,0,0,1,1,0,0,0,0,0,Weeze,Paradoxic,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
752,2025,3,HOU,IND,0,0,0,0,1,1,0,0,0,0,0,BabaYaga,npklemm,Sunday Afternoon,NRG Stadium,Houston,TX,,,0,
753,2025,3,DEN,NYJ,0,0,0,0,1,0,0,0,0,0,0,alexfall861,Tryggr,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
754,2025,3,LV,NE,0,0,0,0,1,0,0,0,0,0,0,Jieret,Curby4,Monday Night Football,Allegiant Stadium,Paradise,NV,,,0,
755,2025,3,DAL,SEA,0,0,0,0,1,0,0,0,0,0,0,Rocketcan,CoachCartier,Sunday Afternoon,AT&T Stadium,Arlington,TX,,,0,
756,2025,3,GB,WAS,0,0,0,0,1,0,0,0,0,0,0,JC,Ewade,Sunday Night Football,Lambeau Field,Green Bay,WI,,,0,
757,2025,3,DET,CHI,0,0,0,0,1,1,0,0,0,0,0,VerifiedThing,nemolee.exe,Sunday Noon,Ford Field,Detroit,MI,,,0,
758,2025,3,MIN,ARI,0,0,0,0,1,0,0,0,0,0,0,Bellwood,kgreene829,Sunday Afternoon,U.S. Bank Stadium,Minneapolis,MN,,,0,
759,2025,3,TB,CAR,0,0,0,0,1,1,0,0,0,0,0,Ape,Sarge,Sunday Noon,Raymond James Stadium,Tampa,FL,,,0,
760,2025,3,ATL,NO,0,0,0,0,1,1,0,0,0,0,0,mahrowkeen,Bingo415,Thursday Night Football,Mercedes-Benz Stadium,Atlanta,GA,,,0,
761,2025,3,LAR,PHI,0,0,0,0,1,0,0,0,0,0,0,Vivid,acewulf,Sunday Afternoon,SoFi Stadium,Inglewood,CA,,,0,
762,2025,3,SF,NYG,0,0,0,0,1,0,0,0,0,0,0,Dr_Novella,thatfunk,Sunday Afternoon,Levi's Stadium,Santa Clara,CA,,,0,
763,2025,4,NE,IND,0,0,0,0,1,0,0,0,0,0,0,Curby4,npklemm,Sunday Noon,Gillette Stadium,Foxborough,MA,,,0,
764,2025,4,BUF,PIT,0,0,0,0,1,0,0,0,0,0,0,Minnow,smackemz3,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
765,2025,4,CIN,LV,0,0,0,0,1,0,0,0,0,0,0,Ezaco,Jieret,Sunday Afternoon,Paul Brown Stadium,Cincinnati,OH,,,0,
766,2025,4,BAL,CLE,0,0,0,0,1,1,0,0,0,0,0,SyndaKyt,Piercewise1,Monday Night Football,M&T Bank Stadium,Baltimore,MD,,,0,
767,2025,4,TEN,MIA,0,0,0,0,1,0,0,0,0,0,0,Paradoxic,TheLiberator,Sunday Noon,Nissan Stadium,Nashville,TN,,,0,
768,2025,4,JAX,NYJ,0,0,0,0,1,0,0,0,0,0,0,Weeze,Tryggr,Sunday Noon,TIAA Bank Field,Jacksonville,FL,,,0,
769,2025,4,DEN,NO,0,0,0,0,0,0,0,0,0,0,0,alexfall861,Bingo415,Sunday Afternoon,Empower Field at Mile High,Denver,CO,,,0,
770,2025,4,KC,LAC,0,0,0,0,1,1,0,0,0,0,0,jw1952tx,Dean,Sunday Afternoon,Arrowhead Stadium,Kansas City,MO,,,0,
771,2025,4,NYG,WAS,0,0,0,0,1,1,0,0,0,0,0,thatfunk,Ewade,Sunday Noon,MetLife Stadium,East Rutherford,NJ,,,0,
772,2025,4,PHI,SF,0,0,0,0,1,0,0,0,0,0,0,acewulf,Dr_Novella,Thursday Night Football,Lincoln Financial Field,Philadelphia,PA,,,0,
773,2025,4,GB,TB,0,0,0,0,1,0,0,0,0,0,0,JC,Ape,Sunday Noon,Lambeau Field,Green Bay,WI,,,0,
774,2025,4,CHI,ATL,0,0,0,0,1,0,0,0,0,0,0,nemolee.exe,mahrowkeen,Sunday Afternoon,Soldier Field,Chicago,IL,,,0,
775,2025,4,MIN,CAR,0,0,0,0,1,0,0,0,0,0,0,Bellwood,Sarge,Sunday Noon,U.S. Bank Stadium,Minneapolis,MN,,,0,
776,2025,4,LAR,DAL,0,0,0,0,1,0,0,0,0,0,0,Vivid,Rocketcan,Sunday Night Football,SoFi Stadium,Inglewood,CA,,,0,
777,2025,4,SEA,DET,0,0,0,0,1,0,0,0,0,0,0,CoachCartier,VerifiedThing,Sunday Afternoon,Lumen Field,Seattle,WA,,,0,
778,2025,4,ARI,HOU,0,0,0,0,0,0,0,0,0,0,0,kgreene829,BabaYaga,Sunday Afternoon,State Farm Stadium,Glendale,AZ,,,0,
779,2025,5,NYJ,HOU,0,0,0,0,1,0,0,0,0,0,0,Tryggr,BabaYaga,Sunday Afternoon,MetLife Stadium,East Rutherford,NJ,,,0,
780,2025,5,MIA,IND,0,0,0,0,1,0,0,0,0,0,0,TheLiberator,npklemm,Sunday Noon,Hard Rock Stadium,Miami Gardens,FL,,,0,
781,2025,5,BUF,NE,0,0,0,0,1,1,0,0,0,0,0,Minnow,Curby4,Sunday Noon,Highmark Stadium,Orchard Park,NY,,,0,
782,2025,5,CLE,NYG,0,0,0,0,0,0,0,0,0,0,0,Piercewise1,thatfunk,Sunday Noon,FirstEnergy Stadium,Cleveland,OH,,,0,
783,2025,5,BAL,PHI,0,0,0,0,0,0,0,0,0,0,0,SyndaKyt,acewulf,Sunday Noon,M&T Bank Stadium,Baltimore,MD,,,0,
784,2025,5,TEN,ARI,0,0,0,0,0,0,0,0,0,0,0,Paradoxic,kgreene829,Thursday Night Football,Nissan Stadium,Nashville,TN,,,0,
785,2025,5,LAC,JAX,0,0,0,0,1,0,0,0,0,0,0,Dean,Weeze,Sunday Night Football,SoFi Stadium,Inglewood,CA,,,0,
