id,overall,football_iq,speed,carrying,agility,catching,route_running,zone_coverage,man_coverage,strength,tackle,pass_block,run_block,pass_rush,run_defense,throw_power,throw_accuracy,kick_accuracy,kick_power,punt_accuracy,punt_power,injury_text,weeks_out
10289,60,53,67,27,52,26,17,24,20,46,19,17,15,12,13,70,65,17,13,11,8,None,0
10099,60,49,24,21,47,25,5,18,25,72,21,59,66,21,16,20,13,12,6,11,5,None,0
15066,66,57,91,58,67,54,17,25,23,54,20,51,16,8,17,25,20,13,16,17,18,None,0
15033,61,57,28,24,47,27,13,21,20,78,22,61,62,21,17,25,25,13,18,8,18,None,0
14960,62,47,83,52,65,55,65,25,29,45,12,7,20,8,13,24,29,10,14,13,11,None,0
10871,60,46,26,21,38,24,4,13,24,70,17,65,61,22,19,17,16,7,12,14,13,None,0
15892,57,46,71,24,59,35,5,73,55,36,39,8,6,10,11,20,14,6,4,7,4,None,0
10259,59,59,75,24,66,19,10,71,58,32,49,15,18,8,49,23,25,13,10,11,14,None,0
14999,56,49,68,29,66,27,16,43,43,53,61,18,12,71,50,26,23,16,13,17,15,None,0
15095,56,44,88,43,56,55,48,18,22,31,16,14,18,12,11,20,21,6,12,16,10,None,0
16266,58,48,85,40,69,60,37,14,22,39,19,42,9,3,6,15,19,7,9,13,9,None,0
15632,56,43,87,45,52,50,52,22,20,31,4,11,16,11,7,18,13,10,4,6,5,None,0
15923,62,51,84,47,67,57,67,21,21,45,5,4,14,8,6,15,14,4,5,11,9,None,0
15357,58,42,29,26,42,17,8,22,26,73,24,69,54,20,15,23,19,14,14,14,16,None,0
15197,58,46,28,25,47,20,17,20,25,77,21,73,49,29,14,18,25,15,17,15,12,None,0
17945,50,38,20,8,29,9,4,9,14,65,13,66,42,16,2,11,11,4,3,7,7,None,0
14978,58,47,70,26,59,29,9,25,18,55,60,9,11,69,52,17,26,11,12,12,9,None,0
15393,57,49,65,21,61,18,10,20,24,56,59,15,15,66,49,23,26,11,10,12,9,None,0
14981,52,43,84,20,51,26,17,49,54,53,57,7,16,38,53,19,25,9,15,13,8,None,0
15163,55,46,89,43,56,56,43,17,20,32,11,9,19,14,8,17,23,6,7,11,9,None,0
11309,63,53,89,54,67,68,34,21,20,42,16,46,11,4,6,20,19,13,15,13,9,None,0
14969,63,50,78,24,67,28,8,25,33,61,64,9,17,71,58,29,27,19,14,11,10,None,0
15047,58,45,27,20,47,27,15,29,21,74,22,68,47,18,13,21,18,15,15,13,13,None,0
15131,57,43,25,24,41,18,13,22,17,73,29,72,45,27,10,21,16,8,18,7,7,None,0
15378,58,46,43,20,54,20,16,17,25,53,58,15,10,63,50,24,20,9,11,15,15,None,0
16200,64,53,91,49,73,62,34,20,19,44,18,43,5,6,10,20,20,5,10,13,13,None,0
14962,62,51,77,28,68,22,14,79,64,28,37,17,9,9,22,22,29,15,13,8,9,None,0
15016,54,44,59,37,48,45,13,22,24,65,23,62,60,22,25,23,19,14,15,12,14,None,0
15206,56,45,85,28,66,22,12,66,63,56,54,7,8,34,61,26,24,10,13,11,10,None,0
15206,56,45,85,28,66,22,12,66,63,56,54,7,8,34,61,26,24,10,13,11,10,None,0
14947,63,51,76,30,72,29,16,84,61,33,35,15,19,8,23,24,27,9,16,13,8,None,0
14985,54,40,27,25,37,22,10,25,26,71,22,50,61,19,11,17,24,15,8,10,13,None,0
15086,58,45,77,21,55,27,29,59,78,37,46,7,14,15,56,24,21,9,12,9,14,None,0
15124,57,43,80,41,63,52,61,26,24,38,13,6,17,9,14,23,24,16,16,8,13,None,0
15151,56,48,69,24,49,22,16,55,58,73,59,12,7,38,67,22,24,9,12,7,12,None,0
15205,59,48,93,51,57,45,7,19,18,44,25,43,16,11,12,18,24,12,19,8,8,None,0
15248,62,45,31,27,43,27,17,18,19,76,57,16,10,46,63,25,17,18,10,18,8,None,0
15555,52,38,62,19,55,24,9,62,69,58,61,9,9,37,52,16,18,9,13,7,11,None,0
11010,60,47,95,51,57,40,10,15,22,47,18,48,12,10,8,15,17,6,7,11,7,None,0
10484,53,39,68,38,55,58,41,18,16,71,17,53,54,25,22,22,20,11,5,7,9,None,0
14955,62,51,71,32,64,31,17,56,50,59,70,11,11,74,56,31,25,11,11,16,13,None,0
14952,64,52,73,29,66,28,10,53,58,77,77,13,11,42,81,30,25,18,15,10,9,None,0
14958,63,55,78,49,63,79,47,22,27,50,11,11,19,15,9,21,25,9,15,8,15,None,0
15120,58,50,70,42,54,68,54,16,23,46,14,8,19,5,13,20,17,12,11,7,6,None,0
15309,57,54,73,21,54,17,8,72,57,36,49,14,12,13,46,19,21,13,12,9,13,None,0
15364,57,52,65,24,50,28,9,28,20,41,18,17,14,15,15,64,64,13,12,11,14,None,0
15144,59,51,84,45,65,60,40,23,22,41,19,37,13,19,16,21,24,18,8,11,11,None,0
15297,56,44,24,20,43,20,14,13,22,67,22,67,50,23,11,23,20,8,13,7,8,None,0
15141,54,41,58,19,53,21,7,27,28,64,62,17,10,49,61,19,21,15,15,11,15,Strained Quadriceps,5
10797,57,42,76,20,60,28,7,77,47,37,36,9,13,15,14,15,14,10,10,8,3,None,0
10168,60,53,94,42,58,27,8,19,20,56,21,14,19,11,12,58,56,11,16,15,12,None,0
14964,62,57,82,50,67,59,61,23,22,67,13,18,45,15,11,23,25,13,13,11,10,None,0
15043,59,74,56,24,34,23,6,23,20,43,22,11,17,8,16,61,69,12,17,15,6,Strained Shoulder,1
15083,60,53,71,19,66,20,7,24,27,64,56,9,10,68,53,26,17,8,9,11,11,None,0
15353,58,47,76,24,52,63,16,65,65,34,46,19,14,11,54,17,18,11,13,13,11,None,0
15363,58,43,83,46,63,62,33,21,18,43,26,41,8,10,9,18,22,10,12,16,17,None,0
15644,55,49,83,43,58,56,37,16,14,33,21,41,6,13,12,16,22,9,8,8,12,None,0
15673,56,47,76,59,51,37,10,17,20,51,22,50,11,9,5,20,15,11,11,7,10,None,0
15246,56,49,68,20,48,16,12,55,50,64,58,6,8,36,72,20,25,12,10,10,11,Ankle Bruise,0
16521,62,51,86,22,70,18,5,62,66,67,59,3,12,44,73,20,21,16,7,7,12,None,0
19908,61,45,88,61,55,37,10,9,11,56,13,62,12,8,13,9,10,16,7,8,11,None,0
14961,61,55,31,23,49,30,14,31,25,74,26,71,50,21,20,31,21,16,9,13,14,None,0
15292,59,45,26,18,47,26,14,20,23,73,23,66,52,22,16,24,16,11,17,9,10,None,0
15045,62,52,76,17,65,64,13,66,66,34,39,13,9,10,17,23,18,8,17,16,15,None,0
15269,58,48,84,51,61,50,5,22,16,44,17,42,9,13,13,16,20,16,7,7,11,None,0
15311,61,64,70,27,63,20,19,67,56,62,60,18,8,39,62,23,26,14,18,10,16,None,0
15358,61,72,70,23,62,24,14,67,58,60,57,12,16,36,64,24,27,13,10,8,15,None,0
10417,57,51,55,21,54,19,9,22,24,64,61,13,9,56,62,18,20,12,7,10,11,None,0
10497,54,39,82,51,55,48,8,18,20,38,23,46,7,10,5,22,19,6,8,3,5,None,0
11527,58,44,76,21,64,28,21,56,67,26,37,12,8,9,15,11,18,5,7,11,5,None,0
14963,64,51,86,50,65,64,55,24,27,73,24,62,71,36,32,24,26,14,11,14,11,None,0
14992,59,45,71,45,56,78,49,27,21,45,10,7,20,7,12,21,18,14,11,13,12,None,0
15260,58,56,79,26,57,25,13,72,52,37,46,10,12,13,49,25,26,12,15,7,8,None,0
15396,60,48,27,24,44,27,9,25,27,74,24,71,52,21,9,24,24,12,10,9,8,None,0
15660,54,44,68,37,56,69,41,18,14,38,9,8,17,9,4,17,18,3,3,8,12,None,0
15849,49,40,56,33,40,37,6,12,18,55,18,56,63,15,27,15,15,10,3,8,8,None,0
16680,55,43,25,21,28,19,12,18,15,74,21,71,46,14,10,17,22,9,5,11,6,None,0
10291,67,56,96,56,71,67,33,23,24,51,23,52,14,18,12,27,27,17,19,14,20,None,0
11128,55,47,70,40,59,56,49,19,21,65,15,55,53,26,19,21,14,14,6,10,13,None,0
15323,55,48,85,45,49,55,48,26,17,35,8,9,16,13,6,18,22,14,14,13,17,None,0
16328,52,55,68,18,47,29,4,65,50,25,39,7,11,9,52,16,18,4,7,5,13,None,0
10439,58,49,69,25,65,24,12,20,16,57,60,14,13,61,54,16,16,16,12,15,9,None,0
10667,59,45,41,16,59,19,14,24,20,57,60,9,9,57,50,12,20,6,13,10,8,None,0
10739,55,42,26,20,34,17,5,13,14,76,18,62,47,15,10,20,13,15,4,6,8,None,0
15194,54,46,31,21,39,23,8,20,19,68,24,66,42,17,14,24,25,10,13,8,7,None,0
16599,54,44,71,18,58,52,11,57,57,23,27,9,10,7,9,13,12,12,4,6,7,None,0
16650,54,47,69,22,55,22,5,72,47,34,29,5,9,6,17,15,17,8,5,8,10,None,0
15313,67,52,91,52,69,62,73,29,22,50,16,11,22,10,12,19,23,17,19,8,15,None,0
14949,62,53,28,28,47,24,16,29,24,79,32,57,67,28,14,23,29,14,13,16,10,None,0
15059,61,48,88,45,65,67,30,27,23,47,20,45,17,11,13,27,20,11,15,10,14,None,0
10205,61,47,79,28,64,62,14,62,66,33,52,11,11,12,49,24,19,19,9,16,8,None,0
10266,59,49,63,21,39,23,12,20,27,43,19,18,15,13,12,73,70,16,8,15,13,None,0
14998,56,67,68,24,53,21,19,62,58,53,59,10,18,33,53,21,16,8,13,15,7,None,0
11136,51,44,80,43,47,51,35,16,14,58,17,49,51,20,15,13,13,10,6,11,7,None,0
16253,54,40,33,22,42,19,8,19,17,58,52,8,12,46,51,18,21,9,2,4,12,None,0
15341,57,42,86,46,62,61,40,22,19,41,18,40,14,13,6,28,24,10,10,8,6,None,0
15306,58,48,62,38,52,47,12,23,23,67,26,63,67,22,30,25,25,11,15,9,16,None,0
10606,64,57,66,21,43,15,3,23,21,50,19,11,7,14,4,73,76,7,10,5,5,None,0
15037,59,53,85,55,61,51,9,18,24,45,17,46,11,16,12,17,16,9,10,15,13,None,0
15168,60,50,95,50,52,46,8,25,23,50,20,48,11,18,17,23,23,15,14,16,16,None,0
15329,57,48,75,43,62,62,58,21,22,38,7,9,17,10,14,24,27,11,11,8,10,None,0
15173,55,43,26,23,44,26,12,22,19,70,19,57,56,26,17,19,19,9,12,12,11,None,0
15159,59,43,25,17,46,22,15,21,27,76,24,50,69,23,17,19,24,7,15,14,12,None,0
15225,64,56,66,20,58,26,7,21,22,75,70,7,11,62,73,21,17,13,16,15,16,None,0
15000,60,46,28,17,39,21,11,19,26,70,62,15,10,51,60,19,21,13,11,15,8,None,0
15118,56,47,72,20,48,18,14,56,55,71,61,8,15,37,68,24,20,17,9,18,12,None,0
15092,56,47,60,24,53,20,14,51,49,72,63,14,13,36,71,18,20,17,7,12,9,None,0
11693,57,53,66,17,45,21,12,18,16,40,18,9,6,5,3,64,68,7,6,12,11,None,0
15330,60,69,72,23,63,26,19,62,54,57,60,12,10,40,61,20,22,14,13,16,12,None,0
10062,55,44,59,23,48,29,15,20,18,59,60,15,16,55,66,22,22,17,15,15,17,None,0
15249,59,48,65,20,52,23,12,23,18,69,63,9,13,61,67,23,17,14,18,17,7,None,0
15884,49,41,59,35,52,58,42,20,18,62,20,52,47,25,17,18,10,9,4,12,5,None,0
15824,49,42,77,36,55,50,31,18,23,58,22,42,53,20,17,13,22,4,10,5,13,None,0
14956,59,50,75,46,61,63,52,29,27,66,13,9,43,7,9,20,20,13,7,8,13,None,0
16470,59,47,60,40,43,41,2,24,16,71,14,76,69,5,12,21,16,11,4,3,12,None,0
16296,53,42,88,43,50,33,10,22,22,35,23,39,10,10,5,14,22,8,4,9,8,None,0
16138,49,35,22,23,33,19,4,16,19,68,22,45,64,14,17,14,17,11,7,7,9,None,0
15263,66,53,93,52,73,63,39,26,21,48,25,51,15,11,10,23,18,15,6,8,12,None,0
14970,61,56,64,26,66,27,7,32,30,56,64,15,13,68,65,26,28,15,15,16,16,None,0
14965,63,51,79,22,70,54,10,68,67,33,37,7,15,10,20,26,26,15,13,9,11,None,0
15348,54,43,69,21,54,32,8,65,62,55,61,12,10,35,59,24,26,14,15,16,14,None,0
10577,60,53,65,54,57,59,42,13,26,79,20,74,72,23,21,14,12,10,8,2,10,None,0
15204,55,42,86,49,48,45,17,19,25,45,19,45,10,13,15,25,22,7,9,15,13,None,0
16738,53,37,26,19,33,18,8,21,20,72,14,49,61,15,13,20,18,5,10,8,9,None,0
16651,59,46,23,23,34,24,10,14,19,78,21,56,69,16,14,15,17,9,13,13,7,None,0
15295,55,45,67,27,62,18,10,40,46,48,62,9,7,72,52,27,25,13,13,8,14,None,0
11057,66,53,76,15,75,16,9,17,17,65,69,10,8,75,55,14,12,14,4,15,10,None,0
15842,59,50,36,19,58,25,10,17,18,60,64,12,14,68,60,18,22,8,15,6,8,None,0
15395,67,54,92,57,73,66,38,25,19,51,21,52,10,12,18,27,20,18,12,18,9,None,0
