Player ID,Name,Archetype,Position,Age,Ovr, Yrs Left ,Value Expect,AAV Expect,Team
156,Jake Campos,Ball Hawk,FS,25,65, 1 , 7.28 , 2.91 ,ARI
204,Terry Jackson,Blocking,FB,25,67, 1 , 4.80 , 1.92 ,ARI
255,Addison Crosby,Balanced,QB,25,64, 1 , 4.57 , 1.83 ,ARI
273,D.J. Baylis,Pass Blocking,OG,25,64, 1 , 4.64 , 1.86 ,ARI
383,Damien Shead,Balanced,FB,25,67, 1 , 4.80 , 1.92 ,ARI
1825,Matt Wallace,Balanced,DE,25,59, 1 , 0.74 , 0.50 ,ARI
11233,Ryan McBride,Accuracy,K,23,51, 1 , 0.70 , 0.50 ,ARI
63823,James Reed,Line Captain,C,29,66, 1 , 3.76 , 1.50 ,ARI
119,Ulrick Phillips,Pass Blocking,OT,25,69, 1 , 25.62 , 10.25 ,ATL
147,Adonis President,Man Coverage,CB,25,65, 1 , 7.35 , 2.94 ,ATL
666,Nathan McKinney,Ball Hawk,CB,25,63, 1 , 4.36 , 1.74 ,ATL
46106,Shawn Talley,Run Blocking,OT,32,72, 1 , 13.42 , 5.37 ,ATL
60116,Wade Hires,Run Stopper,FS,29,74, 1 , 17.90 , 7.16 ,ATL
60809,Michael Fulmer,Balanced,RB,29,76, 1 , 10.90 , 4.36 ,ATL
65877,Todd Brumlow,Pass Blocking,C,28,77, 1 , 19.68 , 7.87 ,ATL
4,Clinton Gregerson,Nose Tackle,DT,25,69, 1 , 13.96 , 5.58 ,BAL
5,James Taylor,Balanced,RB,25,70, 1 , 15.57 , 6.23 ,BAL
205,Patrick Viola,Coverage,OLB,25,69, 1 , 20.76 , 8.31 ,BAL
244,Zack Ellington,Run Stopper,SS,25,65, 1 , 5.39 , 2.15 ,BAL
296,Niles Bell,Run Stopper,OLB,25,64, 1 , 6.97 , 2.79 ,BAL
349,Matt Perez,Zone Coverage,FS,25,71, 1 , 22.11 , 8.85 ,BAL
372,Ehire Pouncey,Speed Rusher,DE,25,60, 1 , 6.51 , 2.60 ,BAL
760,Jordan Albers,Possession,WR,25,62, 1 , 2.89 , 1.16 ,BAL
56818,Kevin Clark,Power,P,30,58, 1 , 0.70 , 0.50 ,BAL
60863,Thomas Gupta,Coverage,ILB,29,68, 1 , 5.64 , 2.26 ,BAL
61597,Ronald Bergeron,Speed,OLB,29,71, 1 , 16.81 , 6.72 ,BAL
63026,Wayne Jones,Balanced,OG,29,70, 1 , 5.38 , 2.15 ,BAL
63526,Patrick Green,Speed,ILB,29,71, 1 , 16.81 , 6.72 ,BAL
67141,Jesus Casillas,Zone Coverage,CB,28,69, 1 , 6.30 , 2.52 ,BAL
15,Kyle Banjo,Pass Rush,OLB,25,63, 1 , 7.14 , 2.86 ,BUF
47,Andrew Martin,Zone Coverage,CB,25,66, 1 , 11.53 , 4.61 ,BUF
198,Brian Ford,Nose Tackle,DT,25,60, 1 , 0.74 , 0.50 ,BUF
285,Marquez Allen,Balanced,OT,25,70, 1 , 25.62 , 10.25 ,BUF
366,John Hollis-Jefferson,Power,K,25,65, 1 , 1.68 , 0.67 ,BUF
387,Yusei Asencio,Pocket,QB,25,71, 1 , 17.12 , 6.85 ,BUF
397,Franklin Hezonja,Speed,WR,25,65, 1 , 6.35 , 2.54 ,BUF
1404,DeAngelo Cook,Pass Blocking,OT,25,62, 1 , 4.28 , 1.71 ,BUF
40150,Louis Perez,Pass Blocking,OG,33,78, 1 , 8.75 , 3.50 ,BUF
56215,Adam Grier,Zone Coverage,FS,30,79, 1 , 21.12 , 8.45 ,BUF
61471,Jan Summers,Vertical Threat,TE,29,77, 1 , 11.97 , 4.79 ,BUF
67924,Mark Tran,Balanced,DT,28,73, 1 , 11.96 , 4.78 ,BUF
28,Dekoda Link,Pocket,QB,25,74, 1 , 37.17 , 14.87 ,CAR
61372,Daniel Degitz,Pocket,QB,29,66, 1 , 4.13 , 1.65 ,CAR
61562,Steven Kapfhammer,Balanced,DT,29,78, 1 , 25.93 , 10.37 ,CAR
61682,Gordon Polak,Man Coverage,CB,29,67, 1 , 3.53 , 1.41 ,CAR
62146,Kyle Taylor,Speed,OLB,29,69, 1 , 5.64 , 2.26 ,CAR
62344,Michael Naccarato,Coverage,OLB,29,71, 1 , 16.81 , 6.72 ,CAR
62531,Jose Maldonado,Speed,WR,29,68, 1 , 4.88 , 1.95 ,CAR
62603,Gilberto Santana,Man Coverage,CB,29,70, 1 , 9.33 , 3.73 ,CAR
64448,Dwaine Pitchford,Red Zone Threat,WR,29,65, 1 , 2.34 , 0.94 ,CAR
64606,Michael Rausch,Receiving,TE,29,63, 1 , 1.10 , 0.50 ,CAR
65814,Aaron Stokes,Balanced,DE,28,86, 1 , 32.67 , 13.07 ,CAR
70385,Michael Rogers,Accuracy,K,27,70, 1 , 1.60 , 0.64 ,CAR
31,Jehu Ginn,Run Stopper,ILB,25,78, 1 , 35.52 , 14.21 ,CHI
321,Mike Turner,Ball Hawk,CB,25,71, 1 , 23.82 , 9.53 ,CHI
1644,John Canady,Ball Hawk,CB,25,66, 1 , 11.53 , 4.61 ,CHI
5613,Henry Blackson,Run Stopper,OLB,24,55, 1 , 0.70 , 0.50 ,CHI
5787,Jon Cracraft,Run Stopper,ILB,24,55, 1 , 0.70 , 0.50 ,CHI
11605,Dwyane Black,Ball Hawk,SS,23,58, 1 , 0.83 , 0.50 ,CHI
64492,Alejandro Roman,Possession,WR,29,61, 1 , 0.73 , 0.50 ,CHI
69192,David George,Possession,WR,28,67, 1 , 2.48 , 0.99 ,CHI
