firstname,,api weight
DAVID,1155,1155
JOHN,2153,998
MICHAEL,3100,947
JAMES,3773,673
PAUL,4305,532
RICHARD,4827,522
PETER,5334,507
KEVIN,5810,476
JOSEPH,6280,470
ROBERT,6725,445
THOMAS,7155,430
YOUNG,7577,422
WILLIAM,7992,415
HUNG,8403,411
WEI,8802,399
HONG,9191,389
DANIEL,9579,388
HENRY,9966,387
STEVEN,10352,386
ERIC,10730,378
THANH,11095,365
TONY,11451,356
YONG,11799,348
JASON,12137,338
ANDREW,12473,336
ANTHONY,12798,325
MINH,13114,316
MOHAMMAD,13417,303
EDWARD,13713,296
LI,14007,294
BRIAN,14298,291
CHRISTOPHER,14588,290
GEORGE,14873,285
KENNETH,15144,271
RAYMOND,15409,265
JIAN,15674,265
JIN,15936,262
JUN,16189,253
MARK,16441,252
TUAN,16691,250
CHARLES,16933,242
RAJESH,17175,242
JEFFREY,17416,241
STEPHEN,17657,241
YAN,17897,240
SUNG,18135,238
GARY,18366,231
MING,18597,231
ALAN,18827,230
MOHAMMED,19057,230
JIMMY,19284,227
VINCENT,19508,224
JONATHAN,19731,223
MIN,19954,223
YU,20175,221
JOSE,20393,218
DENNIS,20610,217
SANJAY,20827,217
CHI,21044,217
PHUONG,21260,216
ANDY,21474,214
SYED,21687,213
HAI,21898,211
STEVE,22106,208
DUNG,22312,206
DANNY,22512,200
YI,22711,199
BENJAMIN,22909,198
SANG,23107,198
VICTOR,23303,196
PATRICK,23496,193
JING,23686,190
FRANK,23875,189
RONALD,24063,188
YING,24247,184
ALBERT,24429,182
DONG,24611,182
LONG,24792,181
PHILIP,24971,179
SAMUEL,25150,179
MEI,25328,178
HUI,25506,178
JUNG,25684,178
ALEX,25861,177
ANH,26036,175
KYUNG,26210,174
AMIT,26382,172
ANIL,26553,171
SON,26724,171
HOA,26892,168
CUONG,27057,165
SUNIL,27216,159
CHUNG,27373,157
LINH,27529,156
DUC,27684,155
KEN,27838,154
WAI,27992,154
CHANG,28145,153
TIMOTHY,28296,151
VIJAY,28447,151
XIAO,28598,151
VINH,28748,150
JIE,28898,150
RYAN,29047,149
HOANG,29196,149
ALEXANDER,29344,148
TOM,29492,148
RAVI,29640,148
TAM,29788,148
CHUN,29935,147
WEN,30081,146
