firstname,,black weight
JAMES,1499,1499
MICHAEL,2774,1275
ROBERT,3816,1042
CHARLES,4718,902
JOHN,5611,893
WILLIAM,6427,816
ANTHONY,7171,744
WILLIE,7855,684
DAVID,8527,672
JOSEPH,9093,566
KENNETH,9621,528
RONALD,10101,480
GEORGE,10553,452
KEVIN,10970,417
CHRISTOPHER,11384,414
RICHARD,11793,409
GREGORY,12198,405
ERIC,12602,404
LARRY,12998,396
DONALD,13390,392
THOMAS,13749,359
EDWARD,14095,346
SAMUEL,14404,309
REGINALD,14713,309
MARK,14994,281
TIMOTHY,15249,255
PAUL,15500,251
HENRY,15751,251
KEITH,15999,248
BRIAN,16243,244
WALTER,16485,242
DANIEL,16725,240
CARL,16965,240
MELVIN,17191,226
RAYMOND,17416,225
STEVEN,17637,221
CURTIS,17846,209
DERRICK,18055,209
PATRICK,18263,208
ARTHUR,18469,206
GARY,18672,203
RODNEY,18874,202
ANDRE,19076,202
CLARENCE,19274,198
DARRYL,19470,196
CALVIN,19663,193
JERRY,19855,192
FRANK,20046,191
LAWRENCE,20237,191
JEFFREY,20425,188
JASON,20610,185
ANDREW,20794,184
ALBERT,20975,181
EDDIE,21146,171
MARVIN,21313,167
ERNEST,21478,165
MARCUS,21642,164
WAYNE,21805,163
HAROLD,21968,163
NATHANIEL,22131,163
FREDERICK,22290,159
GERALD,22448,158
TYRONE,22604,156
STEPHEN,22759,155
BOBBY,22914,155
LEROY,23069,155
VINCENT,23223,154
JEROME,23376,153
DENNIS,23524,148
JOHNNY,23672,148
EUGENE,23818,146
TONY,23963,145
STANLEY,24105,142
VICTOR,24246,141
LOUIS,24381,135
LEON,24513,132
HOWARD,24643,130
LEONARD,24773,130
EARL,24903,130
BERNARD,25029,126
JOE,25153,124
ALVIN,25277,124
JONATHAN,25399,122
BENJAMIN,25521,122
JESSE,25642,121
PHILLIP,25762,120
AARON,25881,119
ROY,25999,118
RONNIE,26117,118
PETER,26232,115
CRAIG,26346,114
DARRELL,26460,114
BRUCE,26573,113
DWAYNE,26686,113
ALFRED,26797,111
LEE,26907,110
RALPH,27014,107
TROY,27119,105
TRACEY,27224,105
HERBERT,27328,104
DWIGHT,27432,104
MATTHEW,27535,103
ANTONIO,27638,103
THEODORE,27741,103
DOUGLAS,27843,102
VERNON,27944,101
BRANDON,28044,100
BILLY,28143,99
SHAWN,28241,98
ADRIAN,28336,95
HERMAN,28431,95
JIMMY,28524,93
KELVIN,28617,93
ROGER,28709,92
SEAN,28801,92
WARREN,28891,90
HARRY,28980,89
MILTON,29069,89
RUSSELL,29156,87
NORMAN,29243,87
RODERICK,29330,87
GLENN,29416,86
ALLEN,29502,86
FRED,29586,84
RICKY,29669,83
MARION,29752,83
EMMANUEL,29833,81
CARLTON,29914,81
CEDRIC,29995,81
LLOYD,30074,79
MARC,30152,78
DEREK,30230,78
FREDDIE,30308,78
BRYAN,30385,77
MARLON,30462,77
JESSIE,30538,76
WENDELL,30612,74
BARRY,30685,73
CLIFTON,30756,71
PIERRE,30827,71
JEFFERY,30897,70
ISAAC,30967,70
RAY,31036,69
ROLAND,31105,69
TERRANCE,31174,69
DANNY,31242,68
TRAVIS,31310,68
EDWIN,31378,68
TERRENCE,31446,68
CLIFFORD,31513,67
FRANKLIN,31579,66
BYRON,31645,66
WINSTON,31711,66
FRANCIS,31776,65
NATHAN,31840,64
DUANE,31904,64
DARYL,31968,64
FLOYD,32032,64
HORACE,32096,64
STEVE,32159,63
DAMON,32221,62
RANDY,32282,61
ALEXANDER,32343,61
TOMMY,32404,61
CLINTON,32465,61
LESTER,32526,61
OTIS,32587,61
SYLVESTER,32648,61
JERMAINE,32709,61
NICHOLAS,32769,60
ROOSEVELT,32829,60
RUDOLPH,32888,59
JULIUS,32947,59
DALE,33004,57
RANDOLPH,33061,57
JUSTIN,33117,56
JOEL,33173,56
DARREN,33229,56
RYAN,33284,55
PHILIP,33339,55
TODD,33393,54
HARVEY,33447,54
DEXTER,33500,53
LORENZO,33552,52
SOLOMON,33604,52
ALAN,33655,51
CARLOS,33705,50
JOSHUA,33753,48
DON,33801,48
SHERMAN,33849,48
RICARDO,33896,47
OSCAR,33943,47
LEWIS,33990,47
JAMIE,34036,46
OLIVER,34082,46
WILBERT,34128,46
ERROL,34173,45
MARIO,34217,44
ARNOLD,34261,44
WESLEY,34304,43
ALPHONSO,34347,43
ALEX,34389,42
PERRY,34431,42
LUTHER,34473,42
ANTOINE,34515,42
MARTIN,34556,41
LIONEL,34597,41
CHRIS,34637,40
KARL,34677,40
FREDRICK,34717,40
TERRELL,34757,40
SCOTT,34796,39
JEREMY,34835,39
CORNELIUS,34874,39
GENE,34912,38
RICKEY,34950,38
MORRIS,34988,38
ARCHIE,35026,38
MITCHELL,35063,37
TREVOR,35100,37
MOSES,35137,37
TERENCE,35173,36
CHESTER,35209,36
MALCOLM,35245,36
ELIJAH,35281,36
GILBERT,35316,35
IVAN,35351,35
ELBERT,35386,35
EARNEST,35421,35
ALONZO,35456,35
LAMONT,35491,35
KYLE,35525,34
KERRY,35559,34
FELIX,35593,34
OMAR,35627,34
IAN,35660,33
EDGAR,35693,33
DESMOND,35726,33
RUFUS,35759,33
JACK,35791,32
JACOB,35823,32
GERARD,35855,32
SAM,35887,32
MARSHALL,35919,32
MYRON,35951,32
JACQUES,35983,32
WILFRED,36015,32
ABRAHAM,36046,31
ADAM,36076,30
SHELDON,36106,30
MOHAMED,36136,30
