firstname,,hispanic weight
JOSE,7763,7763
JUAN,11516,3753
CARLOS,13907,2391
LUIS,16264,2357
JORGE,18024,1760
JESUS,19765,1741
FRANCISCO,21420,1655
MIGUEL,23047,1627
DAVID,24603,1556
MANUEL,26129,1526
DANIEL,27421,1292
VICTOR,28599,1178
ANTONIO,29706,1107
MARIO,30772,1066
PEDRO,31830,1058
ROBERT,32861,1031
HECTOR,33890,1029
MICHAEL,34897,1007
ROBERTO,35902,1005
RAFAEL,36889,987
RICARDO,37856,967
JAVIER,38801,945
RAUL,39706,905
JOHN,40599,893
OSCAR,41448,849
RICHARD,42280,832
SERGIO,43076,796
RAMON,43866,790
RUBEN,44647,781
FERNANDO,45420,773
JAIME,46189,769
MARTIN,46938,749
ALEJANDRO,47678,740
SALVADOR,48405,727
EDUARDO,49122,717
ARMANDO,49797,675
JULIO,50465,668
JOSEPH,51115,650
ARTURO,51738,623
ENRIQUE,52326,588
CESAR,52896,570
ALFREDO,53449,553
ALBERTO,53997,548
ANTHONY,54523,526
GERARDO,55042,519
GABRIEL,55559,517
GUILLERMO,56051,492
FRANK,56513,462
JAMES,56970,457
WILLIAM,57416,446
ERNESTO,57861,445
GEORGE,58297,436
GUSTAVO,58732,435
EDGAR,59158,426
MARCO,59582,424
EDWARD,60001,419
ANDRES,60404,403
RODOLFO,60798,394
SAMUEL,61180,382
ALFONSO,61557,377
FELIPE,61931,374
PABLO,62303,372
PAUL,62674,371
CHRISTOPHER,63044,370
JOEL,63380,336
JOE,63715,335
RAMIRO,64044,329
ERIC,64365,321
ADRIAN,64679,314
HUGO,64985,306
MARK,65289,304
IGNACIO,65587,298
ROGELIO,65879,292
OMAR,66170,291
BENJAMIN,66460,290
EDWIN,66750,290
HUMBERTO,67040,290
RAYMOND,67324,284
FELIX,67605,281
HENRY,67883,278
MARCOS,68154,271
ABEL,68424,270
GILBERTO,68694,270
THOMAS,68960,266
ISMAEL,69223,263
NELSON,69483,260
ALEX,69742,259
GILBERT,69997,255
STEVEN,70250,253
JESSE,70491,241
ALVARO,70727,236
RIGOBERTO,70962,235
ALBERT,71193,231
SANTIAGO,71423,230
ROLANDO,71642,219
AGUSTIN,71856,214
MAURICIO,72069,213
TOMAS,72276,207
ORLANDO,72482,206
ANDREW,72687,205
RODRIGO,72892,205
LOUIS,73096,204
ISRAEL,73300,204
SAUL,73503,203
CHARLES,73703,200
IVAN,73903,200
EFRAIN,74101,198
JASON,74297,196
PETER,74492,195
ALEXANDER,74686,194
GONZALO,74878,192
RONALD,75069,191
JOAQUIN,75254,185
ARTHUR,75432,178
VICENTE,75607,175
REYNALDO,75781,174
LEONARDO,75949,168
MOISES,76117,168
NICOLAS,76282,165
DIEGO,76446,164
JONATHAN,76605,159
ESTEBAN,76764,159
FIDEL,76923,159
CHRISTIAN,77081,158
MATTHEW,77237,156
ADOLFO,77393,156
ELIAS,77543,150
LORENZO,77691,148
EMILIO,77836,145
WALTER,77977,141
JOHNNY,78118,141
STEVE,78258,140
ISIDRO,78398,140
RUDY,78532,134
ADAN,78666,134
KENNETH,78799,133
RALPH,78931,132
OCTAVIO,79063,132
BRIAN,79194,131
ERNEST,79323,129
HERIBERTO,79452,129
LEONEL,79580,128
ABRAHAM,79707,127
JEFFREY,79833,126
ALFRED,79959,126
GERMAN,80084,125
WILFREDO,80207,123
LARRY,80329,122
GREGORIO,80451,122
NOE,80573,122
KEVIN,80692,119
NICHOLAS,80809,117
TONY,80926,117
FEDERICO,81043,117
VINCENT,81159,116
DENNIS,81274,115
DANNY,81387,113
GREGORY,81499,112
EFREN,81611,112
DOMINGO,81722,111
JIMMY,81832,110
ROGER,81941,109
ISAAC,82050,109
LEOPOLDO,82159,109
JOSHUA,82267,108
BENITO,82375,108
STEPHEN,82480,105
AARON,82585,105
JERRY,82688,103
PATRICK,82790,102
LAWRENCE,82891,101
TIMOTHY,82990,99
GARY,83087,97
ERICK,83183,96
RAYMUNDO,83279,96
BERNARDO,83374,95
NESTOR,83468,94
ADAM,83561,93
ELISEO,83651,90
PHILLIP,83740,89
AURELIO,83829,89
JOSUE,83918,89
ARNULFO,84006,88
DONALD,84093,87
EDDIE,84179,86
MARVIN,84264,85
ERIK,84348,84
ROMAN,84431,83
MARCELO,84514,83
GENARO,84592,78
FREDDY,84669,77
OSVALDO,84746,77
EUGENIO,84822,76
FABIAN,84897,75
HORACIO,84972,75
MILTON,85046,74
ROSENDO,85120,74
ROY,85193,73
WILSON,85266,73
EMMANUEL,85339,73
MARIANO,85412,73
MARCELINO,85485,73
ELOY,85558,73
ALAN,85630,72
MARGARITO,85701,71
PHILIP,85770,69
FRED,85839,69
CLAUDIO,85908,69
RAY,85976,68
EZEQUIEL,86044,68
DOUGLAS,86111,67
ALDO,86178,67
LUCIO,86245,67
LAZARO,86311,66
ADALBERTO,86376,65
MIKE,86440,64
FRANKLIN,86504,64
RYAN,86567,63
MAURO,86630,63
SCOTT,86692,62
EDGARDO,86754,62
JAIRO,86816,62
NORBERTO,86877,61
ISAIAS,86938,61
EUGENE,86998,60
JAMIE,87057,59
LEONARD,87116,59
DARIO,87175,59
ABELARDO,87234,59
HERNAN,87293,59
FERMIN,87352,59
JACOB,87410,58
PETE,87468,58
XAVIER,87526,58
JUSTIN,87582,56
VALENTIN,87638,56
EVERARDO,87694,56
CHRIS,87749,55
SIMON,87804,55
HILARIO,87859,55
GERALD,87913,54
RANDY,87967,54
FAUSTINO,88021,54
MELVIN,88074,53
JEREMY,88126,52
FAUSTO,88178,52
HAROLD,88229,51
ARNOLDO,88280,51
REYES,88331,51
CRISTIAN,88381,50
LUCIANO,88431,50
FREDY,88481,50
PASCUAL,88531,50
BRYAN,88580,49
FLORENTINO,88629,49
EUSEBIO,88678,49
CRISTOBAL,88727,49
FRANCIS,88775,48
CELSO,88823,48
ANIBAL,88871,48
FILIBERTO,88919,48
SEBASTIAN,88966,47
MARC,89012,46
ARNOLD,89058,46
TEODORO,89104,46
URIEL,89150,46
REINALDO,89196,46
MARLON,89241,45
BALTAZAR,89286,45
ELEAZAR,89331,45
LEOBARDO,89376,45
BRANDON,89420,44
AMADO,89464,44
FLAVIO,89508,44
PORFIRIO,89552,44
ROLAND,89595,43
JESSIE,89638,43
RONNIE,89680,42
MAX,89722,42
RUDOLPH,89764,42
ALONSO,89806,42
MODESTO,89848,42
HIPOLITO,89890,42
JUSTO,89932,42
BYRON,89973,41
HERMAN,90014,41
CLEMENTE,90055,41
ARTEMIO,90096,41
OSWALDO,90137,41
DAMIAN,90177,40
GIOVANNI,90217,40
EDMUNDO,90257,40
PATRICIO,90297,40
SALOMON,90337,40
DAGOBERTO,90377,40
RICK,90415,38
BILLY,90453,38
ROMEO,90491,38
AUGUSTO,90529,38
JUVENAL,90567,38
JAY,90604,37
NICK,90641,37
ELVIS,90678,37
FLORENCIO,90715,37
SEGUNDO,90752,37
CANDELARIO,90789,37
ERASMO,90826,37
EDDY,90862,36
PAULO,90898,36
BONIFACIO,90934,36
CIPRIANO,90970,36
MISAEL,91006,36
KEITH,91041,35
DANILO,91076,35
EMILIANO,91111,35
ULISES,91146,35
GABINO,91181,35
RODNEY,91215,34
HARRY,91249,34
MARCUS,91283,34
ANDY,91317,34
LUCAS,91351,34
OTTO,91385,34
SERAFIN,91419,34
GERONIMO,91453,34
LAURO,91487,34
SEAN,91520,33
CARL,91553,33
JACK,91586,33
BOBBY,91619,33
LINO,91652,33
MAXIMO,91685,33
DEMETRIO,91718,33
UBALDO,91751,33
BRUCE,91783,32
SHAWN,91815,32
JIM,91847,32
ANDRE,91879,32
MAXIMILIANO,91911,32
JUVENTINO,91943,32
ERNIE,91974,31
CARMELO,92005,31
ANSELMO,92036,31
FELICIANO,92066,30
DELFINO,92096,30
GILDARDO,92126,30
BLAS,92156,30
RICKY,92185,29
HERBERT,92214,29
