firstname,,aian weight
JOHN,64,64
ROBERT,125,61
MICHAEL,179,54
JAMES,232,53
DAVID,283,51
DANIEL,318,35
WILLIAM,350,32
JOSEPH,381,31
THOMAS,411,30
CHARLES,437,26
CHRISTOPHER,462,25
RONALD,485,23
RICHARD,507,22
JEFFREY,527,20
DONALD,547,20
TIMOTHY,566,19
JASON,585,19
PAUL,603,18
FRANK,621,18
BRIAN,638,17
ANTHONY,655,17
GEORGE,672,17
MARK,687,15
EDWARD,701,14
LARRY,715,14
STEVEN,728,13
ERIC,741,13
ANDREW,753,12
MATTHEW,764,11
KENNETH,775,11
GARY,786,11
BRUCE,797,11
MOHAMMED,808,11
JUSTIN,818,10
GREGORY,827,9
PETER,836,9
SCOTT,844,8
KEVIN,852,8
DENNIS,860,8
MOHAMMAD,868,8
STEPHEN,875,7
JOSE,882,7
PATRICK,889,7
JOSHUA,896,7
RAYMOND,903,7
GERALD,910,7
STEVE,917,7
BRANDON,924,7
JAY,931,7
TRAVIS,938,7
JIMMY,945,7
DOUGLAS,951,6
JERRY,957,6
BENJAMIN,963,6
SAMUEL,969,6
JACK,975,6
NATHAN,981,6
LOUIS,987,6
HAROLD,993,6
TONY,999,6
MELVIN,1005,6
ABRAHAM,1011,6
RAJESH,1017,6
RYAN,1022,5
KEITH,1027,5
SHAWN,1032,5
CHAD,1037,5
PHILLIP,1042,5
JAMIE,1047,5
GLENN,1052,5
RALPH,1057,5
MANUEL,1062,5
DANNY,1067,5
HARRY,1072,5
BRAD,1077,5
GORDON,1082,5
LANCE,1087,5
OSCAR,1092,5
JOHNNY,1097,5
MOHAMED,1102,5
VIJAY,1107,5
JONATHAN,1111,4
TODD,1115,4
ALAN,1119,4
ADAM,1123,4
LAWRENCE,1127,4
SEAN,1131,4
BRADLEY,1135,4
RANDY,1139,4
JON,1143,4
ALBERT,1147,4
RODNEY,1151,4
BRENT,1155,4
ROY,1159,4
JEFFERY,1163,4
JOE,1167,4
THEODORE,1171,4
ERNEST,1175,4
RICK,1179,4
BILLY,1183,4
DUSTIN,1187,4
DARRELL,1191,4
HERBERT,1195,4
DARRYL,1199,4
TOMMY,1203,4
ANDY,1207,4
SANJAY,1211,4
RAVI,1215,4
DEEPAK,1219,4
ANAND,1223,4
PHILIP,1226,3
MARTIN,1229,3
JEREMY,1232,3
CARL,1235,3
WAYNE,1238,3
DALE,1241,3
JOEL,1244,3
CHRIS,1247,3
KYLE,1250,3
ALEXANDER,1253,3
JESSE,1256,3
JACOB,1259,3
JEFF,1262,3
DEREK,1265,3
NORMAN,1268,3
ALEX,1271,3
WARREN,1274,3
JARED,1277,3
BOBBY,1280,3
ZACHARY,1283,3
TOM,1286,3
ADRIAN,1289,3
EDGAR,1292,3
LEWIS,1295,3
NELSON,1298,3
LEON,1301,3
DERRICK,1304,3
FREDRICK,1307,3
BENNY,1310,3
RAMESH,1313,3
KRISHNA,1316,3
VALENTIN,1319,3
RAJENDRA,1322,3
PANKAJ,1325,3
JASWINDER,1328,3
GURPREET,1331,3
KUMAR,1334,3
AMITA,1337,3
BINA,1340,3
AARON,1342,2
ARTHUR,1344,2
VINCENT,1346,2
HENRY,1348,2
BARRY,1350,2
HOWARD,1352,2
FRANCIS,1354,2
BRETT,1356,2
CURTIS,1358,2
TROY,1360,2
JESUS,1362,2
LEONARD,1364,2
FRED,1366,2
NEIL,1368,2
DAN,1370,2
MITCHELL,1372,2
DON,1374,2
DARREN,1376,2
PEDRO,1378,2
DUANE,1380,2
WESLEY,1382,2
KIRK,1384,2
TYLER,1386,2
RAY,1388,2
MARCUS,1390,2
ROSS,1392,2
JIM,1394,2
GILBERT,1396,2
TED,1398,2
NATHANIEL,1400,2
ALBERTO,1402,2
LEROY,1404,2
CAMERON,1406,2
FELIX,1408,2
DWAYNE,1410,2
MAX,1412,2
ISAAC,1414,2
CHESTER,1416,2
RODERICK,1418,2
ORLANDO,1420,2
CONRAD,1422,2
JEFFRY,1424,2
SUNIL,1426,2
SURESH,1428,2
AHMAD,1430,2
AJAY,1432,2
RAKESH,1434,2
HARLAN,1436,2
ORVILLE,1438,2
RAHUL,1440,2
IRVING,1442,2
MILAN,1444,2
KHALID,1446,2
RAM,1448,2
ARVIND,1450,2
SURINDER,1452,2
RAJINDER,1454,2
PRIYA,1456,2
SWATI,1458,2
MILO,1460,2
PRITI,1462,2
VIPUL,1464,2
VENKAT,1466,2
TUSHAR,1468,2
KULWINDER,1470,2
JASBIR,1472,2
BALDEV,1474,2
BIPIN,1476,2
DALJIT,1478,2
BHUPINDER,1480,2
CRAIG,1481,1
ROGER,1482,1
JUAN,1483,1
RUSSELL,1484,1
WALTER,1485,1
VICTOR,1486,1
CARLOS,1487,1
RANDALL,1488,1
MARC,1489,1
LEE,1490,1
FREDERICK,1491,1
EUGENE,1492,1
DEAN,1493,1
MIGUEL,1494,1
ERIK,1495,1
JAIME,1496,1
EDWIN,1497,1
CHRISTIAN,1498,1
KERRY,1499,1
JAN,1500,1
ALFRED,1501,1
JEROME,1502,1
MARVIN,1503,1
RICKY,1504,1
ALLAN,1505,1
RAUL,1506,1
JAVIER,1507,1
FERNANDO,1508,1
WILLIE,1509,1
RONNIE,1510,1
ARMANDO,1511,1
MARION,1512,1
CALVIN,1513,1
JULIO,1514,1
SAM,1515,1
CLARENCE,1516,1
NEAL,1517,1
LUKE,1518,1
ANDRE,1519,1
RON,1520,1
CLAYTON,1521,1
BYRON,1522,1
WADE,1523,1
DARIN,1524,1
BRENDAN,1525,1
FLOYD,1526,1
LAURENCE,1527,1
RANDAL,1528,1
KRISTOPHER,1529,1
JESSIE,1530,1
SPENCER,1531,1
BRET,1532,1
FELIPE,1533,1
JOSH,1534,1
CLINT,1535,1
WALLACE,1536,1
ROMAN,1537,1
DEVIN,1538,1
ERICK,1539,1
STEPHAN,1540,1
ELIAS,1541,1
RUDY,1542,1
HANS,1543,1
SYED,1544,1
MORRIS,1545,1
GRAHAM,1546,1
PRESTON,1547,1
MYRON,1548,1
NOAH,1549,1
BOB,1550,1
RUDOLPH,1551,1
PIERRE,1552,1
RIGOBERTO,1553,1
HEATH,1554,1
CALEB,1555,1
AMIT,1556,1
TY,1557,1
JULIUS,1558,1
JOAQUIN,1559,1
MUHAMMAD,1560,1
LOU,1561,1
BLAINE,1562,1
ELLIOTT,1563,1
MICKEY,1564,1
HUBERT,1565,1
VINCE,1566,1
SAMIR,1567,1
JAYSON,1568,1
FIDEL,1569,1
ASHOK,1570,1
DARWIN,1571,1
LIONEL,1572,1
MONTY,1573,1
BURTON,1574,1
ROD,1575,1
THADDEUS,1576,1
CHASE,1577,1
ERNIE,1578,1
MANISH,1579,1
KAMAL,1580,1
SATISH,1581,1
DEWEY,1582,1
SOLOMON,1583,1
KIRAN,1584,1
BAO,1585,1
MOHAN,1586,1
VENKATA,1587,1
WILBERT,1588,1
ANTONY,1589,1
MARCELINO,1590,1
MAURO,1591,1
HARRIS,1592,1
LUCIANO,1593,1
EMMETT,1594,1
AL,1595,1
CARMELO,1596,1
VINOD,1597,1
HARRISON,1598,1
IBRAHIM,1599,1
LORIN,1600,1
RUFUS,1601,1
ROHIT,1602,1
PRASHANT,1603,1
BHARAT,1604,1
SEEMA,1605,1
NITIN,1606,1
ELTON,1607,1
CHANCE,1608,1
JOSIAH,1609,1
SRINIVASA,1610,1
PRASAD,1611,1
MUKESH,1612,1
CHET,1613,1
EDUARD,1614,1
SACHIN,1615,1
KING,1616,1
DILIP,1617,1
PARKER,1618,1
MADHU,1619,1
MAHENDRA,1620,1
KHALED,1621,1
KAMRAN,1622,1
URIEL,1623,1
NILESH,1624,1
SAN,1625,1
FARID,1626,1
SAID,1627,1
SILAS,1628,1
NARESH,1629,1
EMAD,1630,1
UMA,1631,1
SALIM,1632,1
BASSAM,1633,1
MERVIN,1634,1
EMERSON,1635,1
KAMLESH,1636,1
NIKOLAOS,1637,1
GIRISH,1638,1
MURALI,1639,1
ARCHANA,1640,1
SONAL,1641,1
REKHA,1642,1
GAURAV,1643,1
HARI,1644,1
PASCAL,1645,1
LOI,1646,1
BALAJI,1647,1
RAJAN,1648,1
FAISAL,1649,1
SHAHID,1650,1
SAL,1651,1
SATYA,1652,1
MADHAVI,1653,1
JAYESH,1654,1
SURENDRA,1655,1
PRAVIN,1656,1
PREM,1657,1
LESLY,1658,1
THOR,1659,1
SUMAN,1660,1
RAJU,1661,1
INDERJIT,1662,1
PARUL,1663,1
SANDHYA,1664,1
PARMINDER,1665,1
ARUNA,1666,1
JATINDER,1667,1
MAHER,1668,1
HINA,1669,1
GAUTAM,1670,1
VAISHALI,1671,1
NEELAM,1672,1
NEVIN,1673,1
TIBOR,1674,1
ALKA,1675,1
ALOK,1676,1
HARINDER,1677,1
ANTONELLA,1678,1
SAVITA,1679,1
HEMA,1680,1
NAVIN,1681,1
RENUKA,1682,1
JAYANT,1683,1
SUBHASH,1684,1
NEETA,1685,1
ASIM,1686,1
BURKE,1687,1
TATE,1688,1
BARRON,1689,1
ISSAC,1690,1
