firstname,,white weight
MICHAEL,56176,56176
JOHN,104968,48792
ROBERT,150579,45611
DAVID,195411,44832
JAMES,238396,42985
WILLIAM,268581,30185
RICHARD,295784,27203
THOMAS,322072,26288
MARK,345116,23044
JOSEPH,365545,20429
CHRISTOPHER,385179,19634
DANIEL,404069,18890
STEVEN,421977,17908
JEFFREY,439777,17800
BRIAN,457384,17607
PAUL,473548,16164
MATTHEW,488457,14909
CHARLES,503317,14860
SCOTT,517811,14494
TIMOTHY,531738,13927
KEVIN,545408,13670
STEPHEN,558830,13422
GARY,570412,11582
KENNETH,581951,11539
DONALD,593412,11461
JASON,604463,11051
RONALD,615471,11008
ANDREW,625673,10202
GREGORY,635528,9855
ERIC,645233,9705
PETER,654450,9217
EDWARD,663472,9022
ANTHONY,672170,8698
DOUGLAS,680400,8230
GEORGE,688451,8051
PATRICK,696486,8035
DENNIS,703666,7180
RYAN,709898,6232
LARRY,715911,6013
JONATHAN,721770,5859
FRANK,727511,5741
TODD,733111,5600
CRAIG,738258,5147
BRUCE,743368,5110
KEITH,748475,5107
JOSHUA,753531,5056
ADAM,758073,4542
NICHOLAS,762513,4440
ALAN,766946,4433
RAYMOND,771349,4403
LAWRENCE,775511,4162
PHILIP,779617,4106
ROGER,783676,4059
GERALD,787719,4043
JUSTIN,791584,3865
JERRY,795396,3812
SEAN,799113,3717
BENJAMIN,802717,3604
BRADLEY,806294,3577
JEREMY,809756,3462
BRYAN,813207,3451
AARON,816546,3339
CARL,819685,3139
RUSSELL,822822,3137
WAYNE,825948,3126
CHAD,829028,3080
SHAWN,832077,3049
JACK,835111,3034
MARTIN,838092,2981
DALE,841050,2958
JAMIE,843867,2817
RANDY,846658,2791
JON,849435,2777
RANDALL,852154,2719
PHILLIP,854863,2709
NATHAN,857564,2701
WALTER,860264,2700
GLENN,862837,2573
MARC,865378,2541
JOEL,867867,2489
STEVE,870341,2474
BRANDON,872807,2466
SAMUEL,875223,2416
JAY,877637,2414
ARTHUR,880048,2411
KYLE,882444,2396
BARRY,884836,2392
CHRIS,887128,2292
VINCENT,889418,2290
LEE,891672,2254
RALPH,893868,2196
LOUIS,896027,2159
FREDERICK,898172,2145
HAROLD,900250,2078
DEAN,902314,2064
BRENT,904364,2050
HOWARD,906377,2013
BRETT,908296,1919
JEFFERY,910164,1868
FRANCIS,912030,1866
EUGENE,913883,1853
RODNEY,915736,1853
HENRY,917568,1832
ALEXANDER,919400,1832
JEFF,921231,1831
ALBERT,923052,1821
JACOB,924853,1801
TRAVIS,926651,1798
ROY,928438,1787
TROY,930184,1746
DEREK,931912,1728
STANLEY,933636,1724
ALLEN,935332,1696
CURTIS,936984,1652
KURT,938622,1638
HARRY,940246,1624
LEONARD,941866,1620
THEODORE,943430,1564
JESSE,944992,1562
FRED,946550,1558
DANNY,948103,1553
ERIK,949652,1549
NORMAN,951157,1505
GREG,952629,1472
BRAD,954033,1404
NEIL,955431,1398
VICTOR,956805,1374
KARL,958137,1332
KERRY,959469,1332
JAN,960765,1296
SHANE,962052,1287
GORDON,963334,1282
RICK,964611,1277
CHRISTIAN,965863,1252
JOE,967107,1244
GLEN,968314,1207
MITCHELL,969518,1204
LANCE,970687,1169
DAN,971852,1165
JARED,973007,1155
DUSTIN,974151,1144
STUART,975288,1137
TRACEY,976409,1121
DARREN,977523,1114
DON,978621,1098
KENT,979702,1081
KIRK,980783,1081
IAN,981859,1076
BILLY,982932,1073
ZACHARY,984003,1071
TONY,985068,1065
CLIFFORD,986132,1064
DUANE,987194,1062
BERNARD,988245,1051
ERNEST,989291,1046
WARREN,990337,1046
WESLEY,991377,1040
TYLER,992414,1037
DARRELL,993442,1028
GEOFFREY,994463,1021
JEROME,995466,1003
RICKY,996467,1001
EDWIN,997463,996
ALLAN,998444,981
