name,,api weight
NGUYEN,422108,422108
LEE,714702,292594
KIM,962545,247843
PATEL,1180513,217968
TRAN,1361471,180958
CHEN,1524471,163000
LI,1632657,108186
LE,1738730,106073
WANG,1843382,104652
YANG,1946032,102650
SINGH,2042665,96633
WONG,2138989,96324
PHAM,2220214,81225
PARK,2298080,77866
LIN,2374288,76208
LIU,2449225,74937
CHANG,2522019,72794
HUANG,2592278,70259
WU,2661395,69117
ZHANG,2730159,68764
CHAN,2798635,68476
KHAN,2860523,61888
SHAH,2913995,53472
HUYNH,2967165,53170
YU,3017170,50005
LAM,3066051,48881
CHOI,3114851,48800
KAUR,3161697,46846
VANG,3208147,46450
HO,3254506,46359
CHUNG,3293309,38803
TRUONG,3330378,37069
XIONG,3367153,36775
PHAN,3403411,36258
VU,3438363,34952
VO,3473174,34811
LIM,3507322,34148
LU,3541432,34110
TANG,3574054,32622
CHO,3605909,31855
NGO,3637745,31836
CHENG,3668955,31210
KANG,3699197,30242
TAN,3728866,29669
NG,3757953,29087
DANG,3786822,28869
DO,3815541,28719
HOANG,3844161,28620
LY,3872434,28273
HONG,3900341,27907
HAN,3928000,27659
BUI,3955603,27603
AHMED,3982922,27319
MA,4009527,26605
CHU,4035794,26267
SHARMA,4061679,25885
ALI,4087425,25746
XU,4112598,25173
ZHENG,4137340,24742
DUONG,4161386,24046
SONG,4185278,23892
LIANG,4208626,23348
ZHOU,4231641,23015
KUMAR,4254576,22935
SUN,4277301,22725
LAU,4299963,22662
THAO,4322620,22657
ZHAO,4344499,21879
CHIN,4365411,20912
ZHU,4386299,20888
SHIN,4406942,20643
LEUNG,4426277,19335
JIANG,4445274,18997
HU,4464259,18985
THOMAS,4482708,18449
REYES,4501005,18297
SANTOS,4519284,18279
GUPTA,4537155,17871
CHEUNG,4555006,17851
LAI,4572576,17570
DESAI,4590049,17473
OH,4607507,17458
CRUZ,4624852,17345
CAO,4642123,17271
YEE,4659324,17201
HWANG,4676515,17191
YI,4693453,16938
HA,4710325,16872
DINH,4726808,16483
GARCIA,4743250,16442
JUNG,4759530,16280
LO,4775589,16059
HSU,4791444,15855
CHAU,4807184,15740
YOON,4822465,15281
LUU,4837614,15149
MAI,4852524,14910
CHOW,4867372,14848
TRINH,4882137,14765
HE,4896873,14736
YOUNG,4911551,14678
FONG,4926060,14509
RAHMAN,4940434,14374
HER,4954741,14307
LUONG,4968717,13976
MOUA,4982256,13539
MEHTA,4995579,13323
DOAN,5008681,13102
HUSSAIN,5021687,13006
RAMOS,5034570,12883
KWON,5047315,12745
YOO,5059943,12628
KO,5072407,12464
KONG,5084859,12452
SMITH,5097073,12214
CHIU,5109207,12134
SU,5121318,12111
DELACRUZ,5133410,12092
SHEN,5145449,12039
TAM,5157464,12015
CHONG,5169412,11948
MENDOZA,5181332,11920
PAN,5193238,11906
GAO,5205092,11854
BEGUM,5216930,11838
GUO,5228709,11779
DONG,5240403,11694
VUE,5251865,11462
WOO,5263159,11294
CHOWDHURY,5274350,11191
MATHEW,5285498,11148
THAI,5296630,11132
LOR,5307717,11087
BAUTISTA,5318703,10986
JAIN,5329555,10852
TONG,5340278,10723
YAN,5350957,10679
CHUN,5361601,10644
DAO,5372180,10579
JOHNSON,5382617,10437
TSAI,5392989,10372
FENG,5403291,10302
GILL,5413356,10065
JIN,5423402,10046
PAK,5433382,9980
MALIK,5443322,9940
AHN,5453235,9913
JOSEPH,5463088,9853
GEORGE,5472889,9801
LUO,5482650,9761
SHI,5492389,9739
FERNANDEZ,5502118,9729
FANG,5511792,9674
AHMAD,5521369,9577
QUACH,5530918,9549
YE,5540463,9545
XIE,5550003,9540
JOSHI,5559418,9415
ISLAM,5568784,9366
CHOU,5578038,9254
RAO,5587206,9168
CHA,5596307,9101
VUONG,5605396,9089
WEI,5614443,9047
FLORES,5623469,9026
CHAO,5632484,9015
LOPEZ,5641404,8920
DEGUZMAN,5650226,8822
SYED,5658946,8720
MOON,5667641,8695
TU,5676319,8678
JANG,5684888,8569
TO,5693380,8492
ONG,5701755,8375
SON,5710112,8357
YUN,5718459,8347
REDDY,5726799,8340
YUAN,5735080,8281
ENG,5743345,8265
GONZALES,5751505,8160
LIAO,5759640,8135
KWAN,5767750,8110
CAI,5775854,8104
PENG,5783895,8041
ABRAHAM,5791921,8026
FAN,5799921,8000
CHIANG,5807917,7996
RIVERA,5815895,7978
PEREZ,5823870,7975
AMIN,5831769,7899
FU,5839641,7872
FUNG,5847378,7737
AQUINO,5855094,7716
SIDDIQUI,5862784,7690
DENG,5870439,7655
