name,,black weight
WILLIAMS,774920,774920
JOHNSON,1444252,669332
SMITH,2008823,564571
JONES,2557343,548520
BROWN,3068924,511581
JACKSON,3444499,375575
DAVIS,3797267,352768
THOMAS,4090272,293005
HARRIS,4354892,264620
ROBINSON,4592940,238048
TAYLOR,4806433,213493
WILSON,5014842,208409
MOORE,5215783,200941
WHITE,5401843,186060
LEWIS,5587115,185272
WALKER,5770471,183356
GREEN,5929509,159038
THOMPSON,6086165,156656
WASHINGTON,6241430,155265
ANDERSON,6389917,148487
SCOTT,6534610,144693
CARTER,6668772,134162
WRIGHT,6798342,129570
HILL,6924963,126621
ALLEN,7051261,126298
MILLER,7176231,124970
MITCHELL,7301188,124957
YOUNG,7420701,119513
LEE,7533871,113170
MARTIN,7644604,110733
CLARK,7751625,107021
KING,7857555,105930
EDWARDS,7962700,105145
TURNER,8067741,105041
COLEMAN,8165446,97705
JAMES,8262354,96908
EVANS,8353812,91458
HALL,8441699,87887
RICHARDSON,8529069,87370
ADAMS,8614214,85145
BROOKS,8698445,84231
PARKER,8781794,83349
JENKINS,8863685,81891
STEWART,8944469,80784
CAMPBELL,9023515,79046
HOWARD,9101612,78097
SIMMONS,9177592,75980
SANDERS,9253546,75954
HENDERSON,9327755,74209
COLLINS,9401722,73967
COOPER,9475092,73370
BELL,9546455,71363
WATSON,9616924,70469
ALEXANDER,9686576,69652
BUTLER,9755600,69024
BRYANT,9824188,68588
NELSON,9892053,67865
JORDAN,9956095,64042
MORRIS,10020126,64031
BARNES,10084026,63900
ROBERTS,10147022,62996
REED,10209713,62691
WOODS,10272344,62631
DIXON,10334955,62611
GRAY,10396803,61848
PHILLIPS,10458464,61661
GRIFFIN,10519592,61128
BAILEY,10580717,61125
POWELL,10641702,60985
BAKER,10702290,60588
FORD,10761436,59146
HOLMES,10819883,58447
BANKS,10877572,57689
DANIELS,10934060,56488
ROSS,10990163,56103
ROGERS,11046171,56008
PERRY,11102049,55878
PATTERSON,11157102,55053
JOSEPH,11211811,54709
FOSTER,11266337,54526
GRANT,11320274,53937
HUNTER,11373375,53101
HENRY,11425826,52451
OWENS,11477736,51910
MARSHALL,11528332,50596
MORGAN,11577772,49440
WALLACE,11626499,48727
GRAHAM,11674757,48258
PRICE,11723006,48249
WARD,11771191,48185
HAYES,11819150,47959
FREEMAN,11867086,47936
HAMILTON,11914919,47833
BOYD,11962141,47222
GORDON,12009315,47174
FRANKLIN,12056067,46752
HAWKINS,12101835,45768
SIMS,12147059,45224
ELLIS,12191409,44350
HARRISON,12235685,44276
BENNETT,12279089,43404
KELLY,12322460,43371
HICKS,12365016,42556
CRAWFORD,12407199,42183
GIBSON,12448726,41527
PORTER,12490141,41415
WATKINS,12531150,41009
JEFFERSON,12572114,40964
TUCKER,12612585,40471
WILLIS,12653023,40438
MATTHEWS,12693293,40270
MASON,12733506,40213
FIELDS,12771977,38471
HUGHES,12810087,38110
COOK,12848061,37974
REID,12886034,37973
SIMPSON,12923712,37678
HUDSON,12960718,37006
RUSSELL,12997696,36978
COLE,13034586,36890
WARREN,13071009,36423
WEST,13107196,36187
MURRAY,13142865,35669
MURPHY,13178425,35560
WELLS,13213671,35246
DOUGLAS,13248846,35175
MACK,13283706,34860
FRAZIER,13318133,34427
BRADLEY,13352436,34303
SHAW,13386424,33988
GREENE,13419891,33467
HARPER,13452524,32633
SPENCER,13485020,32496
CHARLES,13517437,32417
PERKINS,13549771,32334
PAYNE,13582041,32270
WEBB,13614262,32221
BYRD,13646397,32135
LAWRENCE,13678367,31970
OLIVER,13710181,31814
ROBERTSON,13741851,31670
COX,13773381,31530
MCDONALD,13804570,31189
AUSTIN,13835705,31135
BERRY,13866397,30692
LOVE,13897084,30687
MONTGOMERY,13927498,30414
BURTON,13957407,29909
MCCOY,13986986,29579
KNIGHT,14016529,29543
PIERRE,14045945,29416
BLACK,14075345,29400
STEPHENS,14104722,29377
NEAL,14133917,29195
PALMER,14162997,29080
HARVEY,14191912,28915
ANDREWS,14220785,28873
CUNNINGHAM,14249530,28745
HAYNES,14278064,28534
RILEY,14306538,28474
ARMSTRONG,14334910,28372
WADE,14363129,28219
