name,,hispanic weight
GARCIA,1073180,1073180
RODRIGUEZ,2099890,1026710
HERNANDEZ,3089859,989969
MARTINEZ,4074852,984993
LOPEZ,4887458,812606
GONZALEZ,5686179,798721
PEREZ,6319768,633589
SANCHEZ,6889566,569798
RAMIREZ,7416219,526653
TORRES,7819707,403488
FLORES,8218698,398991
RIVERA,8574846,356148
GOMEZ,8913442,338596
DIAZ,9235213,321771
CRUZ,9528908,293695
MORALES,9819577,290669
REYES,10110034,290457
GUTIERREZ,10383694,273660
ORTIZ,10650825,267131
CHAVEZ,10884059,233234
RAMOS,11112719,228660
RUIZ,11334014,221295
MENDOZA,11552435,218421
ALVAREZ,11768752,216317
JIMENEZ,11982174,213422
CASTILLO,12190151,207977
VASQUEZ,12388399,198248
ROMERO,12573022,184623
MORENO,12754645,181623
GONZALES,12935170,180525
HERRERA,13114449,179279
AGUILAR,13288501,174052
MEDINA,13460334,171833
VARGAS,13621861,161527
CASTRO,13782830,160969
GUZMAN,13939467,156637
MENDEZ,14091206,151739
FERNANDEZ,14242353,151147
MUNOZ,14390502,148149
SALAZAR,14530454,139952
GARZA,14666418,135964
SOTO,14801407,134989
VAZQUEZ,14933850,132443
ALVARADO,15059901,126051
CONTRERAS,15183088,123187
DELGADO,15306059,122971
PENA,15427026,120967
RIOS,15546653,119627
GUERRERO,15665383,118730
SANDOVAL,15783924,118541
ORTEGA,15902412,118488
ESTRADA,16020780,118368
NUNEZ,16137004,116224
MALDONADO,16250886,113882
DOMINGUEZ,16361946,111060
VALDEZ,16472766,110820
VEGA,16580898,108132
SANTIAGO,16688517,107619
ESPINOZA,16794962,106445
ROJAS,16897376,102414
SILVA,16996521,99145
MEJIA,17094865,98344
MARQUEZ,17192397,97532
JUAREZ,17289921,97524
PADILLA,17384918,94997
LUNA,17477709,92791
ACOSTA,17570247,92538
FIGUEROA,17661644,91397
CORTEZ,17752812,91168
AVILA,17841328,88516
NAVARRO,17929297,87969
MOLINA,18016888,87591
AYALA,18104034,87146
CAMPOS,18191033,86999
SANTOS,18276391,85358
CARRILLO,18361441,85050
CERVANTES,18439748,78307
DURAN,18517625,77877
LARA,18594279,76654
CABRERA,18670390,76111
SOLIS,18746317,75927
MIRANDA,18822127,75810
ROBLES,18897806,75679
FUENTES,18973335,75529
SALINAS,19048712,75377
VELASQUEZ,19122823,74111
OCHOA,19196850,74027
AGUIRRE,19270753,73903
LEON,19344342,73589
CARDENAS,19417101,72759
DELEON,19489707,72606
RIVAS,19561088,71381
CALDERON,19632430,71342
ROSALES,19702509,70079
SERRANO,19771163,68654
CASTANEDA,19837834,66671
TRUJILLO,19903498,65664
MONTOYA,19967036,63538
PACHECO,20030259,63223
OROZCO,20093368,63109
IBARRA,20156339,62971
VALENCIA,20218800,62461
GALLEGOS,20280944,62144
VELAZQUEZ,20342098,61154
CAMACHO,20402902,60804
GUERRA,20463576,60674
COLON,20524011,60435
ESCOBAR,20583545,59534
SUAREZ,20643035,59490
SALAS,20702100,59065
SMITH,20760731,58631
MACIAS,20819311,58580
VILLARREAL,20876279,56968
BARRERA,20933116,56837
FRANCO,20989769,56653
ZAMORA,21046072,56303
DELACRUZ,21101768,55696
SANTANA,21157332,55564
ROMAN,21212509,55177
PINEDA,21267654,55145
TREVINO,21322182,54528
RANGEL,21375714,53532
ARIAS,21429207,53493
LOZANO,21482207,53000
ZUNIGA,21535128,52921
MERCADO,21587716,52588
MELENDEZ,21640054,52338
MORA,21692110,52056
VALENZUELA,21743961,51851
ANDRADE,21794813,50852
MEZA,21845663,50850
VILLANUEVA,21896264,50601
GALVAN,21945920,49656
TAPIA,21995169,49249
ZAVALA,22044342,49173
SOSA,22093289,48947
VELEZ,22141776,48487
CISNEROS,22190012,48236
BENITEZ,22238150,48138
ACEVEDO,22286183,48033
BONILLA,22334173,47990
ARROYO,22381400,47227
VILLA,22428269,46869
RUBIO,22475014,46745
BAUTISTA,22521296,46282
ARELLANO,22567451,46155
JOHNSON,22613065,45614
PONCE,22658595,45530
HUERTA,22703900,45305
BELTRAN,22749121,45221
ROCHA,22793918,44797
VILLEGAS,22838570,44652
CANTU,22883220,44650
MONTES,22927789,44569
BARAJAS,22971343,43554
MATA,23014838,43495
MURILLO,23057589,42751
ROSAS,23100316,42727
CORTES,23143031,42715
GUEVARA,23185722,42691
SALGADO,23228399,42677
ROSARIO,23270212,41813
PALACIOS,23311404,41192
DAVILA,23352218,40814
WILLIAMS,23392686,40468
ESPARZA,23432763,40077
CUEVAS,23472198,39435
CORDOVA,23511391,39193
MARTIN,23550456,39065
TREJO,23589479,39023
QUINTERO,23628204,38725
MARIN,23666216,38012
BRAVO,23703996,37780
CORONA,23741510,37514
MEDRANO,23778944,37434
NAVA,23816138,37194
MAGANA,23853248,37110
DEJESUS,23890204,36956
BROWN,23926417,36213
PORTILLO,23962321,35904
VILLALOBOS,23998126,35805
ENRIQUEZ,24033829,35703
ESQUIVEL,24069400,35571
AVALOS,24104782,35382
BERNAL,24139926,35144
LUGO,24174497,34571
DUARTE,24208879,34382
CANO,24242984,34105
PARRA,24276914,33930
ESPINOSA,24310805,33891
GALINDO,24344556,33751
DELAROSA,24378258,33702
QUINTANA,24411791,33533
ALFARO,24445108,33317
JARAMILLO,24478290,33182
LUCERO,24511242,32952
CORREA,24543888,32646
JONES,24576531,32643
REYNA,24609150,32619
SIERRA,24641543,32393
NIEVES,24673745,32202
SALDANA,24705806,32061
QUINONES,24737351,31545
PERALTA,24768825,31474
BECERRA,24800215,31390
AMAYA,24831489,31274
SAENZ,24862410,30921
TOVAR,24893328,30918
VERA,24923978,30650
LEAL,24954506,30528
CARDONA,24984539,30033
AGUILERA,25014405,29866
ZAPATA,25044187,29782
BAEZ,25073710,29523
