name,,aian weight
SMITH,21742,21742
JOHNSON,39910,18168
BEGAY,56381,16471
LOCKLEAR,70753,14372
JONES,85007,14254
YAZZIE,99142,14135
WILLIAMS,112469,13327
BROWN,124971,12502
DAVIS,134125,9154
WILSON,142624,8499
THOMPSON,150732,8108
THOMAS,158822,8090
MILLER,166487,7665
JACKSON,173992,7505
WHITE,181059,7067
MARTIN,187944,6885
LEE,194666,6722
HUNT,201367,6701
JAMES,207800,6433
LEWIS,214181,6381
ANDERSON,219985,5804
TAYLOR,225694,5709
CLARK,231377,5683
GARCIA,236857,5480
MARTINEZ,242263,5406
BENALLY,247507,5244
SCOTT,252693,5186
TSOSIE,257685,4992
NELSON,262614,4929
MOORE,267539,4925
KING,272100,4561
WALKER,276651,4551
OXENDINE,281197,4546
JACOBS,285645,4448
NEZ,290092,4447
HILL,294309,4217
HARRIS,298491,4182
ALLEN,302641,4150
MITCHELL,306639,3998
YOUNG,310466,3827
JOHN,314212,3746
PHILLIPS,317928,3716
BAKER,321578,3650
MORGAN,325127,3549
CHAVIS,328662,3535
ADAMS,332042,3380
LOPEZ,335365,3323
ROBERTS,338567,3202
HENRY,341764,3197
WRIGHT,344930,3166
JOE,348065,3135
MORRIS,351190,3125
LONG,354217,3027
PARKER,357175,2958
CARTER,360115,2940
REED,363023,2908
GEORGE,365904,2881
RICHARDSON,368761,2857
ROBINSON,371569,2808
COOK,374352,2783
GREEN,377105,2753
CAMPBELL,379846,2741
HALL,382491,2645
EVANS,385122,2631
EDWARDS,387681,2559
CHEE,390237,2556
COLLINS,392776,2539
HARRISON,395293,2517
STEWART,397795,2502
ROGERS,400273,2478
STEVENS,402742,2469
JIM,405165,2423
WARD,407535,2370
CHARLEY,409895,2360
CHAVEZ,412253,2358
RUSSELL,414579,2326
HOWARD,416882,2303
SANDOVAL,419164,2282
SANCHEZ,421431,2267
GRAY,423670,2239
BELL,425898,2228
BLACK,428126,2228
BENNETT,430304,2178
SAM,432465,2161
WOOD,434571,2106
MURPHY,436668,2097
TURNER,438759,2091
COOPER,440836,2077
WATSON,442907,2071
ROSS,444971,2064
PETERSON,447030,2059
SPENCER,449087,2057
CURLEY,451100,2013
FOSTER,453104,2004
BROOKS,455092,1988
HERNANDEZ,457074,1982
HARVEY,459051,1977
RODRIGUEZ,461021,1970
LOWERY,462959,1938
SANDERS,464894,1935
HENDERSON,466772,1878
GIBSON,468621,1849
CUMMINGS,470469,1848
BUTLER,472307,1838
PETERS,474135,1828
PERRY,475931,1796
MARSHALL,477696,1765
COX,479446,1750
WILLIS,481177,1731
BAILEY,482899,1722
TOM,484620,1721
BRYANT,486335,1715
TSO,488043,1708
HARJO,489705,1662
HUNTER,491361,1656
BARNES,492997,1636
GONZALES,494629,1632
FISHER,496260,1631
WEST,497885,1625
FRANCIS,499506,1621
HAMILTON,501119,1613
GRAHAM,502728,1609
FREEMAN,504334,1606
PAUL,505938,1604
BULLARD,507539,1601
HAYES,509112,1573
FOX,510681,1569
WEAVER,512248,1567
BOYD,513813,1565
WOODS,515374,1561
PRICE,516926,1552
HICKS,518477,1551
GRANT,520013,1536
WELLS,521546,1533
DIXON,523077,1531
SAMPSON,524608,1531
WALLACE,526127,1519
JORDAN,527627,1500
FRANK,529127,1500
PATEL,530621,1494
BILLY,532103,1482
FLORES,533578,1475
BEGAYE,535051,1473
PIERCE,536520,1469
ANDREWS,537978,1458
BAHE,539436,1458
STRICKLAND,540893,1457
STONE,542349,1456
KELLY,543792,1443
ROMERO,545231,1439
ANTONE,546665,1434
ALEXANDER,548097,1432
REYNOLDS,549518,1421
SIMMONS,550926,1408
MCDONALD,552333,1407
COLE,553739,1406
PATTERSON,555135,1396
POWELL,556529,1394
BREWER,557923,1394
BILLIOT,559300,1377
OWENS,560670,1370
ROBERTSON,562037,1367
PEREZ,563400,1363
CASTILLO,564759,1359
RICHARDS,566116,1357
SINGH,567458,1342
DUNCAN,568796,1338
LITTLE,570130,1334
DANIELS,571463,1333
FIELDS,572796,1333
TUCKER,574102,1306
BURNS,575396,1294
WARREN,576674,1278
SIMPSON,577946,1272
JENKINS,579215,1269
PALMER,580483,1268
CHARLES,581750,1267
MYERS,583014,1264
SULLIVAN,584273,1259
LYNCH,585532,1259
ARMSTRONG,586787,1255
FRAZIER,588040,1253
HUGHES,589292,1252
ELLIS,590539,1247
MILLS,591784,1245
MOSES,593023,1239
RAY,594261,1238
LANE,595495,1234
CRAWFORD,596728,1233
KNIGHT,597958,1230
MASON,599175,1217
LAMBERT,600392,1217
WELCH,601601,1209
BYRD,602808,1207
WASHINGTON,604014,1206
LAWRENCE,605220,1206
SHAW,606423,1203
TRUJILLO,607623,1200
HOLMES,608814,1191
MORRISON,610001,1187
TOLEDO,611186,1185
OLSON,612367,1181
GONZALEZ,613544,1177
PORTER,614717,1173
RILEY,615881,1164
WHEELER,617044,1163
COLEMAN,618205,1161
LUCERO,619360,1155
WOLFE,620509,1149
DAY,621643,1134
HUDSON,622776,1133
FORD,623903,1127
STANLEY,625026,1123
BRADLEY,626147,1121
WILLIE,627266,1119
RAMIREZ,628380,1114
WEBB,629494,1114
MURRAY,630603,1109
RICE,631709,1106
NICHOLS,632815,1106
MANN,633917,1102
GORDON,635017,1100
JOHNSTON,636107,1090
FRANCISCO,637191,1084
BILLIE,638273,1082
KENNEDY,639351,1078
BERRY,640413,1062
ORTIZ,641474,1061
CURTIS,642522,1048
JEFFERSON,643570,1048
DIAL,644612,1042
CHAPMAN,645648,1036
HALE,646678,1030
AZURE,647699,1021
HAMMONDS,648714,1015
STEELE,649728,1014
MONTOYA,650733,1005
FOWLER,651736,1003
WEBSTER,652738,1002
HART,653739,1001
FRANKLIN,654740,1001
GARDNER,655740,1000
JOSEPH,656739,999
CLOUD,657736,997
MCCOY,658721,985
BIRD,659704,983
HERRERA,660686,982
ROSE,661667,981
PETE,662640,973
AGUILAR,663609,969
STEPHENS,664578,969
MANUEL,665544,966
HAWKINS,666508,964
KEE,667472,964
HARDY,668435,963
LARGO,669396,961
PERKINS,670355,959
VALENZUELA,671313,958
ANTONIO,672271,958
AUSTIN,673228,957
GOMEZ,674178,950
JENSEN,675126,948
ETSITTY,676062,936
WOODY,676996,934
GRIFFIN,677928,932
KELLEY,678856,928
TIGER,679780,924
JOHNS,680701,921
GREENE,681621,920
LOWRY,682532,911
FERGUSON,683439,907
SHIRLEY,684345,906
ASHLEY,685249,904
CRUZ,686151,902
CARROLL,687050,899
ELLIOTT,687946,896
HARPER,688842,896
SHORTY,689738,896
BARTON,690631,893
TYLER,691522,891
HOPKINS,692412,890
ALVAREZ,693301,889
CLEVELAND,694188,887
LOWE,695073,885
CARPENTER,695956,883
STARR,696836,880
TORRES,697711,875
PROCTOR,698580,869
BEAR,699448,868
PLATERO,700310,862
BARNETT,701171,861
DICK,702030,859
OLIVER,702887,857
LYONS,703740,853
BECENTI,704592,852
VERDIN,705442,850
VALENCIA,706289,847
NORRIS,707133,844
MONROE,707976,843
BEN,708819,843
WAGNER,709660,841
BOWMAN,710500,840
DECOTEAU,711337,837
DUNN,712171,834
SNYDER,713004,833
PADILLA,713836,832
PAYNE,714663,827
ROY,715481,818
LIVINGSTON,716297,816
PABLO,717111,814
WATKINS,717924,813
VALDEZ,718736,812
CHARLIE,719547,811
HOWELL,720353,806
SHARP,721158,805
VIGIL,721963,805
WILLIAMSON,722767,804
BARBER,723571,804
POITRA,724375,804
PINO,725175,800
SLOAN,725971,796
EAGLE,726766,795
GILBERT,727559,793
REYES,728345,786
DENNY,729127,782
DEAN,729902,775
LAWSON,730675,773
CHASE,731446,771
ARNOLD,732209,763
MATTHEWS,732970,761
HOLT,733731,761
DAVID,734492,761
LARSON,735252,760
NORTON,736010,758
PERSON,736765,755
MAY,737519,754
RIVERS,738272,753
BLUE,739024,752
BALDWIN,739774,750
KIRK,740524,750
JACK,741274,750
HANSON,742018,744
BOONE,742760,742
HOFFMAN,743495,735
MCKINNEY,744230,735
WOLF,744965,735
COCHRAN,745700,735
GUTIERREZ,746433,733
LOGAN,747166,733
WALTERS,747898,732
JUAN,748630,732
GOODMAN,749361,731
FARMER,750091,730
MIKE,750820,729
MORENO,751548,728
BATES,752274,726
MCCABE,752997,723
CRAIG,753718,721
WADE,754436,718
YELLOWHAIR,755152,716
ANDREW,755867,715
ROBBINS,756580,713
DOUGLAS,757290,710
FRENCH,758000,710
BIA,758709,709
MAYNOR,759417,708
MONTGOMERY,760124,707
ALLISON,760830,706
CROSS,761535,705
RIVERA,762239,704
LEONARD,762943,704
NEWMAN,763646,703
JANIS,764349,703
SALAZAR,765051,702
CARR,765753,702
BURGESS,766455,702
BRADY,767157,702
MORAN,767857,700
DURAN,768554,697
CROWE,769251,697
CALDWELL,769946,695
FULLER,770639,693
MANYGOATS,771330,691
WATTS,772020,690
SHERMAN,772710,690
BUSH,773398,688
BELGARDE,774086,688
GREGORY,774771,685
WATCHMAN,775455,684
BEAVER,776132,677
HANSEN,776808,676
DAVIDSON,777483,675
SNOW,778157,674
PINTO,778830,673
SINGER,779496,666
BISHOP,780160,664
GARRETT,780824,664
BURKE,781487,663
ARTHUR,782150,663
BENSON,782812,662
MILES,783474,662
VAUGHN,784134,660
STRONG,784792,658
MORIN,785448,656
CUNNINGHAM,786099,651
TENORIO,786749,650
SPEARS,787398,649
SANDERSON,788036,638
WESLEY,788674,638
JOSE,789310,636
RANDALL,789945,635
HUBBARD,790578,633
SOLOMON,791210,632
REEVES,791841,631
SILVA,792471,630
BURNETTE,793101,630
PELTIER,793729,628
PATRICK,794355,626
SUMMERS,794981,626
PARRISH,795607,626
ENOS,796233,626
HENSON,796857,624
SIMS,797480,623
REID,798103,623
NEAL,798726,623
GOODWIN,799349,623
GORMAN,799972,623
UNDERWOOD,800593,621
BARRETT,801213,620
MOLINA,801833,620
DENNIS,802453,620
BLAKE,803072,619
SUTTON,803690,618
