Name,,weight
SMITH,1732070,1732070
JOHNSON,2871849,1139779
MILLER,3848733,976884
BROWN,4681489,832756
JONES,5468205,786716
WILLIAMS,6211757,743552
DAVIS,6906131,694374
ANDERSON,7495767,589636
WILSON,8035914,540147
MARTIN,8561477,525563
TAYLOR,9052617,491140
MOORE,9533673,481056
THOMPSON,9997461,463788
WHITE,10430148,432687
CLARK,10850187,420039
THOMAS,11248144,397957
BAKER,11583099,334955
NELSON,11913121,330022
KING,12239661,326540
ALLEN,12565855,326194
YOUNG,12886849,320994
HARRIS,13207714,320865
ADAMS,13524419,316705
LEWIS,13834075,309656
WALKER,14140942,306867
WRIGHT,14442950,302008
HALL,14738690,295740
ROBERTS,15029823,291133
CAMPBELL,15314266,284443
JACKSON,15596726,282460
HILL,15876580,279854
PHILLIPS,16153279,276699
SCOTT,16417920,264641
ROBINSON,16675942,258022
MURPHY,16932267,256325
LEE,17181408,249141
COOK,17428925,247517
GREEN,17673440,244515
EVANS,17916630,243190
COLLINS,18152778,236148
PETERSON,18387632,234854
MORRIS,18622298,234666
MITCHELL,18856911,234613
PARKER,19089475,232564
ROGERS,19317379,227904
STEWART,19542151,224772
TURNER,19766143,223992
WOOD,19988577,222434
CARTER,20207971,219394
MORGAN,20425744,217773
COX,20641573,215829
KELLY,20850380,208807
EDWARDS,21056914,206534
BAILEY,21258212,201298
REED,21455706,197494
WARD,21652564,196858
MYERS,21846825,194261
SULLIVAN,22040699,193874
COOPER,22231440,190741
BENNETT,22421001,189561
HUGHES,22606213,185212
LONG,22789436,183223
FISHER,22966737,177301
PRICE,23140658,173921
RUSSELL,23311368,170710
HOWARD,23481677,170309
GRAY,23650709,169032
WATSON,23817486,166777
REYNOLDS,23979846,162360
FOSTER,24138483,158637
ROSS,24296655,158172
OLSON,24452094,155439
RICHARDSON,24607193,155099
BROOKS,24758744,151551
PERRY,24910237,151493
STEVENS,25061449,151212
POWELL,25212564,151115
SNYDER,25363322,150758
WEST,25511125,147803
COLE,25658236,147111
WAGNER,25802299,144063
MEYER,25945407,143108
KENNEDY,26088349,142942
HAMILTON,26229994,141645
BARNES,26371435,141441
GRAHAM,26512286,140851
SANDERS,26652307,140021
SCHMIDT,26792209,139902
MURRAY,26930743,138534
MCDONALD,27069093,138350
PATTERSON,27207281,138188
GIBSON,27344828,137547
WALLACE,27481421,136593
BUTLER,27617893,136472
BELL,27752701,134808
HAYES,27887468,134767
FOX,28021643,134175
BURNS,28154814,133171
ELLIS,28287771,132957
STONE,28419557,131786
RYAN,28551030,131473
WELLS,28681440,130410
HENDERSON,28811667,130227
HANSEN,28941668,130001
JAMES,29070297,128629
JENKINS,29198901,128604
JORDAN,29326943,128042
WEBB,29454496,127553
GRIFFIN,29581019,126523
ROSE,29706927,125908
HARRISON,29831264,124337
HOFFMAN,29954886,123622
SIMMONS,30076602,121716
MARSHALL,30198045,121443
WEAVER,30319457,121412
JOHNSTON,30439820,120363
OWENS,30560140,120320
NICHOLS,30680130,119990
ALEXANDER,30799198,119068
KELLEY,30917070,117872
MILLS,31034825,117755
PALMER,31152401,117576
TUCKER,31269629,117228
HUNT,31386179,116550
LARSON,31502379,116200
RICE,31618435,116056
SHAW,31734035,115600
SIMPSON,31849534,115499
BLACK,31965014,115480
FORD,32079702,114688
CARLSON,32194021,114319
PETERS,32307964,113943
DUNN,32421218,113254
ARNOLD,32534096,112878
ROBERTSON,32646917,112821
CRAWFORD,32759668,112751
BRYANT,32872363,112695
PIERCE,32984624,112261
CARPENTER,33096609,111985
PORTER,33208415,111806
CARROLL,33319830,111415
OBRIEN,33431095,111265
ELLIOTT,33541906,110811
FREEMAN,33652698,110792
HART,33763185,110487
MASON,33873443,110258
FERGUSON,33983013,109570
JENSEN,34091716,108703
COLEMAN,34200002,108286
GARDNER,34307186,107184
STEPHENS,34414079,106893
HICKS,34520739,106660
WARREN,34627363,106624
BURKE,34732951,105588
HENRY,34837974,105023
GORDON,34941951,103977
LANE,35045493,103542
WOODS,35148931,103438
DUNCAN,35252200,103269
WEBER,35355384,103184
RICHARDS,35458071,102687
HANSON,35560445,102374
PAYNE,35662476,102031
CHAPMAN,35764200,101724
WHEELER,35865446,101246
RAY,35965284,99838
SCHULTZ,36064728,99444
CUNNINGHAM,36164019,99291
WALSH,36263297,99278
KNIGHT,36362154,98857
HUNTER,36460885,98731
BISHOP,36559357,98472
ARMSTRONG,36657115,97758
RILEY,36754560,97445
SPENCER,36851699,97139
BOYD,36948660,96961
LYNCH,37045533,96873
SCHNEIDER,37142113,96580
ANDREWS,37238153,96040
MORRISON,37333978,95825
BRADLEY,37428478,94500
BERRY,37522322,93844
PERKINS,37613607,91285
WELCH,37704578,90971
HUDSON,37794841,90263
KELLER,37884657,89816
GILBERT,37974080,89423
LAWRENCE,38063403,89323
HOWELL,38152453,89050
HOLMES,38241488,89035
WILLIAMSON,38330201,88713
JACOBS,38418307,88106
LAWSON,38506215,87908
DAVIDSON,38593911,87696
CARR,38681562,87651
DEAN,38768920,87358
DAY,38856229,87309
DIXON,38942746,86517
SCHWARTZ,39029151,86405
MAY,39115463,86312
GEORGE,39200960,85497
GREENE,39286330,85370
HAWKINS,39371689,85359
FOWLER,39456774,85085
BOWMAN,39541640,84866
BECK,39626300,84660
NEWMAN,39710933,84633
HARPER,39795442,84509
BREWER,39879439,83997
BECKER,39962808,83369
MATTHEWS,40046014,83206
POWERS,40128419,82405
WILLIS,40209399,80980
BARRETT,40290182,80783
AUSTIN,40370947,80765
FULLER,40451573,80626
DANIELS,40531702,80129
CURTIS,40611004,79302
COHEN,40690196,79192
WATKINS,40769025,78829
GRANT,40847789,78764
HOLLAND,40926507,78718
MONTGOMERY,41005192,78685
HARVEY,41083842,78650
LAMBERT,41162213,78371
ZIMMERMAN,41240348,78135
ERICKSON,41318369,78021
KLEIN,41396100,77731
GARRETT,41473543,77443
MCCARTHY,41550097,76554
STANLEY,41626418,76321
WOLFE,41702599,76181
BARKER,41777976,75377
LUCAS,41852389,74413
BURTON,41926797,74408
OLIVER,42001193,74396
LITTLE,42075464,74271
WALTERS,42149574,74110
MCCOY,42223639,74065
LEONARD,42297166,73527
PEARSON,42370630,73464
BARNETT,42443768,73138
CRAIG,42516876,73108
OCONNOR,42589196,72320
BATES,42661247,72051
GREGORY,42733111,71864
NORRIS,42804840,71729
HALE,42876065,71225
HOPKINS,42947278,71213
CHRISTENSEN,43018228,70950
WARNER,43088788,70560
SWANSON,43158310,69522
HOLT,43227792,69482
STEELE,43296831,69039
ROBBINS,43365469,68638
FISCHER,43433730,68261
RHODES,43501514,67784
MCDANIEL,43569106,67592
LOWE,43636492,67386
MANN,43703625,67133
BENSON,43770639,67014
HIGGINS,43837601,66962
REID,43904227,66626
SHELTON,43970747,66520
QUINN,44037132,66385
DOYLE,44103488,66356
SUTTON,44169682,66194
GALLAGHER,44235758,66076
SHARP,44301769,66011
MCLAUGHLIN,44367599,65830
GRIFFITH,44433282,65683
WOLF,44498880,65598
FRANKLIN,44564473,65593
