Reference Location:,"Anchorage, AK",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,45,51,57,57,62,67,0.2772,0.0672,0.0756,0.1566,0.4234,10.7,0,0,3,0,0.28,0,0.5,4.6,9.6
First Week of September,1,43,49,55,55,60,65,0.264,0.064,0.072,0.162,0.438,11.2,0.1,0,3.1,0.1,0.277,0,0.5,5.4,10.4
Second Week of September,2,40,48,56,53,58,63,0.264,0.064,0.072,0.162,0.438,11.2,0.1,0,3.1,0.1,0.277,0,0.5,5.4,10.4
Third Week of September,3,37,45,53,50,55,60,0.264,0.064,0.072,0.162,0.438,11.2,0.1,0,3.1,0.1,0.277,0,0.5,5.4,10.4
Fourth Week of September,4,35,43,51,46,52,58,0.264,0.064,0.072,0.162,0.438,11.2,0.1,0,3.1,0.1,0.277,0,0.5,5.4,10.4
September/October Transition,5,32,40,48,43,49,55,0.2838,0.0688,0.0774,0.1539,0.4161,11.2,0.1,0,3.1,0.1,0.277,0,0.5,5.4,10.4
First Week of October,6,28,37,46,40,46,52,0.2838,0.0688,0.0774,0.1539,0.4161,7.9,0.6,1.1,2,2.8,0.253,2.545,0.5,5.5,10.5
Second Week of October,7,24,34,44,35,42,49,0.2838,0.0688,0.0774,0.1539,0.4161,7.9,0.6,1.1,2,2.8,0.253,2.545,0.5,5.5,10.5
Third Week of October,8,20,31,42,30,38,46,0.2838,0.0688,0.0774,0.1539,0.4161,7.9,0.6,1.1,2,2.8,0.253,2.545,0.5,5.5,10.5
October/November Transition,9,16,28,40,25,34,43,0.2838,0.0688,0.0774,0.1539,0.4161,7.9,0.6,1.1,2,2.8,0.253,2.545,0.5,5.5,10.5
First Week of November,10,12,25,38,22,31,40,0.2838,0.0688,0.0774,0.1539,0.4161,2.2,1,4,0.7,8.1,0.318,2.025,0.5,5.9,11.9
Second Week of November,11,8,23,38,18,28,38,0.2838,0.0688,0.0774,0.1539,0.4161,2.2,1,4,0.7,8.1,0.318,2.025,0.5,5.9,11.9
Third Week of November,12,6,21,36,13,25,37,0.2838,0.0688,0.0774,0.1539,0.4161,2.2,1,4,0.7,8.1,0.318,2.025,0.5,5.9,11.9
Fourth Week of November,13,3,19,35,11,23,35,0.2838,0.0688,0.0774,0.1539,0.4161,2.2,1,4,0.7,8.1,0.318,2.025,0.5,5.9,11.9
First Week of December,14,3,19,35,10,22,34,0.2574,0.0624,0.0702,0.1647,0.4453,1.2,1.3,5.1,0.4,9.6,0.333,1.882,0.5,6.2,12.2
Second Week of December,15,2,18,34,8,21,34,0.2574,0.0624,0.0702,0.1647,0.4453,1.2,1.3,5.1,0.4,9.6,0.333,1.882,0.5,6.2,12.2
Third Week of December,16,1,18,35,9,21,33,0.2574,0.0624,0.0702,0.1647,0.4453,1.2,1.3,5.1,0.4,9.6,0.333,1.882,0.5,6.2,12.2
Fourth Week of December,17,1,18,35,7,20,33,0.2574,0.0624,0.0702,0.1647,0.4453,1.2,1.3,5.1,0.4,9.6,0.333,1.882,0.5,6.2,12.2
December/January Transition,18,-1,17,35,7,20,33,0.2706,0.0656,0.0738,0.1593,0.4307,1.2,1,4.4,0.4,7.4,0.333,1.682,0.5,6.5,12.5
First Week of January,19,-3,17,37,6,20,34,0.2706,0.0656,0.0738,0.1593,0.4307,1.2,1,4.4,0.4,7.4,0.333,1.682,0.5,6.5,12.5
Second Week of January,20,-5,17,39,5,20,35,0.2706,0.0656,0.0738,0.1593,0.4307,1.2,1,4.4,0.4,7.4,0.333,1.682,0.5,6.5,12.5
Third Week of January,21,-5,16,37,5,20,35,0.2706,0.0656,0.0738,0.1593,0.4307,1.2,1,4.4,0.4,7.4,0.333,1.682,0.5,6.5,12.5
January/February Transition,22,-4,17,38,8,22,36,0.2706,0.0656,0.0738,0.1593,0.4307,1.2,0.6,3.3,0.3,6.6,0.25,2,0.5,6.3,12.3
First Week of February,23,-3,17,37,10,23,36,0.2904,0.0704,0.0792,0.1512,0.4088,1.2,0.6,3.3,0.3,6.6,0.25,2,0.5,6.3,12.3
Second Week of February,24,-2,17,36,12,24,36,0.2904,0.0704,0.0792,0.1512,0.4088,1.2,0.6,3.3,0.3,6.6,0.25,2,0.5,6.3,12.3
Third Week of Februrary,25,0,18,36,15,26,37,0.2904,0.0704,0.0792,0.1512,0.4088,1.2,0.6,3.3,0.3,6.6,0.25,2,0.5,6.3,12.3
