Reference Location:,"Birmingham, AL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,71,77,81,88,95,0.4158,0.1008,0.1134,0.0999,0.2701,10.9,0,0,2.9,0,0.266,0.000,0.5,3.2,8.2
First Week of September,1,63,70,77,80,87,94,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,3.2,0,0.421,0.000,0.5,3.8,8.8
Second Week of September,2,61,69,77,79,86,93,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,3.2,0,0.421,0.000,0.5,3.8,8.8
Third Week of September,3,57,66,75,76,84,92,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,3.2,0,0.421,0.000,0.5,3.8,8.8
Fourth Week of September,4,53,64,75,74,82,90,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,3.2,0,0.421,0.000,0.5,3.8,8.8
September/October Transition,5,49,61,73,70,79,88,0.4356,0.1056,0.1188,0.0918,0.2482,7.6,0,0,3.2,0,0.421,0.000,0.5,3.8,8.8
First Week of October,6,45,59,73,68,77,86,0.4356,0.1056,0.1188,0.0918,0.2482,6.7,0,0,3,0,0.448,0.000,0.5,4.2,9.2
Second Week of October,7,42,56,70,66,75,84,0.4356,0.1056,0.1188,0.0918,0.2482,6.7,0,0,3,0,0.448,0.000,0.5,4.2,9.2
Third Week of October,8,40,54,68,63,73,83,0.4356,0.1056,0.1188,0.0918,0.2482,6.7,0,0,3,0,0.448,0.000,0.5,4.2,9.2
October/November Transition,9,38,52,66,59,70,81,0.4356,0.1056,0.1188,0.0918,0.2482,6.7,0,0,3,0,0.448,0.000,0.5,4.2,9.2
First Week of November,10,35,50,65,57,68,79,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.1,0,0.506,0.000,0.5,4.5,10.5
Second Week of November,11,33,48,63,55,66,77,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.1,0,0.506,0.000,0.5,4.5,10.5
Third Week of November,12,32,47,62,52,63,74,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.1,0,0.506,0.000,0.5,4.5,10.5
Fourth Week of November,13,30,45,60,49,61,73,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.1,0,0.506,0.000,0.5,4.5,10.5
First Week of December,14,29,44,59,45,58,71,0.3234,0.0784,0.0882,0.1377,0.3723,9,0.2,0,4.5,0.3,0.500,0.000,0.5,4.6,10.6
Second Week of December,15,27,43,59,43,56,69,0.3234,0.0784,0.0882,0.1377,0.3723,9,0.2,0,4.5,0.3,0.500,0.000,0.5,4.6,10.6
Third Week of December,16,26,41,56,42,55,68,0.3234,0.0784,0.0882,0.1377,0.3723,9,0.2,0,4.5,0.3,0.500,0.000,0.5,4.6,10.6
Fourth Week of December,17,25,40,55,38,53,68,0.3234,0.0784,0.0882,0.1377,0.3723,9,0.2,0,4.5,0.3,0.500,0.000,0.5,4.6,10.6
December/January Transition,18,24,40,56,37,52,67,0.3102,0.0752,0.0846,0.1431,0.3869,9,0.3,0.3,4.5,1.1,0.500,3.667,0.5,4.8,10.8
First Week of January,19,23,39,55,36,51,66,0.3102,0.0752,0.0846,0.1431,0.3869,9,0.3,0.3,4.5,1.1,0.500,3.667,0.5,4.8,10.8
Second Week of January,20,22,38,54,38,52,66,0.3102,0.0752,0.0846,0.1431,0.3869,9,0.3,0.3,4.5,1.1,0.500,3.667,0.5,4.8,10.8
Third Week of January,21,22,38,54,38,52,66,0.3102,0.0752,0.0846,0.1431,0.3869,9,0.3,0.3,4.5,1.1,0.500,3.667,0.5,4.8,10.8
January/February Transition,22,22,38,54,38,52,66,0.3102,0.0752,0.0846,0.1431,0.3869,8.3,0.3,0.1,5,0.4,0.602,4.000,0.5,5,11
First Week of February,23,23,38,53,39,53,67,0.3168,0.0768,0.0864,0.1404,0.3796,8.3,0.3,0.1,5,0.4,0.602,4.000,0.5,5,11
Second Week of February,24,25,40,55,41,55,69,0.3168,0.0768,0.0864,0.1404,0.3796,8.3,0.3,0.1,5,0.4,0.602,4.000,0.5,5,11
Third Week of Februrary,25,27,41,55,41,56,71,0.3168,0.0768,0.0864,0.1404,0.3796,8.3,0.3,0.1,5,0.4,0.602,4.000,0.5,5,11
