Reference Location:,"Little Rock, AR",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,72,79,82,90,98,0.4554,0.1104,0.1242,0.0837,0.2263,8.3,0,0,2.4,0,0.289,0.000,0.5,4.9,9.9
First Week of September,1,63,70,77,79,88,97,0.4554,0.1104,0.1242,0.0837,0.2263,7.5,0,0,2.8,0,0.373,0.000,0.6,5.6,10.6
Second Week of September,2,60,69,78,78,87,96,0.4554,0.1104,0.1242,0.0837,0.2263,7.5,0,0,2.8,0,0.373,0.000,0.6,5.6,10.6
Third Week of September,3,57,66,75,74,84,94,0.4554,0.1104,0.1242,0.0837,0.2263,7.5,0,0,2.8,0,0.373,0.000,0.6,5.6,10.6
Fourth Week of September,4,53,63,73,73,82,91,0.4554,0.1104,0.1242,0.0837,0.2263,7.5,0,0,2.8,0,0.373,0.000,0.6,5.6,10.6
September/October Transition,5,50,61,72,71,80,89,0.4554,0.1104,0.1242,0.0837,0.2263,7.5,0,0,2.8,0,0.373,0.000,0.6,5.6,10.6
First Week of October,6,47,58,69,67,77,87,0.4422,0.1072,0.1206,0.0891,0.2409,7.8,0,0,3.8,0,0.487,0.000,1.1,6.1,11.1
Second Week of October,7,44,56,68,63,74,85,0.4422,0.1072,0.1206,0.0891,0.2409,7.8,0,0,3.8,0,0.487,0.000,1.1,6.1,11.1
Third Week of October,8,42,54,66,61,72,83,0.4422,0.1072,0.1206,0.0891,0.2409,7.8,0,0,3.8,0,0.487,0.000,1.1,6.1,11.1
October/November Transition,9,39,52,65,58,69,80,0.4422,0.1072,0.1206,0.0891,0.2409,7.8,0,0,3.8,0,0.487,0.000,1.1,6.1,11.1
First Week of November,10,36,49,62,54,66,78,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.6,0.1,0.568,0.000,0.5,6.5,12.5
Second Week of November,11,34,47,60,50,63,76,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.6,0.1,0.568,0.000,0.5,6.5,12.5
Third Week of November,12,32,45,58,48,61,74,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.6,0.1,0.568,0.000,0.5,6.5,12.5
Fourth Week of November,13,30,43,56,45,58,71,0.3828,0.0928,0.1044,0.1134,0.3066,8.1,0,0,4.6,0.1,0.568,0.000,0.5,6.5,12.5
First Week of December,14,29,42,55,40,55,70,0.3432,0.0832,0.0936,0.1296,0.3504,7.3,0.4,0.3,4.5,1.4,0.616,4.667,1.6,6.6,12.6
Second Week of December,15,26,40,54,38,53,68,0.3432,0.0832,0.0936,0.1296,0.3504,7.3,0.4,0.3,4.5,1.4,0.616,4.667,1.6,6.6,12.6
Third Week of December,16,25,38,51,36,51,66,0.3432,0.0832,0.0936,0.1296,0.3504,7.3,0.4,0.3,4.5,1.4,0.616,4.667,1.6,6.6,12.6
Fourth Week of December,17,24,38,52,32,49,66,0.3432,0.0832,0.0936,0.1296,0.3504,7.3,0.4,0.3,4.5,1.4,0.616,4.667,1.6,6.6,12.6
December/January Transition,18,22,37,52,33,49,65,0.3432,0.0832,0.0936,0.1296,0.3504,6.1,0.7,0.5,3.1,2,0.508,4.000,1.8,6.8,12.8
First Week of January,19,22,36,50,31,48,65,0.3432,0.0832,0.0936,0.1296,0.3504,6.1,0.7,0.5,3.1,2,0.508,4.000,1.8,6.8,12.8
Second Week of January,20,23,36,49,31,48,65,0.3432,0.0832,0.0936,0.1296,0.3504,6.1,0.7,0.5,3.1,2,0.508,4.000,1.8,6.8,12.8
Third Week of January,21,22,35,48,33,49,65,0.3432,0.0832,0.0936,0.1296,0.3504,6.1,0.7,0.5,3.1,2,0.508,4.000,1.8,6.8,12.8
January/February Transition,22,23,36,49,33,49,65,0.3432,0.0832,0.0936,0.1296,0.3504,6.7,0.6,0.3,3.5,1.5,0.522,5.000,2.1,7.1,13.1
First Week of February,23,23,36,49,34,50,66,0.3432,0.0832,0.0936,0.1296,0.3504,6.7,0.6,0.3,3.5,1.5,0.522,5.000,2.1,7.1,13.1
Second Week of February,24,25,38,51,36,52,68,0.3432,0.0832,0.0936,0.1296,0.3504,6.7,0.6,0.3,3.5,1.5,0.522,5.000,2.1,7.1,13.1
Third Week of Februrary,25,26,38,50,37,53,69,0.3432,0.0832,0.0936,0.1296,0.3504,6.7,0.6,0.3,3.5,1.5,0.522,5.000,2.1,7.1,13.1
