Reference Location:,"Phoenix, AZ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,77,83,89,96,102,108,0.4686,0.1136,0.1278,0.0783,0.2117,5.6,0,0,1,0,0.179,0.000,0.8,5.8,10.8
First Week of September,1,75,82,89,95,101,107,0.5544,0.1344,0.1512,0.0432,0.1168,3.2,0,0,0.7,0,0.219,0.000,1.3,6.3,11.3
Second Week of September,2,74,80,86,94,100,106,0.5544,0.1344,0.1512,0.0432,0.1168,3.2,0,0,0.7,0,0.219,0.000,1.3,6.3,11.3
Third Week of September,3,71,78,85,91,98,105,0.5544,0.1344,0.1512,0.0432,0.1168,3.2,0,0,0.7,0,0.219,0.000,1.3,6.3,11.3
Fourth Week of September,4,69,75,81,89,96,103,0.5544,0.1344,0.1512,0.0432,0.1168,3.2,0,0,0.7,0,0.219,0.000,1.3,6.3,11.3
September/October Transition,5,65,73,81,86,94,102,0.5544,0.1344,0.1512,0.0432,0.1168,3.2,0,0,0.7,0,0.219,0.000,1.3,6.3,11.3
First Week of October,6,62,70,78,84,92,100,0.528,0.128,0.144,0.054,0.146,2,0,0,0.5,0,0.250,0.000,1.6,6.6,11.6
Second Week of October,7,59,67,75,81,89,97,0.528,0.128,0.144,0.054,0.146,2,0,0,0.5,0,0.250,0.000,1.6,6.6,11.6
Third Week of October,8,56,64,72,78,86,94,0.528,0.128,0.144,0.054,0.146,2,0,0,0.5,0,0.250,0.000,1.6,6.6,11.6
October/November Transition,9,54,61,68,74,83,92,0.528,0.128,0.144,0.054,0.146,2,0,0,0.5,0,0.250,0.000,1.6,6.6,11.6
First Week of November,10,51,59,67,71,80,89,0.4752,0.1152,0.1296,0.0756,0.2044,2.3,0,0,0.7,0,0.304,0.000,1.8,6.8,12.8
Second Week of November,11,48,56,64,68,77,86,0.4752,0.1152,0.1296,0.0756,0.2044,2.3,0,0,0.7,0,0.304,0.000,1.8,6.8,12.8
Third Week of November,12,45,53,61,65,74,83,0.4752,0.1152,0.1296,0.0756,0.2044,2.3,0,0,0.7,0,0.304,0.000,1.8,6.8,12.8
Fourth Week of November,13,43,51,59,62,71,80,0.4752,0.1152,0.1296,0.0756,0.2044,2.3,0,0,0.7,0,0.304,0.000,1.8,6.8,12.8
First Week of December,14,41,49,57,60,69,78,0.4356,0.1056,0.1188,0.0918,0.2482,3.3,0,0,1,0,0.303,0.000,1.8,6.8,12.8
Second Week of December,15,40,47,54,59,67,75,0.4356,0.1056,0.1188,0.0918,0.2482,3.3,0,0,1,0,0.303,0.000,1.8,6.8,12.8
Third Week of December,16,38,46,54,56,65,74,0.4356,0.1056,0.1188,0.0918,0.2482,3.3,0,0,1,0,0.303,0.000,1.8,6.8,12.8
Fourth Week of December,17,38,46,54,57,65,73,0.4356,0.1056,0.1188,0.0918,0.2482,3.3,0,0,1,0,0.303,0.000,1.8,6.8,12.8
December/January Transition,18,38,46,54,55,64,73,0.4356,0.1056,0.1188,0.0918,0.2482,3.2,0,0,1,0,0.313,0.000,1.9,6.9,12.9
First Week of January,19,38,46,54,56,65,74,0.4356,0.1056,0.1188,0.0918,0.2482,3.2,0,0,1,0,0.313,0.000,1.9,6.9,12.9
Second Week of January,20,39,46,53,57,66,75,0.4356,0.1056,0.1188,0.0918,0.2482,3.2,0,0,1,0,0.313,0.000,1.9,6.9,12.9
Third Week of January,21,39,47,55,57,66,75,0.4356,0.1056,0.1188,0.0918,0.2482,3.2,0,0,1,0,0.313,0.000,1.9,6.9,12.9
January/February Transition,22,40,47,54,57,67,77,0.4158,0.1008,0.1134,0.0999,0.2701,3.1,0,0,1.1,0,0.355,0.000,1.7,6.7,12.7
First Week of February,23,41,48,55,59,68,77,0.4158,0.1008,0.1134,0.0999,0.2701,3.1,0,0,1.1,0,0.355,0.000,1.7,6.7,12.7
Second Week of February,24,42,49,56,59,69,79,0.4158,0.1008,0.1134,0.0999,0.2701,3.1,0,0,1.1,0,0.355,0.000,1.7,6.7,12.7
Third Week of Februrary,25,42,50,58,60,70,80,0.4158,0.1008,0.1134,0.0999,0.2701,3.1,0,0,1.1,0,0.355,0.000,1.7,6.7,12.7
