Reference Location:,"Redding, CA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,63,69,85,94,103,0.5808,0.1408,0.1584,0.0324,0.0876,0.9,0,0,0.1,0,0.111,0.000,0.5,4,9
First Week of September,1,55,62,69,83,92,101,0.5412,0.1312,0.1476,0.0486,0.1314,2.2,0,0,0.7,0,0.318,0.000,0.5,4.1,9.1
Second Week of September,2,54,61,68,81,91,101,0.5412,0.1312,0.1476,0.0486,0.1314,2.2,0,0,0.7,0,0.318,0.000,0.5,4.1,9.1
Third Week of September,3,53,59,65,78,89,100,0.5412,0.1312,0.1476,0.0486,0.1314,2.2,0,0,0.7,0,0.318,0.000,0.5,4.1,9.1
Fourth Week of September,4,51,58,65,76,87,98,0.5412,0.1312,0.1476,0.0486,0.1314,2.2,0,0,0.7,0,0.318,0.000,0.5,4.1,9.1
September/October Transition,5,49,56,63,72,84,96,0.5412,0.1312,0.1476,0.0486,0.1314,2.2,0,0,0.7,0,0.318,0.000,0.5,4.1,9.1
First Week of October,6,47,55,63,70,82,94,0.4422,0.1072,0.1206,0.0891,0.2409,4.7,0,0,2.1,0,0.447,0.000,0.5,4.2,9.2
Second Week of October,7,45,53,61,66,78,90,0.4422,0.1072,0.1206,0.0891,0.2409,4.7,0,0,2.1,0,0.447,0.000,0.5,4.2,9.2
Third Week of October,8,43,51,59,64,75,86,0.4422,0.1072,0.1206,0.0891,0.2409,4.7,0,0,2.1,0,0.447,0.000,0.5,4.2,9.2
October/November Transition,9,40,49,58,60,71,82,0.4422,0.1072,0.1206,0.0891,0.2409,4.7,0,0,2.1,0,0.447,0.000,0.5,4.2,9.2
First Week of November,10,38,47,56,56,67,78,0.3168,0.0768,0.0864,0.1404,0.3796,9,0.1,0,4.9,0,0.544,0.000,0.5,4.3,10.3
Second Week of November,11,36,45,54,52,63,74,0.3168,0.0768,0.0864,0.1404,0.3796,9,0.1,0,4.9,0,0.544,0.000,0.5,4.3,10.3
Third Week of November,12,33,43,53,51,61,71,0.3168,0.0768,0.0864,0.1404,0.3796,9,0.1,0,4.9,0,0.544,0.000,0.5,4.3,10.3
Fourth Week of November,13,32,42,52,48,58,68,0.3168,0.0768,0.0864,0.1404,0.3796,9,0.1,0,4.9,0,0.544,0.000,0.5,4.3,10.3
First Week of December,14,31,41,51,46,56,66,0.2772,0.0672,0.0756,0.1566,0.4234,10.7,0.3,0,6.8,0,0.636,0.000,0.5,4.4,10.4
Second Week of December,15,30,40,50,44,54,64,0.2772,0.0672,0.0756,0.1566,0.4234,10.7,0.3,0,6.8,0,0.636,0.000,0.5,4.4,10.4
Third Week of December,16,29,39,49,43,53,63,0.2772,0.0672,0.0756,0.1566,0.4234,10.7,0.3,0,6.8,0,0.636,0.000,0.5,4.4,10.4
Fourth Week of December,17,29,39,49,43,53,63,0.2772,0.0672,0.0756,0.1566,0.4234,10.7,0.3,0,6.8,0,0.636,0.000,0.5,4.4,10.4
December/January Transition,18,29,38,47,41,52,63,0.2706,0.0656,0.0738,0.1593,0.4307,10.4,0.4,0,6.1,0,0.587,0.000,0.5,4.3,10.3
First Week of January,19,29,38,47,42,53,64,0.2706,0.0656,0.0738,0.1593,0.4307,10.4,0.4,0,6.1,0,0.587,0.000,0.5,4.3,10.3
Second Week of January,20,30,39,48,43,54,65,0.2706,0.0656,0.0738,0.1593,0.4307,10.4,0.4,0,6.1,0,0.587,0.000,0.5,4.3,10.3
Third Week of January,21,30,39,48,44,55,66,0.2706,0.0656,0.0738,0.1593,0.4307,10.4,0.4,0,6.1,0,0.587,0.000,0.5,4.3,10.3
January/February Transition,22,30,40,50,44,56,68,0.2706,0.0656,0.0738,0.1593,0.4307,10.3,0.1,0,6.7,0,0.650,0.000,0.5,4.5,10.5
First Week of February,23,31,41,51,45,57,69,0.2706,0.0656,0.0738,0.1593,0.4307,10.3,0.1,0,6.7,0,0.650,0.000,0.5,4.5,10.5
Second Week of February,24,32,41,50,47,58,69,0.2706,0.0656,0.0738,0.1593,0.4307,10.3,0.1,0,6.7,0,0.650,0.000,0.5,4.5,10.5
Third Week of Februrary,25,33,42,51,47,59,71,0.2706,0.0656,0.0738,0.1593,0.4307,10.3,0.1,0,6.7,0,0.650,0.000,0.5,4.5,10.5
