Reference Location:,"Los Angeles, LA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,62,66,70,76,84,92,0.594,0.144,0.162,0.027,0.073,0.3,0,0,0,0,0.000,0.000,0.5,5.2,10.2
First Week of September,1,61,66,71,74,83,92,0.594,0.144,0.162,0.027,0.073,0.5,0,0,0.2,0,0.400,0.000,0.5,5.4,10.4
Second Week of September,2,61,66,71,74,83,92,0.594,0.144,0.162,0.027,0.073,0.5,0,0,0.2,0,0.400,0.000,0.5,5.4,10.4
Third Week of September,3,60,65,70,72,82,92,0.594,0.144,0.162,0.027,0.073,0.5,0,0,0.2,0,0.400,0.000,0.5,5.4,10.4
Fourth Week of September,4,59,64,69,71,81,91,0.594,0.144,0.162,0.027,0.073,0.5,0,0,0.2,0,0.400,0.000,0.5,5.4,10.4
September/October Transition,5,58,63,68,71,81,91,0.594,0.144,0.162,0.027,0.073,0.5,0,0,0.2,0,0.400,0.000,0.5,5.4,10.4
First Week of October,6,57,62,67,67,79,91,0.528,0.128,0.144,0.054,0.146,1.6,0,0,0.5,0,0.313,0.000,1.2,6.2,11.2
Second Week of October,7,56,61,66,66,78,90,0.528,0.128,0.144,0.054,0.146,1.6,0,0,0.5,0,0.313,0.000,1.2,6.2,11.2
Third Week of October,8,55,60,65,66,77,88,0.528,0.128,0.144,0.054,0.146,1.6,0,0,0.5,0,0.313,0.000,1.2,6.2,11.2
October/November Transition,9,53,58,63,63,75,87,0.528,0.128,0.144,0.054,0.146,1.6,0,0,0.5,0,0.313,0.000,1.2,6.2,11.2
First Week of November,10,51,57,63,63,74,85,0.462,0.112,0.126,0.081,0.219,2.8,0,0,1,0,0.357,0.000,2.4,7.4,13.4
Second Week of November,11,49,55,61,61,72,83,0.462,0.112,0.126,0.081,0.219,2.8,0,0,1,0,0.357,0.000,2.4,7.4,13.4
Third Week of November,12,47,53,59,60,71,82,0.462,0.112,0.126,0.081,0.219,2.8,0,0,1,0,0.357,0.000,2.4,7.4,13.4
Fourth Week of November,13,46,52,58,60,70,80,0.462,0.112,0.126,0.081,0.219,2.8,0,0,1,0,0.357,0.000,2.4,7.4,13.4
First Week of December,14,45,51,57,58,68,78,0.4092,0.0992,0.1116,0.1026,0.2774,4.7,0,0,2.1,0,0.447,0.000,3.4,8.4,14.4
Second Week of December,15,44,50,56,57,67,77,0.4092,0.0992,0.1116,0.1026,0.2774,4.7,0,0,2.1,0,0.447,0.000,3.4,8.4,14.4
Third Week of December,16,42,49,56,56,66,76,0.4092,0.0992,0.1116,0.1026,0.2774,4.7,0,0,2.1,0,0.447,0.000,3.4,8.4,14.4
Fourth Week of December,17,42,48,54,54,65,76,0.4092,0.0992,0.1116,0.1026,0.2774,4.7,0,0,2.1,0,0.447,0.000,3.4,8.4,14.4
December/January Transition,18,42,48,54,54,65,76,0.4026,0.0976,0.1098,0.1053,0.2847,5.2,0,0,2.6,0,0.500,0.000,3.3,8.3,14.3
First Week of January,19,42,48,54,55,66,77,0.4026,0.0976,0.1098,0.1053,0.2847,5.2,0,0,2.6,0,0.500,0.000,3.3,8.3,14.3
Second Week of January,20,43,49,55,54,66,78,0.4026,0.0976,0.1098,0.1053,0.2847,5.2,0,0,2.6,0,0.500,0.000,3.3,8.3,14.3
Third Week of January,21,43,49,55,54,66,78,0.4026,0.0976,0.1098,0.1053,0.2847,5.2,0,0,2.6,0,0.500,0.000,3.3,8.3,14.3
January/February Transition,22,43,49,55,55,67,79,0.3828,0.0928,0.1044,0.1134,0.3066,5.4,0,0,3.3,0,0.611,0.000,2.8,7.8,13.8
First Week of February,23,43,50,57,53,66,79,0.3828,0.0928,0.1044,0.1134,0.3066,5.4,0,0,3.3,0,0.611,0.000,2.8,7.8,13.8
Second Week of February,24,44,50,56,53,66,79,0.3828,0.0928,0.1044,0.1134,0.3066,5.4,0,0,3.3,0,0.611,0.000,2.8,7.8,13.8
Third Week of Februrary,25,44,51,58,54,66,78,0.3828,0.0928,0.1044,0.1134,0.3066,5.4,0,0,3.3,0,0.611,0.000,2.8,7.8,13.8
