Reference Location:,"Denver, CO",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,60,66,74,83,92,0.4488,0.1088,0.1224,0.0864,0.2336,8,0,0,1.4,0,0.175,0.000,2,7,12
First Week of September,1,52,59,66,71,81,91,0.4884,0.1184,0.1332,0.0702,0.1898,4.7,0.1,0,1,0.1,0.213,0.000,2.3,7.3,12.3
Second Week of September,2,49,57,65,69,79,89,0.4884,0.1184,0.1332,0.0702,0.1898,4.7,0.1,0,1,0.1,0.213,0.000,2.3,7.3,12.3
Third Week of September,3,46,54,62,64,76,88,0.4884,0.1184,0.1332,0.0702,0.1898,4.7,0.1,0,1,0.1,0.213,0.000,2.3,7.3,12.3
Fourth Week of September,4,43,51,59,62,74,86,0.4884,0.1184,0.1332,0.0702,0.1898,4.7,0.1,0,1,0.1,0.213,0.000,2.3,7.3,12.3
September/October Transition,5,39,49,59,58,71,84,0.4884,0.1184,0.1332,0.0702,0.1898,4.7,0.1,0,1,0.1,0.213,0.000,2.3,7.3,12.3
First Week of October,6,36,46,56,54,68,82,0.4554,0.1104,0.1242,0.0837,0.2263,2.9,0.6,0.2,0.6,1.2,0.207,6.000,2.6,7.6,12.6
Second Week of October,7,34,44,54,52,66,80,0.4554,0.1104,0.1242,0.0837,0.2263,2.9,0.6,0.2,0.6,1.2,0.207,6.000,2.6,7.6,12.6
Third Week of October,8,31,42,53,47,62,77,0.4554,0.1104,0.1242,0.0837,0.2263,2.9,0.6,0.2,0.6,1.2,0.207,6.000,2.6,7.6,12.6
October/November Transition,9,29,40,51,45,60,75,0.4554,0.1104,0.1242,0.0837,0.2263,2.9,0.6,0.2,0.6,1.2,0.207,6.000,2.6,7.6,12.6
First Week of November,10,26,38,50,41,57,73,0.4026,0.0976,0.1098,0.1053,0.2847,1.2,0.9,0.8,0.3,2.1,0.250,2.625,3.2,8.2,14.2
Second Week of November,11,23,36,49,37,54,71,0.4026,0.0976,0.1098,0.1053,0.2847,1.2,0.9,0.8,0.3,2.1,0.250,2.625,3.2,8.2,14.2
Third Week of November,12,20,33,46,35,52,69,0.4026,0.0976,0.1098,0.1053,0.2847,1.2,0.9,0.8,0.3,2.1,0.250,2.625,3.2,8.2,14.2
Fourth Week of November,13,17,31,45,32,49,66,0.4026,0.0976,0.1098,0.1053,0.2847,1.2,0.9,0.8,0.3,2.1,0.250,2.625,3.2,8.2,14.2
First Week of December,14,16,29,42,30,47,64,0.3894,0.0944,0.1062,0.1107,0.2993,0.4,0.4,1.1,0.1,2.4,0.250,2.182,3.9,8.9,14.9
Second Week of December,15,12,27,42,26,44,62,0.3894,0.0944,0.1062,0.1107,0.2993,0.4,0.4,1.1,0.1,2.4,0.250,2.182,3.9,8.9,14.9
Third Week of December,16,11,26,41,26,43,60,0.3894,0.0944,0.1062,0.1107,0.2993,0.4,0.4,1.1,0.1,2.4,0.250,2.182,3.9,8.9,14.9
Fourth Week of December,17,10,26,42,25,42,59,0.3894,0.0944,0.1062,0.1107,0.2993,0.4,0.4,1.1,0.1,2.4,0.250,2.182,3.9,8.9,14.9
December/January Transition,18,10,25,40,26,42,58,0.3894,0.0944,0.1062,0.1107,0.2993,0.5,0.4,1.2,0.1,1.8,0.200,1.500,4.5,9.5,15.5
First Week of January,19,10,26,42,27,43,59,0.3894,0.0944,0.1062,0.1107,0.2993,0.5,0.4,1.2,0.1,1.8,0.200,1.500,4.5,9.5,15.5
Second Week of January,20,12,27,42,28,44,60,0.3894,0.0944,0.1062,0.1107,0.2993,0.5,0.4,1.2,0.1,1.8,0.200,1.500,4.5,9.5,15.5
Third Week of January,21,11,27,43,26,43,60,0.3894,0.0944,0.1062,0.1107,0.2993,0.5,0.4,1.2,0.1,1.8,0.200,1.500,4.5,9.5,15.5
January/February Transition,22,10,27,44,26,43,60,0.3696,0.0896,0.1008,0.1188,0.3212,0.8,0.6,0.9,0.2,1.9,0.250,2.111,4.2,9.2,15.2
First Week of February,23,11,27,43,27,44,61,0.3696,0.0896,0.1008,0.1188,0.3212,0.8,0.6,0.9,0.2,1.9,0.250,2.111,4.2,9.2,15.2
Second Week of February,24,12,28,44,29,45,61,0.3696,0.0896,0.1008,0.1188,0.3212,0.8,0.6,0.9,0.2,1.9,0.250,2.111,4.2,9.2,15.2
Third Week of Februrary,25,13,28,43,30,46,62,0.3696,0.0896,0.1008,0.1188,0.3212,0.8,0.6,0.9,0.2,1.9,0.250,2.111,4.2,9.2,15.2
