Reference Location:,"Hartford, CT",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,63,72,70,79,88,0.4092,0.0992,0.1116,0.1026,0.2774,9.3,0,0,3.4,0,0.366,0.000,0.5,3.8,8.8
First Week of September,1,52,62,72,70,78,86,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,3.5,0,0.438,0.000,0.5,4.2,9.2
Second Week of September,2,50,60,70,67,76,85,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,3.5,0,0.438,0.000,0.5,4.2,9.2
Third Week of September,3,47,58,69,65,74,83,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,3.5,0,0.438,0.000,0.5,4.2,9.2
Fourth Week of September,4,44,56,68,61,71,81,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,3.5,0,0.438,0.000,0.5,4.2,9.2
September/October Transition,5,41,53,65,58,68,78,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,3.5,0,0.438,0.000,0.5,4.2,9.2
First Week of October,6,39,50,61,54,65,76,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0.1,0,3.8,0.2,0.494,0.000,0.5,4.8,9.8
Second Week of October,7,36,48,60,52,63,74,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0.1,0,3.8,0.2,0.494,0.000,0.5,4.8,9.8
Third Week of October,8,34,45,56,48,60,72,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0.1,0,3.8,0.2,0.494,0.000,0.5,4.8,9.8
October/November Transition,9,32,43,54,45,57,69,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0.1,0,3.8,0.2,0.494,0.000,0.5,4.8,9.8
First Week of November,10,30,42,54,44,55,66,0.3498,0.0848,0.0954,0.1269,0.3431,6.6,0.8,0.2,3.4,1.6,0.515,8.000,0.5,5.4,11.4
Second Week of November,11,28,40,52,40,52,64,0.3498,0.0848,0.0954,0.1269,0.3431,6.6,0.8,0.2,3.4,1.6,0.515,8.000,0.5,5.4,11.4
Third Week of November,12,26,38,50,37,49,61,0.3498,0.0848,0.0954,0.1269,0.3431,6.6,0.8,0.2,3.4,1.6,0.515,8.000,0.5,5.4,11.4
Fourth Week of November,13,24,36,48,33,46,59,0.3498,0.0848,0.0954,0.1269,0.3431,6.6,0.8,0.2,3.4,1.6,0.515,8.000,0.5,5.4,11.4
First Week of December,14,22,34,46,32,44,56,0.3168,0.0768,0.0864,0.1404,0.3796,5,1.6,1.6,2.7,6.9,0.540,4.313,0.5,5.8,11.8
Second Week of December,15,19,32,45,28,41,54,0.3168,0.0768,0.0864,0.1404,0.3796,5,1.6,1.6,2.7,6.9,0.540,4.313,0.5,5.8,11.8
Third Week of December,16,17,30,43,26,39,52,0.3168,0.0768,0.0864,0.1404,0.3796,5,1.6,1.6,2.7,6.9,0.540,4.313,0.5,5.8,11.8
Fourth Week of December,17,15,29,43,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,5,1.6,1.6,2.7,6.9,0.540,4.313,0.5,5.8,11.8
December/January Transition,18,13,27,41,23,36,49,0.3168,0.0768,0.0864,0.1404,0.3796,3.5,1.7,2.3,1.8,10.1,0.514,4.391,0.5,6.4,12.4
First Week of January,19,11,26,41,21,35,49,0.3168,0.0768,0.0864,0.1404,0.3796,3.5,1.7,2.3,1.8,10.1,0.514,4.391,0.5,6.4,12.4
Second Week of January,20,9,25,41,21,34,47,0.3168,0.0768,0.0864,0.1404,0.3796,3.5,1.7,2.3,1.8,10.1,0.514,4.391,0.5,6.4,12.4
Third Week of January,21,8,24,40,21,34,47,0.3168,0.0768,0.0864,0.1404,0.3796,3.5,1.7,2.3,1.8,10.1,0.514,4.391,0.5,6.4,12.4
January/February Transition,22,8,23,38,21,34,47,0.3102,0.0752,0.0846,0.1431,0.3869,3.6,1.4,1.6,2,9.4,0.556,5.875,1.7,6.7,12.7
First Week of February,23,8,23,38,21,34,47,0.3102,0.0752,0.0846,0.1431,0.3869,3.6,1.4,1.6,2,9.4,0.556,5.875,1.7,6.7,12.7
Second Week of February,24,10,25,40,23,36,49,0.3102,0.0752,0.0846,0.1431,0.3869,3.6,1.4,1.6,2,9.4,0.556,5.875,1.7,6.7,12.7
Third Week of Februrary,25,12,26,40,23,37,51,0.3102,0.0752,0.0846,0.1431,0.3869,3.6,1.4,1.6,2,9.4,0.556,5.875,1.7,6.7,12.7
