Reference Location:,"Dover, DE",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,60,67,74,72,81,90,0.4092,0.0992,0.1116,0.1026,0.2774,10.1,0,0,3.5,0,0.347,0.000,2.6,7.6,12.6
First Week of September,1,57,66,75,72,80,88,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,3.4,0,0.442,0.000,3.6,8.6,13.6
Second Week of September,2,55,64,73,71,79,87,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,3.4,0,0.442,0.000,3.6,8.6,13.6
Third Week of September,3,52,62,72,67,76,85,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,3.4,0,0.442,0.000,3.6,8.6,13.6
Fourth Week of September,4,49,60,71,64,74,84,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,3.4,0,0.442,0.000,3.6,8.6,13.6
September/October Transition,5,46,57,68,61,71,81,0.4158,0.1008,0.1134,0.0999,0.2701,7.7,0,0,3.4,0,0.442,0.000,3.6,8.6,13.6
First Week of October,6,44,55,66,59,69,79,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.3,0,0.452,0.000,4.8,9.8,14.8
Second Week of October,7,41,53,65,55,66,77,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.3,0,0.452,0.000,4.8,9.8,14.8
Third Week of October,8,39,50,61,53,64,75,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.3,0,0.452,0.000,4.8,9.8,14.8
October/November Transition,9,37,48,59,50,61,72,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.3,0,0.452,0.000,4.8,9.8,14.8
First Week of November,10,35,46,57,48,59,70,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0.2,0.1,3.1,0.4,0.437,4.000,5.7,10.7,16.7
Second Week of November,11,32,44,56,44,56,68,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0.2,0.1,3.1,0.4,0.437,4.000,5.7,10.7,16.7
Third Week of November,12,30,42,54,41,54,67,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0.2,0.1,3.1,0.4,0.437,4.000,5.7,10.7,16.7
Fourth Week of November,13,28,40,52,39,52,65,0.3696,0.0896,0.1008,0.1188,0.3212,7.1,0.2,0.1,3.1,0.4,0.437,4.000,5.7,10.7,16.7
First Week of December,14,26,39,52,36,49,62,0.33,0.08,0.09,0.135,0.365,6.5,0.8,0.4,3,2.5,0.462,6.250,6,11,17
Second Week of December,15,24,37,50,34,47,60,0.33,0.08,0.09,0.135,0.365,6.5,0.8,0.4,3,2.5,0.462,6.250,6,11,17
Third Week of December,16,22,35,48,31,45,59,0.33,0.08,0.09,0.135,0.365,6.5,0.8,0.4,3,2.5,0.462,6.250,6,11,17
Fourth Week of December,17,21,34,47,29,43,57,0.33,0.08,0.09,0.135,0.365,6.5,0.8,0.4,3,2.5,0.462,6.250,6,11,17
December/January Transition,18,19,33,47,27,42,57,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.4,1,2.3,5.1,0.479,5.100,6.4,11.4,17.4
First Week of January,19,18,32,46,26,41,56,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.4,1,2.3,5.1,0.479,5.100,6.4,11.4,17.4
Second Week of January,20,17,31,45,25,40,55,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.4,1,2.3,5.1,0.479,5.100,6.4,11.4,17.4
Third Week of January,21,16,30,44,25,40,55,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.4,1,2.3,5.1,0.479,5.100,6.4,11.4,17.4
January/February Transition,22,16,29,42,25,39,53,0.33,0.08,0.09,0.135,0.365,4.6,1.5,0.8,2.2,5.5,0.478,6.875,6.6,11.6,17.6
First Week of February,23,16,29,42,27,40,53,0.33,0.08,0.09,0.135,0.365,4.6,1.5,0.8,2.2,5.5,0.478,6.875,6.6,11.6,17.6
Second Week of February,24,18,31,44,27,41,55,0.33,0.08,0.09,0.135,0.365,4.6,1.5,0.8,2.2,5.5,0.478,6.875,6.6,11.6,17.6
Third Week of Februrary,25,19,32,45,27,42,57,0.33,0.08,0.09,0.135,0.365,4.6,1.5,0.8,2.2,5.5,0.478,6.875,6.6,11.6,17.6
