Reference Location:,"Tampa, FL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,73,76,79,83,88,93,0.2442,0.0592,0.0666,0.1701,0.4599,21,0,0,6.5,0,0.310,0.000,1.4,6.4,11.4
First Week of September,1,73,76,79,83,88,93,0.2706,0.0656,0.0738,0.1593,0.4307,14.7,0,0,5.5,0,0.374,0.000,2.7,7.7,12.7
Second Week of September,2,72,75,78,84,88,92,0.2706,0.0656,0.0738,0.1593,0.4307,14.7,0,0,5.5,0,0.374,0.000,2.7,7.7,12.7
Third Week of September,3,71,74,77,84,88,92,0.2706,0.0656,0.0738,0.1593,0.4307,14.7,0,0,5.5,0,0.374,0.000,2.7,7.7,12.7
Fourth Week of September,4,69,73,77,83,87,91,0.2706,0.0656,0.0738,0.1593,0.4307,14.7,0,0,5.5,0,0.374,0.000,2.7,7.7,12.7
September/October Transition,5,67,72,77,81,86,91,0.2706,0.0656,0.0738,0.1593,0.4307,14.7,0,0,5.5,0,0.374,0.000,2.7,7.7,12.7
First Week of October,6,64,71,78,80,85,90,0.3762,0.0912,0.1026,0.1161,0.3139,7.4,0,0,2.5,0,0.338,0.000,4.1,9.1,14.1
Second Week of October,7,61,69,77,79,84,89,0.3762,0.0912,0.1026,0.1161,0.3139,7.4,0,0,2.5,0,0.338,0.000,4.1,9.1,14.1
Third Week of October,8,59,67,75,78,83,88,0.3762,0.0912,0.1026,0.1161,0.3139,7.4,0,0,2.5,0,0.338,0.000,4.1,9.1,14.1
October/November Transition,9,56,65,74,75,81,87,0.3762,0.0912,0.1026,0.1161,0.3139,7.4,0,0,2.5,0,0.338,0.000,4.1,9.1,14.1
First Week of November,10,53,64,75,74,80,86,0.4158,0.1008,0.1134,0.0999,0.2701,4.5,0,0,1.7,0,0.378,0.000,4.6,9.6,15.6
Second Week of November,11,51,62,73,71,78,85,0.4158,0.1008,0.1134,0.0999,0.2701,4.5,0,0,1.7,0,0.378,0.000,4.6,9.6,15.6
Third Week of November,12,49,61,73,70,77,84,0.4158,0.1008,0.1134,0.0999,0.2701,4.5,0,0,1.7,0,0.378,0.000,4.6,9.6,15.6
Fourth Week of November,13,47,60,73,69,76,83,0.4158,0.1008,0.1134,0.0999,0.2701,4.5,0,0,1.7,0,0.378,0.000,4.6,9.6,15.6
First Week of December,14,45,59,73,67,75,83,0.396,0.096,0.108,0.108,0.292,5.2,0,0,2,0,0.385,0.000,4.4,9.4,15.4
Second Week of December,15,44,58,72,64,73,82,0.396,0.096,0.108,0.108,0.292,5.2,0,0,2,0,0.385,0.000,4.4,9.4,15.4
Third Week of December,16,42,56,70,62,72,82,0.396,0.096,0.108,0.108,0.292,5.2,0,0,2,0,0.385,0.000,4.4,9.4,15.4
Fourth Week of December,17,41,56,71,61,71,81,0.396,0.096,0.108,0.108,0.292,5.2,0,0,2,0,0.385,0.000,4.4,9.4,15.4
December/January Transition,18,40,55,70,59,70,81,0.396,0.096,0.108,0.108,0.292,6.3,0,0,2.4,0,0.381,0.000,4.7,9.7,15.7
First Week of January,19,39,54,69,60,70,80,0.396,0.096,0.108,0.108,0.292,6.3,0,0,2.4,0,0.381,0.000,4.7,9.7,15.7
Second Week of January,20,39,54,69,58,69,80,0.396,0.096,0.108,0.108,0.292,6.3,0,0,2.4,0,0.381,0.000,4.7,9.7,15.7
Third Week of January,21,40,53,66,59,69,79,0.396,0.096,0.108,0.108,0.292,6.3,0,0,2.4,0,0.381,0.000,4.7,9.7,15.7
January/February Transition,22,40,54,68,59,69,79,0.4158,0.1008,0.1134,0.0999,0.2701,6.1,0,0,2.5,0,0.410,0.000,4.9,9.9,15.9
First Week of February,23,41,54,67,60,70,80,0.4158,0.1008,0.1134,0.0999,0.2701,6.1,0,0,2.5,0,0.410,0.000,4.9,9.9,15.9
Second Week of February,24,43,55,67,62,71,80,0.4158,0.1008,0.1134,0.0999,0.2701,6.1,0,0,2.5,0,0.410,0.000,4.9,9.9,15.9
Third Week of Februrary,25,43,56,69,63,72,81,0.4158,0.1008,0.1134,0.0999,0.2701,6.1,0,0,2.5,0,0.410,0.000,4.9,9.9,15.9
