Reference Location:,"Jacksonville, FL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,71,75,79,81,87,93,0.2838,0.0688,0.0774,0.1539,0.4161,17,0,0,5,0,0.294,0.000,0.7,5.7,10.7
First Week of September,1,71,74,77,82,87,92,0.33,0.08,0.09,0.135,0.365,12.8,0,0,5,0,0.391,0.000,1.7,6.7,11.7
Second Week of September,2,69,74,79,81,86,91,0.33,0.08,0.09,0.135,0.365,12.8,0,0,5,0,0.391,0.000,1.7,6.7,11.7
Third Week of September,3,68,73,78,80,85,90,0.33,0.08,0.09,0.135,0.365,12.8,0,0,5,0,0.391,0.000,1.7,6.7,11.7
Fourth Week of September,4,65,71,77,78,84,90,0.33,0.08,0.09,0.135,0.365,12.8,0,0,5,0,0.391,0.000,1.7,6.7,11.7
September/October Transition,5,62,70,78,77,83,89,0.33,0.08,0.09,0.135,0.365,12.8,0,0,5,0,0.391,0.000,1.7,6.7,11.7
First Week of October,6,58,68,78,75,81,87,0.4158,0.1008,0.1134,0.0999,0.2701,7.5,0,0,3.1,0,0.413,0.000,2.2,7.2,12.2
Second Week of October,7,55,66,77,74,80,86,0.4158,0.1008,0.1134,0.0999,0.2701,7.5,0,0,3.1,0,0.413,0.000,2.2,7.2,12.2
Third Week of October,8,53,64,75,71,78,85,0.4158,0.1008,0.1134,0.0999,0.2701,7.5,0,0,3.1,0,0.413,0.000,2.2,7.2,12.2
October/November Transition,9,50,61,72,68,76,84,0.4158,0.1008,0.1134,0.0999,0.2701,7.5,0,0,3.1,0,0.413,0.000,2.2,7.2,12.2
First Week of November,10,47,59,71,66,74,82,0.4158,0.1008,0.1134,0.0999,0.2701,5.3,0,0,1.9,0,0.358,0.000,2.3,7.3,13.3
Second Week of November,11,45,58,71,65,73,81,0.4158,0.1008,0.1134,0.0999,0.2701,5.3,0,0,1.9,0,0.358,0.000,2.3,7.3,13.3
Third Week of November,12,43,56,69,62,71,80,0.4158,0.1008,0.1134,0.0999,0.2701,5.3,0,0,1.9,0,0.358,0.000,2.3,7.3,13.3
Fourth Week of November,13,40,55,70,60,70,80,0.4158,0.1008,0.1134,0.0999,0.2701,5.3,0,0,1.9,0,0.358,0.000,2.3,7.3,13.3
First Week of December,14,39,54,69,57,68,79,0.3828,0.0928,0.1044,0.1134,0.3066,6.5,0,0,2.4,0,0.369,0.000,2.2,7.2,13.2
Second Week of December,15,37,52,67,56,67,78,0.3828,0.0928,0.1044,0.1134,0.3066,6.5,0,0,2.4,0,0.369,0.000,2.2,7.2,13.2
Third Week of December,16,36,51,66,52,65,78,0.3828,0.0928,0.1044,0.1134,0.3066,6.5,0,0,2.4,0,0.369,0.000,2.2,7.2,13.2
Fourth Week of December,17,34,50,66,51,64,77,0.3828,0.0928,0.1044,0.1134,0.3066,6.5,0,0,2.4,0,0.369,0.000,2.2,7.2,13.2
December/January Transition,18,34,49,64,51,64,77,0.3696,0.0896,0.1008,0.1188,0.3212,8.2,0,0,2.9,0,0.354,0.000,2.5,7.5,13.5
First Week of January,19,33,48,63,50,63,76,0.3696,0.0896,0.1008,0.1188,0.3212,8.2,0,0,2.9,0,0.354,0.000,2.5,7.5,13.5
Second Week of January,20,33,48,63,50,63,76,0.3696,0.0896,0.1008,0.1188,0.3212,8.2,0,0,2.9,0,0.354,0.000,2.5,7.5,13.5
Third Week of January,21,33,47,61,50,63,76,0.3696,0.0896,0.1008,0.1188,0.3212,8.2,0,0,2.9,0,0.354,0.000,2.5,7.5,13.5
January/February Transition,22,34,48,62,50,63,76,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0,0,3.3,0,0.429,0.000,2.6,7.6,13.6
First Week of February,23,34,48,62,52,64,76,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0,0,3.3,0,0.429,0.000,2.6,7.6,13.6
Second Week of February,24,35,49,63,53,65,77,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0,0,3.3,0,0.429,0.000,2.6,7.6,13.6
Third Week of Februrary,25,36,50,64,54,66,78,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0,0,3.3,0,0.429,0.000,2.6,7.6,13.6
