Reference Location:,"Tallahassee, FL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,69,72,75,81,88,95,0.3036,0.0736,0.0828,0.1458,0.3942,17,0,0,5.3,0,0.312,0.000,0.5,3.6,8.6
First Week of September,1,68,72,76,82,88,94,0.3564,0.0864,0.0972,0.1242,0.3358,10.4,0,0,3.8,0,0.365,0.000,0.5,4.1,9.1
Second Week of September,2,66,71,76,83,88,93,0.3564,0.0864,0.0972,0.1242,0.3358,10.4,0,0,3.8,0,0.365,0.000,0.5,4.1,9.1
Third Week of September,3,63,69,75,81,87,93,0.3564,0.0864,0.0972,0.1242,0.3358,10.4,0,0,3.8,0,0.365,0.000,0.5,4.1,9.1
Fourth Week of September,4,59,67,75,80,86,92,0.3564,0.0864,0.0972,0.1242,0.3358,10.4,0,0,3.8,0,0.365,0.000,0.5,4.1,9.1
September/October Transition,5,55,66,77,77,84,91,0.3564,0.0864,0.0972,0.1242,0.3358,10.4,0,0,3.8,0,0.365,0.000,0.5,4.1,9.1
First Week of October,6,50,63,76,75,82,89,0.4224,0.1024,0.1152,0.0972,0.2628,6.1,0,0,2.7,0,0.443,0.000,0.5,4.5,9.5
Second Week of October,7,46,60,74,74,81,88,0.4224,0.1024,0.1152,0.0972,0.2628,6.1,0,0,2.7,0,0.443,0.000,0.5,4.5,9.5
Third Week of October,8,44,58,72,71,79,87,0.4224,0.1024,0.1152,0.0972,0.2628,6.1,0,0,2.7,0,0.443,0.000,0.5,4.5,9.5
October/November Transition,9,41,55,69,69,77,85,0.4224,0.1024,0.1152,0.0972,0.2628,6.1,0,0,2.7,0,0.443,0.000,0.5,4.5,9.5
First Week of November,10,38,53,68,67,75,83,0.4092,0.0992,0.1116,0.1026,0.2774,6.2,0,0,2.9,0,0.468,0.000,0.5,4.8,10.8
Second Week of November,11,36,52,68,64,73,82,0.4092,0.0992,0.1116,0.1026,0.2774,6.2,0,0,2.9,0,0.468,0.000,0.5,4.8,10.8
Third Week of November,12,34,51,68,62,71,80,0.4092,0.0992,0.1116,0.1026,0.2774,6.2,0,0,2.9,0,0.468,0.000,0.5,4.8,10.8
Fourth Week of November,13,32,49,66,59,69,79,0.4092,0.0992,0.1116,0.1026,0.2774,6.2,0,0,2.9,0,0.468,0.000,0.5,4.8,10.8
First Week of December,14,31,49,67,58,68,78,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0.1,0,3.5,0,0.455,0.000,0.5,4.8,10.8
Second Week of December,15,30,47,64,55,66,77,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0.1,0,3.5,0,0.455,0.000,0.5,4.8,10.8
Third Week of December,16,28,46,64,51,64,77,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0.1,0,3.5,0,0.455,0.000,0.5,4.8,10.8
Fourth Week of December,17,28,46,64,50,63,76,0.3762,0.0912,0.1026,0.1161,0.3139,7.7,0.1,0,3.5,0,0.455,0.000,0.5,4.8,10.8
December/January Transition,18,27,45,63,48,62,76,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0,0.482,0.000,0.5,5,11
First Week of January,19,26,44,62,49,62,75,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0,0.482,0.000,0.5,5,11
Second Week of January,20,26,43,60,50,62,74,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0,0.482,0.000,0.5,5,11
Third Week of January,21,27,43,59,50,62,74,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0,0.482,0.000,0.5,5,11
January/February Transition,22,27,43,59,50,62,74,0.3696,0.0896,0.1008,0.1188,0.3212,7.7,0,0,4.7,0,0.610,0.000,0.5,5.1,11.1
First Week of February,23,27,43,59,51,63,75,0.3696,0.0896,0.1008,0.1188,0.3212,7.7,0,0,4.7,0,0.610,0.000,0.5,5.1,11.1
Second Week of February,24,29,45,61,54,65,76,0.3696,0.0896,0.1008,0.1188,0.3212,7.7,0,0,4.7,0,0.610,0.000,0.5,5.1,11.1
Third Week of Februrary,25,30,46,62,55,66,77,0.3696,0.0896,0.1008,0.1188,0.3212,7.7,0,0,4.7,0,0.610,0.000,0.5,5.1,11.1
