Reference Location:,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,70,75,78,85,92,0.4092,0.0992,0.1116,0.1026,0.2774,11.5,0,0,3,0,0.261,0.000,0.5,4.4,9.4
First Week of September,1,64,69,74,78,85,92,0.429,0.104,0.117,0.0945,0.2555,7.9,0,0,3.3,0,0.418,0.000,0.5,5.1,10.1
Second Week of September,2,61,68,75,76,83,90,0.429,0.104,0.117,0.0945,0.2555,7.9,0,0,3.3,0,0.418,0.000,0.5,5.1,10.1
Third Week of September,3,58,65,72,73,81,89,0.429,0.104,0.117,0.0945,0.2555,7.9,0,0,3.3,0,0.418,0.000,0.5,5.1,10.1
Fourth Week of September,4,54,63,72,71,79,87,0.429,0.104,0.117,0.0945,0.2555,7.9,0,0,3.3,0,0.418,0.000,0.5,5.1,10.1
September/October Transition,5,51,61,71,69,77,85,0.429,0.104,0.117,0.0945,0.2555,7.9,0,0,3.1,0,0.392,0.000,0.5,5.1,10.1
First Week of October,6,47,58,69,67,75,83,0.4356,0.1056,0.1188,0.0918,0.2482,6.3,0,0,3,0,0.476,0.000,0.7,5.7,10.7
Second Week of October,7,44,55,66,63,72,81,0.4356,0.1056,0.1188,0.0918,0.2482,6.3,0,0,3,0,0.476,0.000,0.7,5.7,10.7
Third Week of October,8,42,53,64,62,71,80,0.4356,0.1056,0.1188,0.0918,0.2482,6.3,0,0,3,0,0.476,0.000,0.7,5.7,10.7
October/November Transition,9,39,51,63,58,68,78,0.4356,0.1056,0.1188,0.0918,0.2482,6.3,0,0,3,0,0.476,0.000,0.7,5.7,10.7
First Week of November,10,37,49,61,55,66,77,0.3894,0.0944,0.1062,0.1107,0.2993,7.3,0.1,0,3.5,0,0.479,0.000,0.5,6.2,12.2
Second Week of November,11,34,47,60,53,64,75,0.3894,0.0944,0.1062,0.1107,0.2993,7.3,0.1,0,3.5,0,0.479,0.000,0.5,6.2,12.2
Third Week of November,12,32,45,58,51,62,73,0.3894,0.0944,0.1062,0.1107,0.2993,7.3,0.1,0,3.5,0,0.479,0.000,0.5,6.2,12.2
Fourth Week of November,13,31,44,57,47,59,71,0.3894,0.0944,0.1062,0.1107,0.2993,7.3,0.1,0,3.5,0,0.479,0.000,0.5,6.2,12.2
First Week of December,14,30,43,56,44,57,70,0.3234,0.0784,0.0882,0.1377,0.3723,8.6,0.3,0.1,3.9,0.5,0.453,5.000,0.5,6.5,12.5
Second Week of December,15,28,41,54,42,55,68,0.3234,0.0784,0.0882,0.1377,0.3723,8.6,0.3,0.1,3.9,0.5,0.453,5.000,0.5,6.5,12.5
Third Week of December,16,27,40,53,39,53,67,0.3234,0.0784,0.0882,0.1377,0.3723,8.6,0.3,0.1,3.9,0.5,0.453,5.000,0.5,6.5,12.5
Fourth Week of December,17,26,39,52,38,52,66,0.3234,0.0784,0.0882,0.1377,0.3723,8.6,0.3,0.1,3.9,0.5,0.453,5.000,0.5,6.5,12.5
December/January Transition,18,24,38,52,36,51,66,0.3168,0.0768,0.0864,0.1404,0.3796,8.6,0.3,0.1,3.9,0.8,0.453,8.000,1.8,6.8,12.8
First Week of January,19,23,38,53,37,51,65,0.3168,0.0768,0.0864,0.1404,0.3796,8.7,0.5,0.3,4,1.2,0.460,4.000,1.8,6.8,12.8
Second Week of January,20,23,37,51,36,50,64,0.3168,0.0768,0.0864,0.1404,0.3796,8.7,0.5,0.3,4,1.2,0.460,4.000,1.8,6.8,12.8
Third Week of January,21,23,37,51,37,51,65,0.3168,0.0768,0.0864,0.1404,0.3796,8.7,0.5,0.3,4,1.2,0.460,4.000,1.8,6.8,12.8
January/February Transition,22,24,36,48,37,51,65,0.3234,0.0784,0.0882,0.1377,0.3723,8.7,0.5,0.3,4.2,1,0.483,3.333,2,7,13
First Week of February,23,24,37,50,38,52,66,0.3234,0.0784,0.0882,0.1377,0.3723,7.9,0.5,0,4.5,0.8,0.570,0.000,2,7,13
Second Week of February,24,26,39,52,40,54,68,0.3234,0.0784,0.0882,0.1377,0.3723,7.9,0.5,0,4.5,0.8,0.570,0.000,2,7,13
Third Week of Februrary,25,28,40,52,41,55,69,0.3234,0.0784,0.0882,0.1377,0.3723,7.9,0.5,0,4.5,0.8,0.570,0.000,2,7,13
