Reference Location:,"Honolulu, HI",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,74,76,78,83,86,89,0.4884,0.1184,0.1332,0.0702,0.1898,2.8,0,0,0.8,0,0.286,0.000,10.4,15.4,20.4
First Week of September,1,74,76,78,83,86,89,0.4488,0.1088,0.1224,0.0864,0.2336,3.3,0,0,0.9,0,0.273,0.000,9,14,19
Second Week of September,2,73,76,79,84,86,88,0.4488,0.1088,0.1224,0.0864,0.2336,3.3,0,0,0.9,0,0.273,0.000,9,14,19
Third Week of September,3,73,76,79,84,86,88,0.4488,0.1088,0.1224,0.0864,0.2336,3.3,0,0,0.9,0,0.273,0.000,9,14,19
Fourth Week of September,4,73,76,79,84,86,88,0.4488,0.1088,0.1224,0.0864,0.2336,3.3,0,0,0.9,0,0.273,0.000,9,14,19
September/October Transition,5,73,76,79,82,85,88,0.4488,0.1088,0.1224,0.0864,0.2336,3.3,0,0,0.9,0,0.273,0.000,9,14,19
First Week of October,6,72,75,78,82,85,88,0.396,0.096,0.108,0.108,0.292,4.8,0,0,1.4,0,0.292,0.000,8.5,13.5,18.5
Second Week of October,7,72,75,78,83,85,87,0.396,0.096,0.108,0.108,0.292,4.8,0,0,1.4,0,0.292,0.000,8.5,13.5,18.5
Third Week of October,8,72,75,78,81,84,87,0.396,0.096,0.108,0.108,0.292,4.8,0,0,1.4,0,0.292,0.000,8.5,13.5,18.5
October/November Transition,9,71,75,79,82,84,86,0.396,0.096,0.108,0.108,0.292,4.8,0,0,1.4,0,0.292,0.000,8.5,13.5,18.5
First Week of November,10,71,74,77,80,83,86,0.4158,0.1008,0.1134,0.0999,0.2701,5.7,0,0,1.7,0,0.298,0.000,9.4,14.4,20.4
Second Week of November,11,70,74,78,79,82,85,0.4158,0.1008,0.1134,0.0999,0.2701,5.7,0,0,1.7,0,0.298,0.000,9.4,14.4,20.4
Third Week of November,12,69,73,77,79,82,85,0.4158,0.1008,0.1134,0.0999,0.2701,5.7,0,0,1.7,0,0.298,0.000,9.4,14.4,20.4
Fourth Week of November,13,68,73,78,78,81,84,0.4158,0.1008,0.1134,0.0999,0.2701,5.7,0,0,1.7,0,0.298,0.000,9.4,14.4,20.4
First Week of December,14,68,72,76,76,80,84,0.4752,0.1152,0.1296,0.0756,0.2044,6.7,0,0,2.2,0,0.328,0.000,8.6,13.6,19.6
Second Week of December,15,67,71,75,77,80,83,0.4752,0.1152,0.1296,0.0756,0.2044,6.7,0,0,2.2,0,0.328,0.000,8.6,13.6,19.6
Third Week of December,16,66,71,76,78,80,82,0.4752,0.1152,0.1296,0.0756,0.2044,6.7,0,0,2.2,0,0.328,0.000,8.6,13.6,19.6
Fourth Week of December,17,65,70,75,76,79,82,0.4752,0.1152,0.1296,0.0756,0.2044,6.7,0,0,2.2,0,0.328,0.000,8.6,13.6,19.6
December/January Transition,18,65,70,75,76,79,82,0.5082,0.1232,0.1386,0.0621,0.1679,7.3,0,0,2.4,0,0.329,0.000,7.4,12.4,18.4
First Week of January,19,64,69,74,76,79,82,0.5082,0.1232,0.1386,0.0621,0.1679,7.3,0,0,2.4,0,0.329,0.000,7.4,12.4,18.4
Second Week of January,20,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,7.3,0,0,2.4,0,0.329,0.000,7.4,12.4,18.4
Third Week of January,21,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,7.3,0,0,2.4,0,0.329,0.000,7.4,12.4,18.4
January/February Transition,22,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,6.1,0,0,2.1,0,0.344,0.000,8,13,19
First Week of February,23,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,6.1,0,0,2.1,0,0.344,0.000,8,13,19
Second Week of February,24,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,6.1,0,0,2.1,0,0.344,0.000,8,13,19
Third Week of Februrary,25,64,69,74,75,78,81,0.5082,0.1232,0.1386,0.0621,0.1679,6.1,0,0,2.1,0,0.344,0.000,8,13,19
