Reference Location:,"Des Moines, IA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,56,65,74,72,82,92,0.462,0.112,0.126,0.081,0.219,10.3,0,0,3.6,0,0.350,0.000,3.2,8.2,13.2
First Week of September,1,53,63,73,69,80,91,0.4554,0.1104,0.1242,0.0837,0.2263,8.4,0,0,3.1,0,0.369,0.000,4.7,9.7,14.7
Second Week of September,2,50,61,72,67,78,89,0.4554,0.1104,0.1242,0.0837,0.2263,8.4,0,0,3.1,0,0.369,0.000,4.7,9.7,14.7
Third Week of September,3,47,58,69,65,76,87,0.4554,0.1104,0.1242,0.0837,0.2263,8.4,0,0,3.1,0,0.369,0.000,4.7,9.7,14.7
Fourth Week of September,4,43,55,67,61,73,85,0.4554,0.1104,0.1242,0.0837,0.2263,8.4,0,0,3.1,0,0.369,0.000,4.7,9.7,14.7
September/October Transition,5,40,52,64,56,69,82,0.4554,0.1104,0.1242,0.0837,0.2263,8.4,0,0,3.1,0,0.369,0.000,4.7,9.7,14.7
First Week of October,6,38,49,60,54,67,80,0.4026,0.0976,0.1098,0.1053,0.2847,6.4,0.1,0,2.3,0.1,0.359,0.000,5.8,10.8,15.8
Second Week of October,7,35,47,59,50,64,78,0.4026,0.0976,0.1098,0.1053,0.2847,6.4,0.1,0,2.3,0.1,0.359,0.000,5.8,10.8,15.8
Third Week of October,8,32,45,58,45,60,75,0.4026,0.0976,0.1098,0.1053,0.2847,6.4,0.1,0,2.3,0.1,0.359,0.000,5.8,10.8,15.8
October/November Transition,9,30,42,54,42,57,72,0.4026,0.0976,0.1098,0.1053,0.2847,6.4,0.1,0,2.3,0.1,0.359,0.000,5.8,10.8,15.8
First Week of November,10,27,40,53,37,53,69,0.3432,0.0832,0.0936,0.1296,0.3504,4.3,0.5,0.5,1.5,1.1,0.349,2.200,6.3,11.3,17.3
Second Week of November,11,24,37,50,34,50,66,0.3432,0.0832,0.0936,0.1296,0.3504,4.3,0.5,0.5,1.5,1.1,0.349,2.200,6.3,11.3,17.3
Third Week of November,12,21,34,47,29,46,63,0.3432,0.0832,0.0936,0.1296,0.3504,4.3,0.5,0.5,1.5,1.1,0.349,2.200,6.3,11.3,17.3
Fourth Week of November,13,17,31,45,27,43,59,0.3432,0.0832,0.0936,0.1296,0.3504,4.3,0.5,0.5,1.5,1.1,0.349,2.200,6.3,11.3,17.3
First Week of December,14,13,29,45,22,39,56,0.3102,0.0752,0.0846,0.1431,0.3869,1.9,0.7,1.4,0.7,3.3,0.368,2.357,6.3,11.3,17.3
Second Week of December,15,8,26,44,18,35,52,0.3102,0.0752,0.0846,0.1431,0.3869,1.9,0.7,1.4,0.7,3.3,0.368,2.357,6.3,11.3,17.3
Third Week of December,16,6,24,42,16,33,50,0.3102,0.0752,0.0846,0.1431,0.3869,1.9,0.7,1.4,0.7,3.3,0.368,2.357,6.3,11.3,17.3
Fourth Week of December,17,3,22,41,14,31,48,0.3102,0.0752,0.0846,0.1431,0.3869,1.9,0.7,1.4,0.7,3.3,0.368,2.357,6.3,11.3,17.3
December/January Transition,18,2,21,40,14,30,46,0.3102,0.0752,0.0846,0.1431,0.3869,0.9,0.5,1.5,0.3,3.1,0.333,2.067,6.9,11.9,17.9
First Week of January,19,1,20,39,11,29,47,0.3102,0.0752,0.0846,0.1431,0.3869,0.9,0.5,1.5,0.3,3.1,0.333,2.067,6.9,11.9,17.9
Second Week of January,20,1,19,37,11,29,47,0.3102,0.0752,0.0846,0.1431,0.3869,0.9,0.5,1.5,0.3,3.1,0.333,2.067,6.9,11.9,17.9
Third Week of January,21,0,19,38,10,29,48,0.3102,0.0752,0.0846,0.1431,0.3869,0.9,0.5,1.5,0.3,3.1,0.333,2.067,6.9,11.9,17.9
January/February Transition,22,-1,19,39,12,30,48,0.3102,0.0752,0.0846,0.1431,0.3869,1.8,0.5,1.3,0.5,2.8,0.278,2.154,7,12,18
First Week of February,23,0,20,40,13,31,49,0.3102,0.0752,0.0846,0.1431,0.3869,1.8,0.5,1.3,0.5,2.8,0.278,2.154,7,12,18
Second Week of February,24,2,21,40,15,33,51,0.3102,0.0752,0.0846,0.1431,0.3869,1.8,0.5,1.3,0.5,2.8,0.278,2.154,7,12,18
Third Week of Februrary,25,4,23,42,15,34,53,0.3102,0.0752,0.0846,0.1431,0.3869,1.8,0.5,1.3,0.5,2.8,0.278,2.154,7,12,18
