Reference Location:,"Boise, ID",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,51,60,69,77,86,95,0.5346,0.1296,0.1458,0.0513,0.1387,1.5,0,0,0.2,0,0.133,0.000,1.4,6.4,11.4
First Week of September,1,49,58,67,73,83,93,0.4818,0.1168,0.1314,0.0729,0.1971,2.5,0,0,0.5,0,0.200,0.000,1.3,6.3,11.3
Second Week of September,2,47,55,63,69,80,91,0.4818,0.1168,0.1314,0.0729,0.1971,2.5,0,0,0.5,0,0.200,0.000,1.3,6.3,11.3
Third Week of September,3,44,54,64,67,78,89,0.4818,0.1168,0.1314,0.0729,0.1971,2.5,0,0,0.5,0,0.200,0.000,1.3,6.3,11.3
Fourth Week of September,4,42,51,60,63,75,87,0.4818,0.1168,0.1314,0.0729,0.1971,2.5,0,0,0.5,0,0.200,0.000,1.3,6.3,11.3
September/October Transition,5,39,49,59,59,72,85,0.4818,0.1168,0.1314,0.0729,0.1971,2.5,0,0,0.5,0,0.200,0.000,1.3,6.3,11.3
First Week of October,6,37,47,57,57,69,81,0.396,0.096,0.108,0.108,0.292,4.2,0,0,0.8,0,0.190,0.000,1.5,6.5,11.5
Second Week of October,7,35,45,55,54,66,78,0.396,0.096,0.108,0.108,0.292,4.2,0,0,0.8,0,0.190,0.000,1.5,6.5,11.5
Third Week of October,8,33,43,53,51,62,73,0.396,0.096,0.108,0.108,0.292,4.2,0,0,0.8,0,0.190,0.000,1.5,6.5,11.5
October/November Transition,9,31,41,51,47,58,69,0.396,0.096,0.108,0.108,0.292,4.2,0,0,0.8,0,0.190,0.000,1.5,6.5,11.5
First Week of November,10,29,39,49,43,54,65,0.3036,0.0736,0.0828,0.1458,0.3942,6.7,0.4,0.4,1.4,0.9,0.209,2.250,1.8,6.8,12.8
Second Week of November,11,26,37,48,39,50,61,0.3036,0.0736,0.0828,0.1458,0.3942,6.7,0.4,0.4,1.4,0.9,0.209,2.250,1.8,6.8,12.8
Third Week of November,12,24,35,46,35,46,57,0.3036,0.0736,0.0828,0.1458,0.3942,6.7,0.4,0.4,1.4,0.9,0.209,2.250,1.8,6.8,12.8
Fourth Week of November,13,21,33,45,32,43,54,0.3036,0.0736,0.0828,0.1458,0.3942,6.7,0.4,0.4,1.4,0.9,0.209,2.250,1.8,6.8,12.8
First Week of December,14,19,31,43,31,41,51,0.2838,0.0688,0.0774,0.1539,0.4161,5.7,1.2,1.3,1.5,2.9,0.263,2.231,1.8,6.8,12.8
Second Week of December,15,16,29,42,27,38,49,0.2838,0.0688,0.0774,0.1539,0.4161,5.7,1.2,1.3,1.5,2.9,0.263,2.231,1.8,6.8,12.8
Third Week of December,16,14,27,40,25,36,47,0.2838,0.0688,0.0774,0.1539,0.4161,5.7,1.2,1.3,1.5,2.9,0.263,2.231,1.8,6.8,12.8
Fourth Week of December,17,13,26,39,24,35,46,0.2838,0.0688,0.0774,0.1539,0.4161,5.7,1.2,1.3,1.5,2.9,0.263,2.231,1.8,6.8,12.8
December/January Transition,18,13,26,39,23,34,45,0.2772,0.0672,0.0756,0.1566,0.4234,5.2,1.2,0.9,1.2,2.5,0.231,2.778,0.5,6.5,12.5
First Week of January,19,13,26,39,24,35,46,0.2772,0.0672,0.0756,0.1566,0.4234,5.2,1.2,0.9,1.2,2.5,0.231,2.778,0.5,6.5,12.5
Second Week of January,20,14,27,40,24,35,46,0.2772,0.0672,0.0756,0.1566,0.4234,5.2,1.2,0.9,1.2,2.5,0.231,2.778,0.5,6.5,12.5
Third Week of January,21,15,27,39,28,37,46,0.2772,0.0672,0.0756,0.1566,0.4234,5.2,1.2,0.9,1.2,2.5,0.231,2.778,0.5,6.5,12.5
January/February Transition,22,15,28,41,28,38,48,0.2838,0.0688,0.0774,0.1539,0.4161,5.2,0.5,0.4,1.1,1.1,0.212,2.750,2,7,13
First Week of February,23,17,29,41,28,39,50,0.2838,0.0688,0.0774,0.1539,0.4161,5.2,0.5,0.4,1.1,1.1,0.212,2.750,2,7,13
Second Week of February,24,19,30,41,32,42,52,0.2838,0.0688,0.0774,0.1539,0.4161,5.2,0.5,0.4,1.1,1.1,0.212,2.750,2,7,13
Third Week of Februrary,25,21,31,41,33,44,55,0.2838,0.0688,0.0774,0.1539,0.4161,5.2,0.5,0.4,1.1,1.1,0.212,2.750,2,7,13
