Reference Location:,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,62,69,76,70,78,86,0.4422,0.1072,0.1206,0.0891,0.2409,10.2,0,0,3.5,0,0.343,0.000,3.8,8.8,13.8
First Week of September,1,60,68,76,69,77,85,0.4356,0.1056,0.1188,0.0918,0.2482,8.6,0,0,3.1,0,0.360,0.000,5.5,10.5,15.5
Second Week of September,2,58,66,74,66,75,84,0.4356,0.1056,0.1188,0.0918,0.2482,8.6,0,0,3.1,0,0.360,0.000,5.5,10.5,15.5
Third Week of September,3,55,63,71,64,73,82,0.4356,0.1056,0.1188,0.0918,0.2482,8.6,0,0,3.1,0,0.360,0.000,5.5,10.5,15.5
Fourth Week of September,4,51,60,69,59,70,81,0.4356,0.1056,0.1188,0.0918,0.2482,8.6,0,0,3.1,0,0.360,0.000,5.5,10.5,15.5
September/October Transition,5,48,57,66,56,67,78,0.4356,0.1056,0.1188,0.0918,0.2482,8.6,0,0,3.1,0,0.360,0.000,5.5,10.5,15.5
First Week of October,6,45,55,65,52,64,76,0.3894,0.0944,0.1062,0.1107,0.2993,7.9,0,0,2.7,0,0.342,0.000,7.3,12.3,17.3
Second Week of October,7,42,52,62,48,61,74,0.3894,0.0944,0.1062,0.1107,0.2993,7.9,0,0,2.7,0,0.342,0.000,7.3,12.3,17.3
Third Week of October,8,40,50,60,45,58,71,0.3894,0.0944,0.1062,0.1107,0.2993,7.9,0,0,2.7,0,0.342,0.000,7.3,12.3,17.3
October/November Transition,9,37,48,59,42,55,68,0.3894,0.0944,0.1062,0.1107,0.2993,7.9,0,0,2.7,0,0.342,0.000,7.3,12.3,17.3
First Week of November,10,34,45,56,39,52,65,0.3234,0.0784,0.0882,0.1377,0.3723,6.9,0.2,0.1,2.5,0.3,0.362,3.000,8.6,13.6,19.6
Second Week of November,11,31,43,55,36,49,62,0.3234,0.0784,0.0882,0.1377,0.3723,6.9,0.2,0.1,2.5,0.3,0.362,3.000,8.6,13.6,19.6
Third Week of November,12,29,40,51,33,46,59,0.3234,0.0784,0.0882,0.1377,0.3723,6.9,0.2,0.1,2.5,0.3,0.362,3.000,8.6,13.6,19.6
Fourth Week of November,13,26,37,48,30,43,56,0.3234,0.0784,0.0882,0.1377,0.3723,6.9,0.2,0.1,2.5,0.3,0.362,3.000,8.6,13.6,19.6
First Week of December,14,22,35,48,27,40,53,0.2838,0.0688,0.0774,0.1539,0.4161,4.8,0.5,1,1.6,2,0.333,2.000,8.9,13.9,19.9
Second Week of December,15,18,32,46,24,37,50,0.2838,0.0688,0.0774,0.1539,0.4161,4.8,0.5,1,1.6,2,0.333,2.000,8.9,13.9,19.9
Third Week of December,16,14,30,46,23,35,47,0.2838,0.0688,0.0774,0.1539,0.4161,4.8,0.5,1,1.6,2,0.333,2.000,8.9,13.9,19.9
Fourth Week of December,17,12,28,44,21,33,45,0.2838,0.0688,0.0774,0.1539,0.4161,4.8,0.5,1,1.6,2,0.333,2.000,8.9,13.9,19.9
December/January Transition,18,10,27,44,20,32,44,0.2706,0.0656,0.0738,0.1593,0.4307,2.8,0.6,1.6,1,3,0.357,1.875,9.2,14.2,20.2
First Week of January,19,9,26,43,17,30,43,0.2706,0.0656,0.0738,0.1593,0.4307,2.8,0.6,1.6,1,3,0.357,1.875,9.2,14.2,20.2
Second Week of January,20,9,25,41,17,30,43,0.2706,0.0656,0.0738,0.1593,0.4307,2.8,0.6,1.6,1,3,0.357,1.875,9.2,14.2,20.2
Third Week of January,21,8,24,40,17,30,43,0.2706,0.0656,0.0738,0.1593,0.4307,2.8,0.6,1.6,1,3,0.357,1.875,9.2,14.2,20.2
January/February Transition,22,7,24,41,17,30,43,0.2904,0.0704,0.0792,0.1512,0.4088,2.9,0.6,1.3,1.1,3.2,0.379,2.462,8.6,13.6,19.6
First Week of February,23,8,24,40,17,30,43,0.2904,0.0704,0.0792,0.1512,0.4088,2.9,0.6,1.3,1.1,3.2,0.379,2.462,8.6,13.6,19.6
Second Week of February,24,10,26,42,19,32,45,0.2904,0.0704,0.0792,0.1512,0.4088,2.9,0.6,1.3,1.1,3.2,0.379,2.462,8.6,13.6,19.6
Third Week of Februrary,25,11,27,43,20,33,46,0.2904,0.0704,0.0792,0.1512,0.4088,2.9,0.6,1.3,1.1,3.2,0.379,2.462,8.6,13.6,19.6
