Reference Location:,"Lexington, KY",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,65,73,73,82,91,0.4356,0.1056,0.1188,0.0918,0.2482,10.3,0,0,2.7,0,0.262,0.000,0.7,5.7,10.7
First Week of September,1,56,64,72,72,81,90,0.4356,0.1056,0.1188,0.0918,0.2482,7.7,0,0,2.7,0,0.351,0.000,1.4,6.4,11.4
Second Week of September,2,53,62,71,72,80,88,0.4356,0.1056,0.1188,0.0918,0.2482,7.7,0,0,2.7,0,0.351,0.000,1.4,6.4,11.4
Third Week of September,3,50,60,70,67,77,87,0.4356,0.1056,0.1188,0.0918,0.2482,7.7,0,0,2.7,0,0.351,0.000,1.4,6.4,11.4
Fourth Week of September,4,46,57,68,65,75,85,0.4356,0.1056,0.1188,0.0918,0.2482,7.7,0,0,2.7,0,0.351,0.000,1.4,6.4,11.4
September/October Transition,5,43,54,65,61,72,83,0.4356,0.1056,0.1188,0.0918,0.2482,7.7,0,0,2.7,0,0.351,0.000,1.4,6.4,11.4
First Week of October,6,40,52,64,57,69,81,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0,0,2.8,0,0.364,0.000,2.4,7.4,12.4
Second Week of October,7,37,50,63,56,67,78,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0,0,2.8,0,0.364,0.000,2.4,7.4,12.4
Third Week of October,8,35,48,61,51,64,77,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0,0,2.8,0,0.364,0.000,2.4,7.4,12.4
October/November Transition,9,33,46,59,48,61,74,0.4026,0.0976,0.1098,0.1053,0.2847,7.7,0,0,2.8,0,0.364,0.000,2.4,7.4,12.4
First Week of November,10,31,44,57,44,58,72,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0.1,3.1,0.3,0.403,3.000,3.1,8.1,14.1
Second Week of November,11,28,42,56,40,55,70,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0.1,3.1,0.3,0.403,3.000,3.1,8.1,14.1
Third Week of November,12,27,40,53,37,52,67,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0.1,3.1,0.3,0.403,3.000,3.1,8.1,14.1
Fourth Week of November,13,25,39,53,33,49,65,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0.1,3.1,0.3,0.403,3.000,3.1,8.1,14.1
First Week of December,14,23,37,51,31,47,63,0.2772,0.0672,0.0756,0.1566,0.4234,7.4,0.8,0.4,3.3,1.9,0.446,4.750,3.6,8.6,14.6
Second Week of December,15,20,35,50,28,44,60,0.2772,0.0672,0.0756,0.1566,0.4234,7.4,0.8,0.4,3.3,1.9,0.446,4.750,3.6,8.6,14.6
Third Week of December,16,18,33,48,25,42,59,0.2772,0.0672,0.0756,0.1566,0.4234,7.4,0.8,0.4,3.3,1.9,0.446,4.750,3.6,8.6,14.6
Fourth Week of December,17,16,33,50,24,41,58,0.2772,0.0672,0.0756,0.1566,0.4234,7.4,0.8,0.4,3.3,1.9,0.446,4.750,3.6,8.6,14.6
December/January Transition,18,15,32,49,23,40,57,0.2706,0.0656,0.0738,0.1593,0.4307,6,1,0.8,2.4,3,0.400,3.750,4.2,9.2,15.2
First Week of January,19,13,31,49,22,39,56,0.2706,0.0656,0.0738,0.1593,0.4307,6,1,0.8,2.4,3,0.400,3.750,4.2,9.2,15.2
Second Week of January,20,12,30,48,21,38,55,0.2706,0.0656,0.0738,0.1593,0.4307,6,1,0.8,2.4,3,0.400,3.750,4.2,9.2,15.2
Third Week of January,21,11,29,47,21,38,55,0.2706,0.0656,0.0738,0.1593,0.4307,6,1,0.8,2.4,3,0.400,3.750,4.2,9.2,15.2
January/February Transition,22,11,29,47,20,38,56,0.2772,0.0672,0.0756,0.1566,0.4234,5.9,1.1,0.7,2.8,3.6,0.475,5.143,4.3,9.3,15.3
First Week of February,23,12,29,46,22,39,56,0.2772,0.0672,0.0756,0.1566,0.4234,5.9,1.1,0.7,2.8,3.6,0.475,5.143,4.3,9.3,15.3
Second Week of February,24,15,31,47,24,41,58,0.2772,0.0672,0.0756,0.1566,0.4234,5.9,1.1,0.7,2.8,3.6,0.475,5.143,4.3,9.3,15.3
Third Week of Februrary,25,16,32,48,26,43,60,0.2772,0.0672,0.0756,0.1566,0.4234,5.9,1.1,0.7,2.8,3.6,0.475,5.143,4.3,9.3,15.3
