Reference Location:,"Shreveport, LA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,67,73,79,84,91,98,0.4224,0.1024,0.1152,0.0972,0.2628,8,0,0,2.3,0,0.288,0.000,0.5,4,9
First Week of September,1,66,72,78,83,90,97,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.8,0,0.389,0.000,0.5,4.5,9.5
Second Week of September,2,63,71,79,80,88,96,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.8,0,0.389,0.000,0.5,4.5,9.5
Third Week of September,3,59,68,77,77,86,95,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.8,0,0.389,0.000,0.5,4.5,9.5
Fourth Week of September,4,56,66,76,77,85,93,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.8,0,0.389,0.000,0.5,4.5,9.5
September/October Transition,5,52,63,74,73,82,91,0.4422,0.1072,0.1206,0.0891,0.2409,7.2,0,0,2.8,0,0.389,0.000,0.5,4.5,9.5
First Week of October,6,49,61,73,71,80,89,0.4488,0.1088,0.1224,0.0864,0.2336,8,0,0,4.1,0,0.513,0.000,0.5,4.9,9.9
Second Week of October,7,47,58,69,67,77,87,0.4488,0.1088,0.1224,0.0864,0.2336,8,0,0,4.1,0,0.513,0.000,0.5,4.9,9.9
Third Week of October,8,44,56,68,63,74,85,0.4488,0.1088,0.1224,0.0864,0.2336,8,0,0,4.1,0,0.513,0.000,0.5,4.9,9.9
October/November Transition,9,42,55,68,61,72,83,0.4488,0.1088,0.1224,0.0864,0.2336,8,0,0,4.1,0,0.513,0.000,0.5,4.9,9.9
First Week of November,10,39,52,65,57,69,81,0.4026,0.0976,0.1098,0.1053,0.2847,7.9,0,0,4.4,0,0.557,0.000,0.5,5.2,11.2
Second Week of November,11,37,51,65,55,67,79,0.4026,0.0976,0.1098,0.1053,0.2847,7.9,0,0,4.4,0,0.557,0.000,0.5,5.2,11.2
Third Week of November,12,35,49,63,53,65,77,0.4026,0.0976,0.1098,0.1053,0.2847,7.9,0,0,4.4,0,0.557,0.000,0.5,5.2,11.2
Fourth Week of November,13,33,47,61,49,62,75,0.4026,0.0976,0.1098,0.1053,0.2847,7.9,0,0,4.4,0,0.557,0.000,0.5,5.2,11.2
First Week of December,14,31,45,59,46,60,74,0.3498,0.0848,0.0954,0.1269,0.3431,8.2,0.2,0.2,4.4,0.8,0.537,4.000,0.5,5.3,11.3
Second Week of December,15,30,44,58,44,58,72,0.3498,0.0848,0.0954,0.1269,0.3431,8.2,0.2,0.2,4.4,0.8,0.537,4.000,0.5,5.3,11.3
Third Week of December,16,28,42,56,40,56,72,0.3498,0.0848,0.0954,0.1269,0.3431,8.2,0.2,0.2,4.4,0.8,0.537,4.000,0.5,5.3,11.3
Fourth Week of December,17,28,42,56,39,55,71,0.3498,0.0848,0.0954,0.1269,0.3431,8.2,0.2,0.2,4.4,0.8,0.537,4.000,0.5,5.3,11.3
December/January Transition,18,27,41,55,37,54,71,0.3366,0.0816,0.0918,0.1323,0.3577,7.3,0.3,0.3,3.9,1,0.534,3.333,0.5,5.3,11.3
First Week of January,19,27,40,53,38,54,70,0.3366,0.0816,0.0918,0.1323,0.3577,7.3,0.3,0.3,3.9,1,0.534,3.333,0.5,5.3,11.3
Second Week of January,20,27,40,53,38,54,70,0.3366,0.0816,0.0918,0.1323,0.3577,7.3,0.3,0.3,3.9,1,0.534,3.333,0.5,5.3,11.3
Third Week of January,21,27,40,53,40,55,70,0.3366,0.0816,0.0918,0.1323,0.3577,7.3,0.3,0.3,3.9,1,0.534,3.333,0.5,5.3,11.3
January/February Transition,22,27,40,53,40,55,70,0.33,0.08,0.09,0.135,0.365,7.1,0.3,0.1,4.2,0.7,0.592,7.000,0.5,5.5,11.5
First Week of February,23,28,41,54,41,56,71,0.33,0.08,0.09,0.135,0.365,7.1,0.3,0.1,4.2,0.7,0.592,7.000,0.5,5.5,11.5
Second Week of February,24,29,43,57,43,58,73,0.33,0.08,0.09,0.135,0.365,7.1,0.3,0.1,4.2,0.7,0.592,7.000,0.5,5.5,11.5
Third Week of Februrary,25,30,43,56,42,58,74,0.33,0.08,0.09,0.135,0.365,7.1,0.3,0.1,4.2,0.7,0.592,7.000,0.5,5.5,11.5
