Reference Location:,New Orleans,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,75,79,83,83,89,95,0.3036,0.0736,0.0828,0.1458,0.3942,16,0,0,5.2,0,0.325,0.000,2.2,7.2,12.2
First Week of September,1,75,79,83,82,88,94,0.3762,0.0912,0.1026,0.1161,0.3139,10.9,0,0,4.6,0,0.422,0.000,3.6,8.6,13.6
Second Week of September,2,73,78,83,81,87,93,0.3762,0.0912,0.1026,0.1161,0.3139,10.9,0,0,4.6,0,0.422,0.000,3.6,8.6,13.6
Third Week of September,3,71,76,81,80,86,92,0.3762,0.0912,0.1026,0.1161,0.3139,10.9,0,0,4.6,0,0.422,0.000,3.6,8.6,13.6
Fourth Week of September,4,68,75,82,80,85,90,0.3762,0.0912,0.1026,0.1161,0.3139,10.9,0,0,4.6,0,0.422,0.000,3.6,8.6,13.6
September/October Transition,5,65,73,81,77,83,89,0.3762,0.0912,0.1026,0.1161,0.3139,10.9,0,0,4.6,0,0.422,0.000,3.6,8.6,13.6
First Week of October,6,62,71,80,74,81,88,0.429,0.104,0.117,0.0945,0.2555,7,0,0,3.3,0,0.471,0.000,4.4,9.4,14.4
Second Week of October,7,59,69,79,72,79,86,0.429,0.104,0.117,0.0945,0.2555,7,0,0,3.3,0,0.471,0.000,4.4,9.4,14.4
Third Week of October,8,57,67,77,69,77,85,0.429,0.104,0.117,0.0945,0.2555,7,0,0,3.3,0,0.471,0.000,4.4,9.4,14.4
October/November Transition,9,54,65,76,67,75,83,0.429,0.104,0.117,0.0945,0.2555,7,0,0,3.3,0,0.471,0.000,4.4,9.4,14.4
First Week of November,10,52,63,74,64,73,82,0.4158,0.1008,0.1134,0.0999,0.2701,7.1,0,0,3.6,0,0.507,0.000,5.1,10.1,16.1
Second Week of November,11,49,61,73,62,71,80,0.4158,0.1008,0.1134,0.0999,0.2701,7.1,0,0,3.6,0,0.507,0.000,5.1,10.1,16.1
Third Week of November,12,47,59,71,59,69,79,0.4158,0.1008,0.1134,0.0999,0.2701,7.1,0,0,3.6,0,0.507,0.000,5.1,10.1,16.1
Fourth Week of November,13,46,57,68,56,67,78,0.4158,0.1008,0.1134,0.0999,0.2701,7.1,0,0,3.6,0,0.507,0.000,5.1,10.1,16.1
First Week of December,14,44,56,68,52,65,78,0.3762,0.0912,0.1026,0.1161,0.3139,8.4,0,0,4.2,0,0.500,0.000,5.6,10.6,16.6
Second Week of December,15,42,54,66,51,64,77,0.3762,0.0912,0.1026,0.1161,0.3139,8.4,0,0,4.2,0,0.500,0.000,5.6,10.6,16.6
Third Week of December,16,40,53,66,48,62,76,0.3762,0.0912,0.1026,0.1161,0.3139,8.4,0,0,4.2,0,0.500,0.000,5.6,10.6,16.6
Fourth Week of December,17,38,52,66,47,61,75,0.3762,0.0912,0.1026,0.1161,0.3139,8.4,0,0,4.2,0,0.500,0.000,5.6,10.6,16.6
December/January Transition,18,36,51,66,45,60,75,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,4.8,0,0.516,0.000,5.7,10.7,16.7
First Week of January,19,36,50,64,46,60,74,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,4.8,0,0.516,0.000,5.7,10.7,16.7
Second Week of January,20,36,50,64,46,60,74,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,4.8,0,0.516,0.000,5.7,10.7,16.7
Third Week of January,21,37,50,63,46,60,74,0.363,0.088,0.099,0.1215,0.3285,9.3,0,0,4.8,0,0.516,0.000,5.7,10.7,16.7
January/February Transition,22,38,51,64,48,61,74,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,4.8,0,0.593,0.000,5.8,10.8,16.8
First Week of February,23,38,51,64,49,62,75,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,4.8,0,0.593,0.000,5.8,10.8,16.8
Second Week of February,24,40,53,66,51,63,75,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,4.8,0,0.593,0.000,5.8,10.8,16.8
Third Week of Februrary,25,41,54,67,52,64,76,0.3696,0.0896,0.1008,0.1188,0.3212,8.1,0,0,4.8,0,0.593,0.000,5.8,10.8,16.8
