Reference Location:,"Boston, MA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,57,65,73,67,77,87,0.4026,0.0976,0.1098,0.1053,0.2847,8.4,0,0,3.1,0,0.369,0.000,0.5,5,10
First Week of September,1,55,63,71,64,75,86,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.7,5.7,10.7
Second Week of September,2,53,62,71,62,73,84,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.7,5.7,10.7
Third Week of September,3,51,60,69,60,71,82,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.7,5.7,10.7
Fourth Week of September,4,48,57,66,58,69,80,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.7,5.7,10.7
September/October Transition,5,45,55,65,55,66,77,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.7,5.7,10.7
First Week of October,6,43,53,63,53,64,75,0.3894,0.0944,0.1062,0.1107,0.2993,8.1,0,0,3.9,0.1,0.481,0.000,1.8,6.8,11.8
Second Week of October,7,40,50,60,50,61,72,0.3894,0.0944,0.1062,0.1107,0.2993,8.1,0,0,3.9,0.1,0.481,0.000,1.8,6.8,11.8
Third Week of October,8,38,48,58,48,59,70,0.3894,0.0944,0.1062,0.1107,0.2993,8.1,0,0,3.9,0.1,0.481,0.000,1.8,6.8,11.8
October/November Transition,9,36,46,56,44,56,68,0.3894,0.0944,0.1062,0.1107,0.2993,8.1,0,0,3.9,0.1,0.481,0.000,1.8,6.8,11.8
First Week of November,10,34,44,54,43,54,65,0.3432,0.0832,0.0936,0.1296,0.3504,7.5,0.5,0.1,3.8,1.2,0.507,12.000,2.6,7.6,13.6
Second Week of November,11,32,42,52,39,51,63,0.3432,0.0832,0.0936,0.1296,0.3504,7.5,0.5,0.1,3.8,1.2,0.507,12.000,2.6,7.6,13.6
Third Week of November,12,29,41,53,37,49,61,0.3432,0.0832,0.0936,0.1296,0.3504,7.5,0.5,0.1,3.8,1.2,0.507,12.000,2.6,7.6,13.6
Fourth Week of November,13,26,38,50,33,46,59,0.3432,0.0832,0.0936,0.1296,0.3504,7.5,0.5,0.1,3.8,1.2,0.507,12.000,2.6,7.6,13.6
First Week of December,14,24,36,48,32,44,56,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1.7,1,3.2,5,0.516,5.000,3.3,8.3,14.3
Second Week of December,15,21,34,47,28,41,54,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1.7,1,3.2,5,0.516,5.000,3.3,8.3,14.3
Third Week of December,16,19,32,45,26,39,52,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1.7,1,3.2,5,0.516,5.000,3.3,8.3,14.3
Fourth Week of December,17,16,30,44,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1.7,1,3.2,5,0.516,5.000,3.3,8.3,14.3
December/January Transition,18,15,29,43,23,36,49,0.3234,0.0784,0.0882,0.1377,0.3723,3.8,2.4,1.7,2.2,8.4,0.579,4.941,3.9,8.9,14.9
First Week of January,19,12,28,44,21,35,49,0.3234,0.0784,0.0882,0.1377,0.3723,3.8,2.4,1.7,2.2,8.4,0.579,4.941,3.9,8.9,14.9
Second Week of January,20,11,26,41,21,34,47,0.3234,0.0784,0.0882,0.1377,0.3723,3.8,2.4,1.7,2.2,8.4,0.579,4.941,3.9,8.9,14.9
Third Week of January,21,10,26,42,20,34,48,0.3234,0.0784,0.0882,0.1377,0.3723,3.8,2.4,1.7,2.2,8.4,0.579,4.941,3.9,8.9,14.9
January/February Transition,22,10,25,40,19,33,47,0.3168,0.0768,0.0864,0.1404,0.3796,3.9,1.8,1.4,2.5,8,0.641,5.714,4,9,15
First Week of February,23,10,25,40,21,34,47,0.3168,0.0768,0.0864,0.1404,0.3796,3.9,1.8,1.4,2.5,8,0.641,5.714,4,9,15
Second Week of February,24,13,27,41,22,35,48,0.3168,0.0768,0.0864,0.1404,0.3796,3.9,1.8,1.4,2.5,8,0.641,5.714,4,9,15
Third Week of Februrary,25,14,27,40,23,36,49,0.3168,0.0768,0.0864,0.1404,0.3796,3.9,1.8,1.4,2.5,8,0.641,5.714,4,9,15
