Reference Location:,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,64,71,78,76,84,92,0.4158,0.1008,0.1134,0.0999,0.2701,9.9,0,0,3.2,0,0.323,0.000,1.7,6.7,11.7
First Week of September,1,62,70,78,73,82,91,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,3.5,0,0.449,0.000,2.6,7.6,12.6
Second Week of September,2,60,68,76,73,81,89,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,3.5,0,0.449,0.000,2.6,7.6,12.6
Third Week of September,3,57,66,75,69,78,87,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,3.5,0,0.449,0.000,2.6,7.6,12.6
Fourth Week of September,4,54,63,72,67,76,85,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,3.5,0,0.449,0.000,2.6,7.6,12.6
September/October Transition,5,51,61,71,63,73,83,0.4224,0.1024,0.1152,0.0972,0.2628,7.8,0,0,3.5,0,0.449,0.000,2.6,7.6,12.6
First Week of October,6,48,58,68,59,70,81,0.4158,0.1008,0.1134,0.0999,0.2701,7.2,0,0,3.3,0,0.458,0.000,3.6,8.6,13.6
Second Week of October,7,45,55,65,56,67,78,0.4158,0.1008,0.1134,0.0999,0.2701,7.2,0,0,3.3,0,0.458,0.000,3.6,8.6,13.6
Third Week of October,8,43,53,63,54,65,76,0.4158,0.1008,0.1134,0.0999,0.2701,7.2,0,0,3.3,0,0.458,0.000,3.6,8.6,13.6
October/November Transition,9,41,51,61,51,62,73,0.4158,0.1008,0.1134,0.0999,0.2701,7.2,0,0,3.3,0,0.458,0.000,3.6,8.6,13.6
First Week of November,10,39,49,59,47,59,71,0.3696,0.0896,0.1008,0.1188,0.3212,6.8,0.2,0,3.1,0.4,0.456,0.000,4.4,9.4,15.4
Second Week of November,11,36,47,58,46,57,68,0.3696,0.0896,0.1008,0.1188,0.3212,6.8,0.2,0,3.1,0.4,0.456,0.000,4.4,9.4,15.4
Third Week of November,12,34,45,56,41,54,67,0.3696,0.0896,0.1008,0.1188,0.3212,6.8,0.2,0,3.1,0.4,0.456,0.000,4.4,9.4,15.4
Fourth Week of November,13,32,43,54,40,52,64,0.3696,0.0896,0.1008,0.1188,0.3212,6.8,0.2,0,3.1,0.4,0.456,0.000,4.4,9.4,15.4
First Week of December,14,30,41,52,37,49,61,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,0.8,0.4,2.9,2.2,0.460,5.500,4.7,9.7,15.7
Second Week of December,15,28,39,50,34,47,60,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,0.8,0.4,2.9,2.2,0.460,5.500,4.7,9.7,15.7
Third Week of December,16,26,37,48,32,45,58,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,0.8,0.4,2.9,2.2,0.460,5.500,4.7,9.7,15.7
Fourth Week of December,17,24,36,48,31,44,57,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,0.8,0.4,2.9,2.2,0.460,5.500,4.7,9.7,15.7
December/January Transition,18,22,35,48,27,42,57,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.2,0.9,2.1,4.9,0.438,5.444,5.2,10.2,16.2
First Week of January,19,21,34,47,26,41,56,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.2,0.9,2.1,4.9,0.438,5.444,5.2,10.2,16.2
Second Week of January,20,20,33,46,25,40,55,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.2,0.9,2.1,4.9,0.438,5.444,5.2,10.2,16.2
Third Week of January,21,19,32,45,25,40,55,0.3234,0.0784,0.0882,0.1377,0.3723,4.8,1.2,0.9,2.1,4.9,0.438,5.444,5.2,10.2,16.2
January/February Transition,22,19,32,45,26,40,54,0.3234,0.0784,0.0882,0.1377,0.3723,5,1.1,0.7,2.2,5.6,0.440,8.000,5.5,10.5,16.5
First Week of February,23,19,32,45,26,40,54,0.3234,0.0784,0.0882,0.1377,0.3723,5,1.1,0.7,2.2,5.6,0.440,8.000,5.5,10.5,16.5
Second Week of February,24,21,33,45,28,42,56,0.3234,0.0784,0.0882,0.1377,0.3723,5,1.1,0.7,2.2,5.6,0.440,8.000,5.5,10.5,16.5
Third Week of Februrary,25,22,34,46,29,43,57,0.3234,0.0784,0.0882,0.1377,0.3723,5,1.1,0.7,2.2,5.6,0.440,8.000,5.5,10.5,16.5
