Reference Location:,"Bangor, ME",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,48,58,68,66,75,84,0.396,0.096,0.108,0.108,0.292,8.9,0,0,2.9,0,0.326,0.000,0.5,4,9
First Week of September,1,46,56,66,64,73,82,0.396,0.096,0.108,0.108,0.292,7.9,0,0,3.4,0,0.430,0.000,0.5,4.6,9.6
Second Week of September,2,44,54,64,62,71,80,0.396,0.096,0.108,0.108,0.292,7.9,0,0,3.4,0,0.430,0.000,0.5,4.6,9.6
Third Week of September,3,41,52,63,60,69,78,0.396,0.096,0.108,0.108,0.292,7.9,0,0,3.4,0,0.430,0.000,0.5,4.6,9.6
Fourth Week of September,4,39,50,61,57,66,75,0.396,0.096,0.108,0.108,0.292,7.9,0,0,3.4,0,0.430,0.000,0.5,4.6,9.6
September/October Transition,5,36,48,60,53,63,73,0.396,0.096,0.108,0.108,0.292,7.9,0,0,3.4,0,0.430,0.000,0.5,4.6,9.6
First Week of October,6,34,45,56,50,60,70,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0.3,0.482,0.000,0.5,5.2,10.2
Second Week of October,7,32,43,54,47,57,67,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0.3,0.482,0.000,0.5,5.2,10.2
Third Week of October,8,30,41,52,43,54,65,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0.3,0.482,0.000,0.5,5.2,10.2
October/November Transition,9,28,40,52,42,52,62,0.363,0.088,0.099,0.1215,0.3285,8.3,0.2,0,4,0.3,0.482,0.000,0.5,5.2,10.2
First Week of November,10,26,38,50,38,49,60,0.3102,0.0752,0.0846,0.1431,0.3869,6.8,1.1,0.6,3.7,4,0.544,6.667,0.5,5.5,11.5
Second Week of November,11,24,35,46,35,46,57,0.3102,0.0752,0.0846,0.1431,0.3869,6.8,1.1,0.6,3.7,4,0.544,6.667,0.5,5.5,11.5
Third Week of November,12,21,33,45,32,43,54,0.3102,0.0752,0.0846,0.1431,0.3869,6.8,1.1,0.6,3.7,4,0.544,6.667,0.5,5.5,11.5
Fourth Week of November,13,17,31,45,28,40,52,0.3102,0.0752,0.0846,0.1431,0.3869,6.8,1.1,0.6,3.7,4,0.544,6.667,0.5,5.5,11.5
First Week of December,14,13,28,43,25,37,49,0.297,0.072,0.081,0.1485,0.4015,3.6,2.2,3,2.3,12.1,0.639,4.033,0.5,5.7,11.7
Second Week of December,15,9,25,41,22,34,46,0.297,0.072,0.081,0.1485,0.4015,3.6,2.2,3,2.3,12.1,0.639,4.033,0.5,5.7,11.7
Third Week of December,16,6,23,40,18,31,44,0.297,0.072,0.081,0.1485,0.4015,3.6,2.2,3,2.3,12.1,0.639,4.033,0.5,5.7,11.7
Fourth Week of December,17,3,20,37,16,29,42,0.297,0.072,0.081,0.1485,0.4015,3.6,2.2,3,2.3,12.1,0.639,4.033,0.5,5.7,11.7
December/January Transition,18,0,18,36,15,28,41,0.3036,0.0736,0.0828,0.1458,0.3942,2,2.1,3.6,1.3,13.9,0.650,3.861,0.5,6.2,12.2
First Week of January,19,-2,17,36,12,26,40,0.3036,0.0736,0.0828,0.1458,0.3942,2,2.1,3.6,1.3,13.9,0.650,3.861,0.5,6.2,12.2
Second Week of January,20,-4,15,34,10,25,40,0.3036,0.0736,0.0828,0.1458,0.3942,2,2.1,3.6,1.3,13.9,0.650,3.861,0.5,6.2,12.2
Third Week of January,21,-5,14,33,11,25,39,0.3036,0.0736,0.0828,0.1458,0.3942,2,2.1,3.6,1.3,13.9,0.650,3.861,0.5,6.2,12.2
January/February Transition,22,-5,13,31,10,25,40,0.2904,0.0704,0.0792,0.1512,0.4088,2.3,1.7,2.6,1.4,12.3,0.609,4.731,0.5,6.5,12.5
First Week of February,23,-4,14,32,12,26,40,0.2904,0.0704,0.0792,0.1512,0.4088,2.3,1.7,2.6,1.4,12.3,0.609,4.731,0.5,6.5,12.5
Second Week of February,24,-2,15,32,15,28,41,0.2904,0.0704,0.0792,0.1512,0.4088,2.3,1.7,2.6,1.4,12.3,0.609,4.731,0.5,6.5,12.5
Third Week of Februrary,25,-1,16,33,16,29,42,0.2904,0.0704,0.0792,0.1512,0.4088,2.3,1.7,2.6,1.4,12.3,0.609,4.731,0.5,6.5,12.5
