Reference Location:,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,56,64,72,70,78,86,0.4422,0.1072,0.1206,0.0891,0.2409,10,0,0,2.6,0,0.260,0.000,3.3,8.3,13.3
First Week of September,1,54,63,72,67,76,85,0.429,0.104,0.117,0.0945,0.2555,9,0,0,2.7,0,0.300,0.000,4.7,9.7,14.7
Second Week of September,2,52,61,70,65,75,85,0.429,0.104,0.117,0.0945,0.2555,9,0,0,2.7,0,0.300,0.000,4.7,9.7,14.7
Third Week of September,3,49,59,69,61,72,83,0.429,0.104,0.117,0.0945,0.2555,9,0,0,2.7,0,0.300,0.000,4.7,9.7,14.7
Fourth Week of September,4,46,56,66,57,69,81,0.429,0.104,0.117,0.0945,0.2555,9,0,0,2.7,0,0.300,0.000,4.7,9.7,14.7
September/October Transition,5,43,53,63,54,66,78,0.429,0.104,0.117,0.0945,0.2555,9,0,0,2.7,0,0.300,0.000,4.7,9.7,14.7
First Week of October,6,41,51,61,51,63,75,0.3828,0.0928,0.1044,0.1134,0.3066,7.4,0.1,0,2.1,0,0.284,0.000,6.4,11.4,16.4
Second Week of October,7,38,49,60,47,60,73,0.3828,0.0928,0.1044,0.1134,0.3066,7.4,0.1,0,2.1,0,0.284,0.000,6.4,11.4,16.4
Third Week of October,8,36,46,56,46,58,70,0.3828,0.0928,0.1044,0.1134,0.3066,7.4,0.1,0,2.1,0,0.284,0.000,6.4,11.4,16.4
October/November Transition,9,34,44,54,43,55,67,0.3828,0.0928,0.1044,0.1134,0.3066,7.4,0.1,0,2.1,0,0.284,0.000,6.4,11.4,16.4
First Week of November,10,32,42,52,38,51,64,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.4,0.1,1.9,0.4,0.302,4.000,7.6,12.6,18.6
Second Week of November,11,29,40,51,35,48,61,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.4,0.1,1.9,0.4,0.302,4.000,7.6,12.6,18.6
Third Week of November,12,27,38,49,32,45,58,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.4,0.1,1.9,0.4,0.302,4.000,7.6,12.6,18.6
Fourth Week of November,13,25,36,47,29,42,55,0.3168,0.0768,0.0864,0.1404,0.3796,6.3,0.4,0.1,1.9,0.4,0.302,4.000,7.6,12.6,18.6
First Week of December,14,22,34,46,26,39,52,0.264,0.064,0.072,0.162,0.438,4.6,1,1.3,1.3,3.2,0.283,2.462,8.1,13.1,19.1
Second Week of December,15,19,31,43,25,37,49,0.264,0.064,0.072,0.162,0.438,4.6,1,1.3,1.3,3.2,0.283,2.462,8.1,13.1,19.1
Third Week of December,16,15,29,43,22,34,46,0.264,0.064,0.072,0.162,0.438,4.6,1,1.3,1.3,3.2,0.283,2.462,8.1,13.1,19.1
Fourth Week of December,17,13,28,43,21,33,45,0.264,0.064,0.072,0.162,0.438,4.6,1,1.3,1.3,3.2,0.283,2.462,8.1,13.1,19.1
December/January Transition,18,11,26,41,18,31,44,0.2442,0.0592,0.0666,0.1701,0.4599,2.7,1,2.1,0.8,4.4,0.296,2.095,8.5,13.5,19.5
First Week of January,19,10,25,40,16,30,44,0.2442,0.0592,0.0666,0.1701,0.4599,2.7,1,2.1,0.8,4.4,0.296,2.095,8.5,13.5,19.5
Second Week of January,20,9,24,39,15,29,43,0.2442,0.0592,0.0666,0.1701,0.4599,2.7,1,2.1,0.8,4.4,0.296,2.095,8.5,13.5,19.5
Third Week of January,21,7,23,39,15,29,43,0.2442,0.0592,0.0666,0.1701,0.4599,2.7,1,2.1,0.8,4.4,0.296,2.095,8.5,13.5,19.5
January/February Transition,22,7,23,39,15,29,43,0.264,0.064,0.072,0.162,0.438,2.2,0.9,1.9,0.8,4.9,0.364,2.579,7.9,12.9,18.9
First Week of February,23,8,22,36,16,29,42,0.264,0.064,0.072,0.162,0.438,2.2,0.9,1.9,0.8,4.9,0.364,2.579,7.9,12.9,18.9
Second Week of February,24,10,24,38,18,31,44,0.264,0.064,0.072,0.162,0.438,2.2,0.9,1.9,0.8,4.9,0.364,2.579,7.9,12.9,18.9
Third Week of Februrary,25,10,24,38,19,32,45,0.264,0.064,0.072,0.162,0.438,2.2,0.9,1.9,0.8,4.9,0.364,2.579,7.9,12.9,18.9
