Reference Location:,"Marquette, MI",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,47,57,67,60,71,82,0.4356,0.1056,0.1188,0.0918,0.2482,9.6,0,0,2.6,0,0.271,0.000,1.5,6.5,11.5
First Week of September,1,45,56,67,57,69,81,0.396,0.096,0.108,0.108,0.292,9.6,0,0,3,0,0.313,0.000,2.9,7.9,12.9
Second Week of September,2,43,55,67,54,67,80,0.396,0.096,0.108,0.108,0.292,9.6,0,0,3,0,0.313,0.000,2.9,7.9,12.9
Third Week of September,3,41,52,63,53,65,77,0.396,0.096,0.108,0.108,0.292,9.6,0,0,3,0,0.313,0.000,2.9,7.9,12.9
Fourth Week of September,4,38,50,62,49,62,75,0.396,0.096,0.108,0.108,0.292,9.6,0,0,3,0,0.313,0.000,2.9,7.9,12.9
September/October Transition,5,36,48,60,46,59,72,0.396,0.096,0.108,0.108,0.292,9.6,0,0,3,0,0.313,0.000,2.9,7.9,12.9
First Week of October,6,35,45,55,41,55,69,0.3366,0.0816,0.0918,0.1323,0.3577,8.8,0.1,0.1,2.7,0.2,0.307,2.000,4,9,14
Second Week of October,7,33,43,53,40,53,66,0.3366,0.0816,0.0918,0.1323,0.3577,8.8,0.1,0.1,2.7,0.2,0.307,2.000,4,9,14
Third Week of October,8,32,41,50,37,50,63,0.3366,0.0816,0.0918,0.1323,0.3577,8.8,0.1,0.1,2.7,0.2,0.307,2.000,4,9,14
October/November Transition,9,29,39,49,33,46,59,0.3366,0.0816,0.0918,0.1323,0.3577,8.8,0.1,0.1,2.7,0.2,0.307,2.000,4,9,14
First Week of November,10,27,37,47,32,44,56,0.264,0.064,0.072,0.162,0.438,4.7,0.8,1.4,1.5,2.9,0.319,2.071,5.2,10.2,16.2
Second Week of November,11,23,34,45,29,41,53,0.264,0.064,0.072,0.162,0.438,4.7,0.8,1.4,1.5,2.9,0.319,2.071,5.2,10.2,16.2
Third Week of November,12,20,32,44,25,37,49,0.264,0.064,0.072,0.162,0.438,4.7,0.8,1.4,1.5,2.9,0.319,2.071,5.2,10.2,16.2
Fourth Week of November,13,16,29,42,22,34,46,0.264,0.064,0.072,0.162,0.438,4.7,0.8,1.4,1.5,2.9,0.319,2.071,5.2,10.2,16.2
First Week of December,14,12,27,42,21,32,43,0.1848,0.0448,0.0504,0.1944,0.5256,2,0.9,3.6,0.7,6.7,0.350,1.861,6,11,17
Second Week of December,15,8,24,40,18,29,40,0.1848,0.0448,0.0504,0.1944,0.5256,2,0.9,3.6,0.7,6.7,0.350,1.861,6,11,17
Third Week of December,16,6,22,38,16,27,38,0.1848,0.0448,0.0504,0.1944,0.5256,2,0.9,3.6,0.7,6.7,0.350,1.861,6,11,17
Fourth Week of December,17,4,21,38,15,26,37,0.1848,0.0448,0.0504,0.1944,0.5256,2,0.9,3.6,0.7,6.7,0.350,1.861,6,11,17
December/January Transition,18,3,20,37,12,24,36,0.1584,0.0384,0.0432,0.2052,0.5548,0.7,0.7,4.4,0.3,7.3,0.429,1.659,6.6,11.6,17.6
First Week of January,19,1,18,35,10,23,36,0.1584,0.0384,0.0432,0.2052,0.5548,0.7,0.7,4.4,0.3,7.3,0.429,1.659,6.6,11.6,17.6
Second Week of January,20,0,17,34,9,22,35,0.1584,0.0384,0.0432,0.2052,0.5548,0.7,0.7,4.4,0.3,7.3,0.429,1.659,6.6,11.6,17.6
Third Week of January,21,-2,16,34,9,22,35,0.1584,0.0384,0.0432,0.2052,0.5548,0.7,0.7,4.4,0.3,7.3,0.429,1.659,6.6,11.6,17.6
January/February Transition,22,-2,16,34,8,22,36,0.1782,0.0432,0.0486,0.1971,0.5329,0.8,0.7,2.6,0.3,6.2,0.375,2.385,6.1,11.1,17.1
First Week of February,23,-2,15,32,10,23,36,0.1782,0.0432,0.0486,0.1971,0.5329,0.8,0.7,2.6,0.3,6.2,0.375,2.385,6.1,11.1,17.1
Second Week of February,24,-1,16,33,11,24,37,0.1782,0.0432,0.0486,0.1971,0.5329,0.8,0.7,2.6,0.3,6.2,0.375,2.385,6.1,11.1,17.1
Third Week of Februrary,25,-1,17,35,12,25,38,0.1782,0.0432,0.0486,0.1971,0.5329,0.8,0.7,2.6,0.3,6.2,0.375,2.385,6.1,11.1,17.1
