Reference Location:,"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,53,62,71,67,77,87,0.4554,0.1104,0.1242,0.0837,0.2263,10.7,0,0,3.6,0,0.336,0.000,2.6,7.6,12.6
First Week of September,1,51,60,69,64,75,86,0.4224,0.1024,0.1152,0.0972,0.2628,8.8,0,0,3.2,0,0.364,0.000,3.8,8.8,13.8
Second Week of September,2,48,58,68,61,73,85,0.4224,0.1024,0.1152,0.0972,0.2628,8.8,0,0,3.2,0,0.364,0.000,3.8,8.8,13.8
Third Week of September,3,44,55,66,58,70,82,0.4224,0.1024,0.1152,0.0972,0.2628,8.8,0,0,3.2,0,0.364,0.000,3.8,8.8,13.8
Fourth Week of September,4,41,52,63,53,67,81,0.4224,0.1024,0.1152,0.0972,0.2628,8.8,0,0,3.2,0,0.364,0.000,3.8,8.8,13.8
September/October Transition,5,37,49,61,50,64,78,0.4224,0.1024,0.1152,0.0972,0.2628,8.8,0,0,3.2,0,0.364,0.000,3.8,8.8,13.8
First Week of October,6,35,46,57,45,60,75,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.1,0.1,1.9,0.4,0.333,4.000,4.6,9.6,14.6
Second Week of October,7,33,44,55,44,58,72,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.1,0.1,1.9,0.4,0.333,4.000,4.6,9.6,14.6
Third Week of October,8,30,41,52,40,54,68,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.1,0.1,1.9,0.4,0.333,4.000,4.6,9.6,14.6
October/November Transition,9,28,39,50,37,51,65,0.3696,0.0896,0.1008,0.1188,0.3212,5.7,0.1,0.1,1.9,0.4,0.333,4.000,4.6,9.6,14.6
First Week of November,10,24,36,48,32,47,62,0.3102,0.0752,0.0846,0.1431,0.3869,2.8,0.5,1,1,2.9,0.357,2.900,4.9,9.9,15.9
Second Week of November,11,20,33,46,27,43,59,0.3102,0.0752,0.0846,0.1431,0.3869,2.8,0.5,1,1,2.9,0.357,2.900,4.9,9.9,15.9
Third Week of November,12,16,29,42,24,39,54,0.3102,0.0752,0.0846,0.1431,0.3869,2.8,0.5,1,1,2.9,0.357,2.900,4.9,9.9,15.9
Fourth Week of November,13,12,26,40,20,35,50,0.3102,0.0752,0.0846,0.1431,0.3869,2.8,0.5,1,1,2.9,0.357,2.900,4.9,9.9,15.9
First Week of December,14,7,23,39,16,31,46,0.2706,0.0656,0.0738,0.1566,0.4234,1,0.4,2.2,0.4,4.5,0.400,2.045,5.1,10.1,16.1
Second Week of December,15,1,20,39,12,27,42,0.2706,0.0656,0.0738,0.1566,0.4234,1,0.4,2.2,0.4,4.5,0.400,2.045,5.1,10.1,16.1
Third Week of December,16,-2,18,38,10,25,40,0.2706,0.0656,0.0738,0.1566,0.4234,1,0.4,2.2,0.4,4.5,0.400,2.045,5.1,10.1,16.1
Fourth Week of December,17,-5,16,37,8,23,38,0.2706,0.0656,0.0738,0.1566,0.4234,1,0.4,2.2,0.4,4.5,0.400,2.045,5.1,10.1,16.1
December/January Transition,18,-7,14,35,7,22,37,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.3,2.2,0.1,3.5,0.333,1.591,5.9,10.9,16.9
First Week of January,19,-8,13,34,6,21,36,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.3,2.2,0.1,3.5,0.333,1.591,5.9,10.9,16.9
Second Week of January,20,-8,12,32,4,20,36,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.3,2.2,0.1,3.5,0.333,1.591,5.9,10.9,16.9
Third Week of January,21,-9,12,33,5,21,37,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.3,2.2,0.1,3.5,0.333,1.591,5.9,10.9,16.9
January/February Transition,22,-9,12,33,5,21,37,0.2706,0.0656,0.0738,0.1593,0.4307,0.6,0.4,1.6,0.2,3.7,0.333,2.313,5.9,10.9,16.9
First Week of February,23,-8,13,34,6,22,38,0.2706,0.0656,0.0738,0.1593,0.4307,0.6,0.4,1.6,0.2,3.7,0.333,2.313,5.9,10.9,16.9
Second Week of February,24,-6,14,34,9,24,39,0.2706,0.0656,0.0738,0.1593,0.4307,0.6,0.4,1.6,0.2,3.7,0.333,2.313,5.9,10.9,16.9
Third Week of Februrary,25,-4,16,36,11,26,41,0.2706,0.0656,0.0738,0.1593,0.4307,0.6,0.4,1.6,0.2,3.7,0.333,2.313,5.9,10.9,16.9
