Reference Location:,"Kansas City, MO",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,61,70,79,74,85,96,0.462,0.112,0.126,0.081,0.219,9.7,0,0,3.6,0,0.371,0.000,3.2,8.2,13.2
First Week of September,1,59,68,77,74,84,94,0.462,0.112,0.126,0.081,0.219,8.9,0,0,4,0,0.449,0.000,4.4,9.4,14.4
Second Week of September,2,56,66,76,70,81,92,0.462,0.112,0.126,0.081,0.219,8.9,0,0,4,0,0.449,0.000,4.4,9.4,14.4
Third Week of September,3,52,63,74,68,79,90,0.462,0.112,0.126,0.081,0.219,8.9,0,0,4,0,0.449,0.000,4.4,9.4,14.4
Fourth Week of September,4,49,60,71,65,76,87,0.462,0.112,0.126,0.081,0.219,8.9,0,0,4,0,0.449,0.000,4.4,9.4,14.4
September/October Transition,5,45,57,69,61,73,85,0.462,0.112,0.126,0.081,0.219,8.9,0,0,4,0,0.449,0.000,4.4,9.4,14.4
First Week of October,6,42,54,66,57,70,83,0.4224,0.1024,0.1152,0.0972,0.2628,6.8,0,0,3,0,0.441,0.000,5.4,10.4,15.4
Second Week of October,7,40,52,64,55,68,81,0.4224,0.1024,0.1152,0.0972,0.2628,6.8,0,0,3,0,0.441,0.000,5.4,10.4,15.4
Third Week of October,8,37,50,63,51,65,79,0.4224,0.1024,0.1152,0.0972,0.2628,6.8,0,0,3,0,0.441,0.000,5.4,10.4,15.4
October/November Transition,9,35,48,61,48,62,76,0.4224,0.1024,0.1152,0.0972,0.2628,6.8,0,0,3,0,0.441,0.000,5.4,10.4,15.4
First Week of November,10,32,45,58,45,59,73,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.3,0.2,2.1,0.5,0.457,2.500,5.9,10.9,16.9
Second Week of November,11,30,43,56,39,55,71,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.3,0.2,2.1,0.5,0.457,2.500,5.9,10.9,16.9
Third Week of November,12,27,40,53,36,52,68,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.3,0.2,2.1,0.5,0.457,2.500,5.9,10.9,16.9
Fourth Week of November,13,24,37,50,33,49,65,0.3696,0.0896,0.1008,0.1188,0.3212,4.6,0.3,0.2,2.1,0.5,0.457,2.500,5.9,10.9,16.9
First Week of December,14,21,35,49,30,46,62,0.3366,0.0816,0.0918,0.1323,0.3577,2.7,0.8,0.9,1.2,2.4,0.444,2.667,5.8,10.8,16.8
Second Week of December,15,16,32,48,25,42,59,0.3366,0.0816,0.0918,0.1323,0.3577,2.7,0.8,0.9,1.2,2.4,0.444,2.667,5.8,10.8,16.8
Third Week of December,16,14,30,46,23,40,57,0.3366,0.0816,0.0918,0.1323,0.3577,2.7,0.8,0.9,1.2,2.4,0.444,2.667,5.8,10.8,16.8
Fourth Week of December,17,11,28,45,21,38,55,0.3366,0.0816,0.0918,0.1323,0.3577,2.7,0.8,0.9,1.2,2.4,0.444,2.667,5.8,10.8,16.8
December/January Transition,18,9,27,45,20,37,54,0.3432,0.0832,0.0936,0.1296,0.3504,1.7,0.7,1.2,0.6,2.9,0.353,2.417,6.2,11.2,17.2
First Week of January,19,9,26,43,19,37,55,0.3432,0.0832,0.0936,0.1296,0.3504,1.7,0.7,1.2,0.6,2.9,0.353,2.417,6.2,11.2,17.2
Second Week of January,20,10,26,42,19,37,55,0.3432,0.0832,0.0936,0.1296,0.3504,1.7,0.7,1.2,0.6,2.9,0.353,2.417,6.2,11.2,17.2
Third Week of January,21,9,26,43,20,38,56,0.3432,0.0832,0.0936,0.1296,0.3504,1.7,0.7,1.2,0.6,2.9,0.353,2.417,6.2,11.2,17.2
January/February Transition,22,9,26,43,19,38,57,0.3234,0.0784,0.0882,0.1377,0.3723,2.7,0.5,0.9,1.1,2.8,0.407,3.111,6.5,11.5,17.5
First Week of February,23,10,27,44,20,39,58,0.3234,0.0784,0.0882,0.1377,0.3723,2.7,0.5,0.9,1.1,2.8,0.407,3.111,6.5,11.5,17.5
Second Week of February,24,12,28,44,22,41,60,0.3234,0.0784,0.0882,0.1377,0.3723,2.7,0.5,0.9,1.1,2.8,0.407,3.111,6.5,11.5,17.5
Third Week of Februrary,25,14,29,44,22,42,62,0.3234,0.0784,0.0882,0.1377,0.3723,2.7,0.5,0.9,1.1,2.8,0.407,3.111,6.5,11.5,17.5
