Reference Location:,"Jackson, MS",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,67,72,77,82,89,96,0.4026,0.0976,0.1098,0.1053,0.2847,10.7,0,0,3.1,0,0.290,0.000,0.5,3.9,8.9
First Week of September,1,65,71,77,82,89,96,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,2.9,0,0.382,0.000,0.5,4.6,9.6
Second Week of September,2,62,70,78,81,88,95,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,2.9,0,0.382,0.000,0.5,4.6,9.6
Third Week of September,3,59,68,77,79,86,93,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,2.9,0,0.382,0.000,0.5,4.6,9.6
Fourth Week of September,4,55,65,75,76,84,92,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,2.9,0,0.382,0.000,0.5,4.6,9.6
September/October Transition,5,51,63,75,74,82,90,0.4224,0.1024,0.1152,0.0972,0.2628,7.6,0,0,2.9,0,0.382,0.000,0.5,4.6,9.6
First Week of October,6,47,60,73,72,80,88,0.4422,0.1072,0.1206,0.0891,0.2409,7.3,0,0,3.4,0,0.466,0.000,0.5,5.1,10.1
Second Week of October,7,44,58,72,68,77,86,0.4422,0.1072,0.1206,0.0891,0.2409,7.3,0,0,3.4,0,0.466,0.000,0.5,5.1,10.1
Third Week of October,8,42,56,70,65,75,85,0.4422,0.1072,0.1206,0.0891,0.2409,7.3,0,0,3.4,0,0.466,0.000,0.5,5.1,10.1
October/November Transition,9,39,54,69,63,73,83,0.4422,0.1072,0.1206,0.0891,0.2409,7.3,0,0,3.4,0,0.466,0.000,0.5,5.1,10.1
First Week of November,10,37,52,67,59,70,81,0.4026,0.0976,0.1098,0.1053,0.2847,8.1,0,0,4.3,0,0.531,0.000,0.5,5.6,11.6
Second Week of November,11,35,50,65,56,68,80,0.4026,0.0976,0.1098,0.1053,0.2847,8.1,0,0,4.3,0,0.531,0.000,0.5,5.6,11.6
Third Week of November,12,34,48,62,54,66,78,0.4026,0.0976,0.1098,0.1053,0.2847,8.1,0,0,4.3,0,0.531,0.000,0.5,5.6,11.6
Fourth Week of November,13,32,47,62,50,63,76,0.4026,0.0976,0.1098,0.1053,0.2847,8.1,0,0,4.3,0,0.531,0.000,0.5,5.6,11.6
First Week of December,14,31,46,61,48,61,74,0.3432,0.0832,0.0936,0.1296,0.3504,9.5,0.2,0,4.9,0,0.516,0.000,0.5,5.8,11.8
Second Week of December,15,29,44,59,45,59,73,0.3432,0.0832,0.0936,0.1296,0.3504,9.5,0.2,0,4.9,0,0.516,0.000,0.5,5.8,11.8
Third Week of December,16,28,43,58,42,57,72,0.3432,0.0832,0.0936,0.1296,0.3504,9.5,0.2,0,4.9,0,0.516,0.000,0.5,5.8,11.8
Fourth Week of December,17,27,43,59,40,56,72,0.3432,0.0832,0.0936,0.1296,0.3504,9.5,0.2,0,4.9,0,0.516,0.000,0.5,5.8,11.8
December/January Transition,18,26,42,58,39,55,71,0.33,0.08,0.09,0.135,0.365,9.3,0.3,0,4.8,0,0.516,0.000,0.5,5.9,11.9
First Week of January,19,25,41,57,38,54,70,0.33,0.08,0.09,0.135,0.365,9.3,0.3,0,4.8,0,0.516,0.000,0.5,5.9,11.9
Second Week of January,20,25,41,57,40,55,70,0.33,0.08,0.09,0.135,0.365,9.3,0.3,0,4.8,0,0.516,0.000,0.5,5.9,11.9
Third Week of January,21,25,41,57,39,55,71,0.33,0.08,0.09,0.135,0.365,9.3,0.3,0,4.8,0,0.516,0.000,0.5,5.9,11.9
January/February Transition,22,26,41,56,39,55,71,0.33,0.08,0.09,0.135,0.365,8.4,0.2,0,5.3,0,0.631,0.000,0.5,6.1,12.1
First Week of February,23,26,41,56,41,56,71,0.33,0.08,0.09,0.135,0.365,8.4,0.2,0,5.3,0,0.631,0.000,0.5,6.1,12.1
Second Week of February,24,28,43,58,43,58,73,0.33,0.08,0.09,0.135,0.365,8.4,0.2,0,5.3,0,0.631,0.000,0.5,6.1,12.1
Third Week of Februrary,25,29,44,59,44,59,74,0.33,0.08,0.09,0.135,0.365,8.4,0.2,0,5.3,0,0.631,0.000,0.5,6.1,12.1
