Reference Location:,"Missoula, MT",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,43,50,57,67,79,91,0.4818,0.1168,0.1314,0.0729,0.1971,5.1,0,0,0.9,0,0.176,0.000,0.5,3.9,8.9
First Week of September,1,41,49,57,63,76,89,0.4224,0.1024,0.1152,0.0972,0.2628,5.3,0,0,1,0,0.189,0.000,0.5,4.1,9.1
Second Week of September,2,39,47,55,60,73,86,0.4224,0.1024,0.1152,0.0972,0.2628,5.3,0,0,1,0,0.189,0.000,0.5,4.1,9.1
Third Week of September,3,36,45,54,58,71,84,0.4224,0.1024,0.1152,0.0972,0.2628,5.3,0,0,1,0,0.189,0.000,0.5,4.1,9.1
Fourth Week of September,4,34,42,50,53,67,81,0.4224,0.1024,0.1152,0.0972,0.2628,5.3,0,0,1,0,0.189,0.000,0.5,4.1,9.1
September/October Transition,5,31,40,49,50,64,78,0.4224,0.1024,0.1152,0.0972,0.2628,5.3,0,0,1,0,0.189,0.000,0.5,4.1,9.1
First Week of October,6,29,38,47,48,61,74,0.3432,0.0832,0.0936,0.1296,0.3504,6,0.3,0.1,1.1,0.3,0.183,3.000,0.5,4.3,9.3
Second Week of October,7,27,37,47,45,57,69,0.3432,0.0832,0.0936,0.1296,0.3504,6,0.3,0.1,1.1,0.3,0.183,3.000,0.5,4.3,9.3
Third Week of October,8,24,34,44,42,53,64,0.3432,0.0832,0.0936,0.1296,0.3504,6,0.3,0.1,1.1,0.3,0.183,3.000,0.5,4.3,9.3
October/November Transition,9,23,33,43,39,49,59,0.3432,0.0832,0.0936,0.1296,0.3504,6,0.3,0.1,1.1,0.3,0.183,3.000,0.5,4.3,9.3
First Week of November,10,21,31,41,36,46,56,0.2706,0.0656,0.0738,0.1593,0.4307,5,1.4,1.3,1.2,2.5,0.240,1.923,0.5,4.5,10.5
Second Week of November,11,18,30,42,31,42,53,0.2706,0.0656,0.0738,0.1593,0.4307,5,1.4,1.3,1.2,2.5,0.240,1.923,0.5,4.5,10.5
Third Week of November,12,16,28,40,27,38,49,0.2706,0.0656,0.0738,0.1593,0.4307,5,1.4,1.3,1.2,2.5,0.240,1.923,0.5,4.5,10.5
Fourth Week of November,13,13,26,39,24,35,46,0.2706,0.0656,0.0738,0.1593,0.4307,5,1.4,1.3,1.2,2.5,0.240,1.923,0.5,4.5,10.5
First Week of December,14,11,25,39,22,33,44,0.2376,0.0576,0.0648,0.1728,0.4672,3,1.7,3.2,0.8,6.1,0.267,1.906,0.5,4.5,10.5
Second Week of December,15,8,23,38,19,30,41,0.2376,0.0576,0.0648,0.1728,0.4672,3,1.7,3.2,0.8,6.1,0.267,1.906,0.5,4.5,10.5
Third Week of December,16,7,22,37,18,29,40,0.2376,0.0576,0.0648,0.1728,0.4672,3,1.7,3.2,0.8,6.1,0.267,1.906,0.5,4.5,10.5
Fourth Week of December,17,6,21,36,17,28,39,0.2376,0.0576,0.0648,0.1728,0.4672,3,1.7,3.2,0.8,6.1,0.267,1.906,0.5,4.5,10.5
December/January Transition,18,5,21,37,17,28,39,0.231,0.056,0.063,0.1755,0.4745,2.8,2,2.5,0.6,6.1,0.214,2.440,0.5,4.6,10.6
First Week of January,19,5,21,37,16,28,40,0.231,0.056,0.063,0.1755,0.4745,2.8,2,2.5,0.6,6.1,0.214,2.440,0.5,4.6,10.6
Second Week of January,20,6,22,38,18,29,40,0.231,0.056,0.063,0.1755,0.4745,2.8,2,2.5,0.6,6.1,0.214,2.440,0.5,4.6,10.6
Third Week of January,21,6,22,38,19,30,41,0.231,0.056,0.063,0.1755,0.4745,2.8,2,2.5,0.6,6.1,0.214,2.440,0.5,4.6,10.6
January/February Transition,22,6,22,38,20,31,42,0.2508,0.0608,0.0684,0.1674,0.4526,3.2,1.3,1.3,0.7,3.5,0.219,2.692,0.5,4.5,10.5
First Week of February,23,8,23,38,23,33,43,0.2508,0.0608,0.0684,0.1674,0.4526,3.2,1.3,1.3,0.7,3.5,0.219,2.692,0.5,4.5,10.5
Second Week of February,24,9,24,39,24,34,44,0.2508,0.0608,0.0684,0.1674,0.4526,3.2,1.3,1.3,0.7,3.5,0.219,2.692,0.5,4.5,10.5
Third Week of Februrary,25,9,24,39,25,36,47,0.2508,0.0608,0.0684,0.1674,0.4526,3.2,1.3,1.3,0.7,3.5,0.219,2.692,0.5,4.5,10.5
