Reference Location:,"Wilmington, NC",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,66,72,78,79,85,91,0.33,0.08,0.09,0.135,0.365,15.1,0,0,5.8,0,0.384,0.000,1.9,6.9,11.9
First Week of September,1,65,71,77,78,84,90,0.3696,0.0896,0.1008,0.1188,0.3212,10.9,0,0,5.9,0,0.541,0.000,2.6,7.6,12.6
Second Week of September,2,62,69,76,77,83,89,0.3696,0.0896,0.1008,0.1188,0.3212,10.9,0,0,5.9,0,0.541,0.000,2.6,7.6,12.6
Third Week of September,3,60,68,76,76,82,88,0.3696,0.0896,0.1008,0.1188,0.3212,10.9,0,0,5.9,0,0.541,0.000,2.6,7.6,12.6
Fourth Week of September,4,56,66,76,73,80,87,0.3696,0.0896,0.1008,0.1188,0.3212,10.9,0,0,5.9,0,0.541,0.000,2.6,7.6,12.6
September/October Transition,5,53,64,75,71,78,85,0.3696,0.0896,0.1008,0.1188,0.3212,10.9,0,0,5.9,0,0.541,0.000,2.6,7.6,12.6
First Week of October,6,50,61,72,68,76,84,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.7,0,0.507,0.000,3.1,8.1,13.1
Second Week of October,7,47,59,71,68,75,82,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.7,0,0.507,0.000,3.1,8.1,13.1
Third Week of October,8,44,56,68,65,73,81,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.7,0,0.507,0.000,3.1,8.1,13.1
October/November Transition,9,41,54,67,62,71,80,0.4158,0.1008,0.1134,0.0999,0.2701,7.3,0,0,3.7,0,0.507,0.000,3.1,8.1,13.1
First Week of November,10,38,52,66,60,69,78,0.396,0.096,0.108,0.108,0.292,6.6,0,0,2.9,0,0.439,0.000,3.5,8.5,14.5
Second Week of November,11,36,50,64,57,67,77,0.396,0.096,0.108,0.108,0.292,6.6,0,0,2.9,0,0.439,0.000,3.5,8.5,14.5
Third Week of November,12,34,49,64,54,65,76,0.396,0.096,0.108,0.108,0.292,6.6,0,0,2.9,0,0.439,0.000,3.5,8.5,14.5
Fourth Week of November,13,33,47,61,51,63,75,0.396,0.096,0.108,0.108,0.292,6.6,0,0,2.9,0,0.439,0.000,3.5,8.5,14.5
First Week of December,14,31,46,61,48,61,74,0.3498,0.0848,0.0954,0.1269,0.3431,7.2,0.1,0,3.2,0,0.444,0.000,3.9,8.9,14.9
Second Week of December,15,29,45,61,47,60,73,0.3498,0.0848,0.0954,0.1269,0.3431,7.2,0.1,0,3.2,0,0.444,0.000,3.9,8.9,14.9
Third Week of December,16,28,43,58,44,58,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.2,0.1,0,3.2,0,0.444,0.000,3.9,8.9,14.9
Fourth Week of December,17,27,43,59,42,57,72,0.3498,0.0848,0.0954,0.1269,0.3431,7.2,0.1,0,3.2,0,0.444,0.000,3.9,8.9,14.9
December/January Transition,18,26,42,58,41,56,71,0.3366,0.0816,0.0918,0.1323,0.3577,8,0.2,0,3.4,0,0.425,0.000,4.3,9.3,15.3
First Week of January,19,25,41,57,40,55,70,0.3366,0.0816,0.0918,0.1323,0.3577,8,0.2,0,3.4,0,0.425,0.000,4.3,9.3,15.3
Second Week of January,20,26,41,56,39,54,69,0.3366,0.0816,0.0918,0.1323,0.3577,8,0.2,0,3.4,0,0.425,0.000,4.3,9.3,15.3
Third Week of January,21,25,40,55,40,54,68,0.3366,0.0816,0.0918,0.1323,0.3577,8,0.2,0,3.4,0,0.425,0.000,4.3,9.3,15.3
January/February Transition,22,26,40,54,40,54,68,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0,3.6,0,0.468,0.000,4.5,9.5,15.5
First Week of February,23,26,40,54,40,54,68,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0,3.6,0,0.468,0.000,4.5,9.5,15.5
Second Week of February,24,28,41,54,42,56,70,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0,3.6,0,0.468,0.000,4.5,9.5,15.5
Third Week of Februrary,25,29,42,55,43,57,71,0.3366,0.0816,0.0918,0.1323,0.3577,7.7,0.2,0,3.6,0,0.468,0.000,4.5,9.5,15.5
