Reference Location:,"Charlotte, NC",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,63,69,75,78,85,92,0.4026,0.0976,0.1098,0.1053,0.2847,11.7,0,0,3.5,0,0.299,0.000,0.5,4.7,9.7
First Week of September,1,62,68,74,77,84,91,0.4158,0.1008,0.1134,0.0999,0.2701,7.9,0,0,3.2,0,0.405,0.000,0.5,5.4,10.4
Second Week of September,2,59,66,73,74,82,90,0.4158,0.1008,0.1134,0.0999,0.2701,7.9,0,0,3.2,0,0.405,0.000,0.5,5.4,10.4
Third Week of September,3,56,64,72,71,80,89,0.4158,0.1008,0.1134,0.0999,0.2701,7.9,0,0,3.2,0,0.405,0.000,0.5,5.4,10.4
Fourth Week of September,4,52,62,72,71,79,87,0.4158,0.1008,0.1134,0.0999,0.2701,7.9,0,0,3.2,0,0.405,0.000,0.5,5.4,10.4
September/October Transition,5,49,60,71,67,76,85,0.4158,0.1008,0.1134,0.0999,0.2701,7.9,0,0,3.2,0,0.405,0.000,0.5,5.4,10.4
First Week of October,6,46,57,68,65,74,83,0.429,0.104,0.117,0.0945,0.2555,6.5,0,0,3.1,0,0.477,0.000,0.8,5.8,10.8
Second Week of October,7,43,54,65,61,71,81,0.429,0.104,0.117,0.0945,0.2555,6.5,0,0,3.1,0,0.477,0.000,0.8,5.8,10.8
Third Week of October,8,41,52,63,60,70,80,0.429,0.104,0.117,0.0945,0.2555,6.5,0,0,3.1,0,0.477,0.000,0.8,5.8,10.8
October/November Transition,9,38,49,60,56,67,78,0.429,0.104,0.117,0.0945,0.2555,6.5,0,0,3.1,0,0.477,0.000,0.8,5.8,10.8
First Week of November,10,35,47,59,54,65,76,0.3894,0.0944,0.1062,0.1107,0.2993,6.3,0.1,0,3,0.1,0.476,0.000,0.5,6.1,12.1
Second Week of November,11,33,45,57,52,63,74,0.3894,0.0944,0.1062,0.1107,0.2993,6.3,0.1,0,3,0.1,0.476,0.000,0.5,6.1,12.1
Third Week of November,12,31,44,57,50,61,72,0.3894,0.0944,0.1062,0.1107,0.2993,6.3,0.1,0,3,0.1,0.476,0.000,0.5,6.1,12.1
Fourth Week of November,13,29,42,55,47,59,71,0.3894,0.0944,0.1062,0.1107,0.2993,6.3,0.1,0,3,0.1,0.476,0.000,0.5,6.1,12.1
First Week of December,14,28,41,54,43,56,69,0.3432,0.0832,0.0936,0.1296,0.3504,7.1,0.4,0.1,3.1,1.4,0.437,14.000,0.5,6.2,12.2
Second Week of December,15,27,39,51,41,54,67,0.3432,0.0832,0.0936,0.1296,0.3504,7.1,0.4,0.1,3.1,1.4,0.437,14.000,0.5,6.2,12.2
Third Week of December,16,25,38,51,40,53,66,0.3432,0.0832,0.0936,0.1296,0.3504,7.1,0.4,0.1,3.1,1.4,0.437,14.000,0.5,6.2,12.2
Fourth Week of December,17,24,37,50,36,51,66,0.3432,0.0832,0.0936,0.1296,0.3504,7.1,0.4,0.1,3.1,1.4,0.437,14.000,0.5,6.2,12.2
December/January Transition,18,23,37,51,37,51,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.8,0.9,0.3,3,2.8,0.441,9.333,1.6,6.6,12.6
First Week of January,19,22,36,50,35,50,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.8,0.9,0.3,3,2.8,0.441,9.333,1.6,6.6,12.6
Second Week of January,20,22,35,48,33,49,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.8,0.9,0.3,3,2.8,0.441,9.333,1.6,6.6,12.6
Third Week of January,21,22,35,48,35,50,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.8,0.9,0.3,3,2.8,0.441,9.333,1.6,6.6,12.6
January/February Transition,22,23,35,47,35,50,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.3,0.9,0.2,3.1,2.2,0.492,11.000,2,7,13
First Week of February,23,23,35,47,35,50,65,0.3366,0.0816,0.0918,0.1323,0.3577,6.3,0.9,0.2,3.1,2.2,0.492,11.000,2,7,13
Second Week of February,24,25,37,49,38,52,66,0.3366,0.0816,0.0918,0.1323,0.3577,6.3,0.9,0.2,3.1,2.2,0.492,11.000,2,7,13
Third Week of Februrary,25,26,38,50,40,54,68,0.3366,0.0816,0.0918,0.1323,0.3577,6.3,0.9,0.2,3.1,2.2,0.492,11.000,2,7,13
