Reference Location:,"Fargo, ND",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,48,58,68,66,77,88,0.4752,0.1152,0.1296,0.0756,0.2044,8.9,0,0,2.2,0,0.247,0.000,4.6,9.6,14.6
First Week of September,1,46,57,68,63,75,87,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.2,0,0.310,0.000,5.8,10.8,15.8
Second Week of September,2,43,54,65,59,72,85,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.2,0,0.310,0.000,5.8,10.8,15.8
Third Week of September,3,40,51,62,55,69,83,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.2,0,0.310,0.000,5.8,10.8,15.8
Fourth Week of September,4,36,48,60,51,66,81,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.2,0,0.310,0.000,5.8,10.8,15.8
September/October Transition,5,33,45,57,48,63,78,0.4224,0.1024,0.1152,0.0972,0.2628,7.1,0,0,2.2,0,0.310,0.000,5.8,10.8,15.8
First Week of October,6,31,43,55,44,59,74,0.3564,0.0864,0.0972,0.1242,0.3358,4.4,0.1,0,1.6,0.1,0.364,0.000,6.4,11.4,16.4
Second Week of October,7,29,41,53,41,56,71,0.3564,0.0864,0.0972,0.1242,0.3358,4.4,0.1,0,1.6,0.1,0.364,0.000,6.4,11.4,16.4
Third Week of October,8,26,38,50,37,52,67,0.3564,0.0864,0.0972,0.1242,0.3358,4.4,0.1,0,1.6,0.1,0.364,0.000,6.4,11.4,16.4
October/November Transition,9,23,35,47,33,48,63,0.3564,0.0864,0.0972,0.1242,0.3358,4.4,0.1,0,1.6,0.1,0.364,0.000,6.4,11.4,16.4
First Week of November,10,19,32,45,28,44,60,0.3036,0.0736,0.0828,0.1458,0.3942,1.4,0.3,0.9,0.5,1.8,0.357,2.000,6.2,11.2,17.2
Second Week of November,11,14,29,44,25,40,55,0.3036,0.0736,0.0828,0.1458,0.3942,1.4,0.3,0.9,0.5,1.8,0.357,2.000,6.2,11.2,17.2
Third Week of November,12,10,25,40,19,35,51,0.3036,0.0736,0.0828,0.1458,0.3942,1.4,0.3,0.9,0.5,1.8,0.357,2.000,6.2,11.2,17.2
Fourth Week of November,13,5,21,37,14,30,46,0.3036,0.0736,0.0828,0.1458,0.3942,1.4,0.3,0.9,0.5,1.8,0.357,2.000,6.2,11.2,17.2
First Week of December,14,0,18,36,10,26,42,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.2,1.6,0.1,2.9,0.333,1.813,6.1,11.1,17.1
Second Week of December,15,-5,15,35,5,22,39,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.2,1.6,0.1,2.9,0.333,1.813,6.1,11.1,17.1
Third Week of December,16,-7,13,33,3,20,37,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.2,1.6,0.1,2.9,0.333,1.813,6.1,11.1,17.1
Fourth Week of December,17,-10,11,32,-2,17,36,0.2706,0.0656,0.0738,0.1593,0.4307,0.3,0.2,1.6,0.1,2.9,0.333,1.813,6.1,11.1,17.1
December/January Transition,18,-13,9,31,-3,16,35,0.2574,0.0624,0.0702,0.1647,0.4453,0.1,0.1,1.6,0,2.9,0.000,1.813,6.3,11.3,17.3
First Week of January,19,-14,8,30,-6,14,34,0.2574,0.0624,0.0702,0.1647,0.4453,0.1,0.1,1.6,0,2.9,0.000,1.813,6.3,11.3,17.3
Second Week of January,20,-14,7,28,-6,14,34,0.2574,0.0624,0.0702,0.1647,0.4453,0.1,0.1,1.6,0,2.9,0.000,1.813,6.3,11.3,17.3
Third Week of January,21,-16,7,30,-6,14,34,0.2574,0.0624,0.0702,0.1647,0.4453,0.1,0.1,1.6,0,2.9,0.000,1.813,6.3,11.3,17.3
January/February Transition,22,-15,7,29,-5,15,35,0.2574,0.0624,0.0702,0.1647,0.4453,0.5,0.2,1.2,0.1,2.2,0.200,1.833,6.7,11.7,17.7
First Week of February,23,-15,8,31,-1,17,35,0.2574,0.0624,0.0702,0.1647,0.4453,0.5,0.2,1.2,0.1,2.2,0.200,1.833,6.7,11.7,17.7
Second Week of February,24,-13,9,31,1,19,37,0.2574,0.0624,0.0702,0.1647,0.4453,0.5,0.2,1.2,0.1,2.2,0.200,1.833,6.7,11.7,17.7
Third Week of Februrary,25,-11,11,33,4,21,38,0.2574,0.0624,0.0702,0.1647,0.4453,0.5,0.2,1.2,0.1,2.2,0.200,1.833,6.7,11.7,17.7
