Reference Location:,"Lincoln, NE",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,55,64,73,74,84,94,0.4752,0.1152,0.1296,0.0756,0.2044,9.8,0,0,3.1,0,0.316,0.000,4,9,14
First Week of September,1,52,63,74,71,82,93,0.4686,0.1136,0.1278,0.0783,0.2117,7.5,0,0,2.7,0,0.360,0.000,5.5,10.5,15.5
Second Week of September,2,49,60,71,68,80,92,0.4686,0.1136,0.1278,0.0783,0.2117,7.5,0,0,2.7,0,0.360,0.000,5.5,10.5,15.5
Third Week of September,3,45,57,69,64,77,90,0.4686,0.1136,0.1278,0.0783,0.2117,7.5,0,0,2.7,0,0.360,0.000,5.5,10.5,15.5
Fourth Week of September,4,42,54,66,60,74,88,0.4686,0.1136,0.1278,0.0783,0.2117,7.5,0,0,2.7,0,0.360,0.000,5.5,10.5,15.5
September/October Transition,5,38,51,64,57,71,85,0.4686,0.1136,0.1278,0.0783,0.2117,7.5,0,0,2.7,0,0.360,0.000,5.5,10.5,15.5
First Week of October,6,36,48,60,56,69,82,0.429,0.104,0.117,0.0945,0.2555,5.4,0.1,0.1,1.8,0.4,0.333,4.000,6.1,11.1,16.1
Second Week of October,7,34,46,58,52,66,80,0.429,0.104,0.117,0.0945,0.2555,5.4,0.1,0.1,1.8,0.4,0.333,4.000,6.1,11.1,16.1
Third Week of October,8,31,43,55,47,62,77,0.429,0.104,0.117,0.0945,0.2555,5.4,0.1,0.1,1.8,0.4,0.333,4.000,6.1,11.1,16.1
October/November Transition,9,28,41,54,44,59,74,0.429,0.104,0.117,0.0945,0.2555,5.4,0.1,0.1,1.8,0.4,0.333,4.000,6.1,11.1,16.1
First Week of November,10,25,38,51,41,56,71,0.3762,0.0912,0.1026,0.1161,0.3139,2.7,0.4,0.4,1,1.3,0.370,3.250,6.3,11.3,17.3
Second Week of November,11,22,36,50,36,52,68,0.3762,0.0912,0.1026,0.1161,0.3139,2.7,0.4,0.4,1,1.3,0.370,3.250,6.3,11.3,17.3
Third Week of November,12,19,32,45,32,48,64,0.3762,0.0912,0.1026,0.1161,0.3139,2.7,0.4,0.4,1,1.3,0.370,3.250,6.3,11.3,17.3
Fourth Week of November,13,16,30,44,29,45,61,0.3762,0.0912,0.1026,0.1161,0.3139,2.7,0.4,0.4,1,1.3,0.370,3.250,6.3,11.3,17.3
First Week of December,14,13,27,41,24,41,58,0.3498,0.0848,0.0954,0.1269,0.3431,1.1,0.4,1.2,0.5,3,0.455,2.500,6.3,11.3,17.3
Second Week of December,15,8,24,40,21,38,55,0.3498,0.0848,0.0954,0.1269,0.3431,1.1,0.4,1.2,0.5,3,0.455,2.500,6.3,11.3,17.3
Third Week of December,16,6,23,40,19,36,53,0.3498,0.0848,0.0954,0.1269,0.3431,1.1,0.4,1.2,0.5,3,0.455,2.500,6.3,11.3,17.3
Fourth Week of December,17,4,21,38,17,34,51,0.3498,0.0848,0.0954,0.1269,0.3431,1.1,0.4,1.2,0.5,3,0.455,2.500,6.3,11.3,17.3
December/January Transition,18,2,20,38,14,32,50,0.3432,0.0832,0.0936,0.1296,0.3504,0.6,0.3,1.4,0.2,2.7,0.333,1.929,6.6,11.6,17.6
First Week of January,19,2,19,36,13,32,51,0.3432,0.0832,0.0936,0.1296,0.3504,0.6,0.3,1.4,0.2,2.7,0.333,1.929,6.6,11.6,17.6
Second Week of January,20,2,19,36,14,33,52,0.3432,0.0832,0.0936,0.1296,0.3504,0.6,0.3,1.4,0.2,2.7,0.333,1.929,6.6,11.6,17.6
Third Week of January,21,1,19,37,13,33,53,0.3432,0.0832,0.0936,0.1296,0.3504,0.6,0.3,1.4,0.2,2.7,0.333,1.929,6.6,11.6,17.6
January/February Transition,22,1,19,37,14,34,54,0.3366,0.0816,0.0918,0.1323,0.3577,1.1,0.5,1.1,0.4,2.6,0.364,2.364,6.8,11.8,17.8
First Week of February,23,2,20,38,13,34,55,0.3366,0.0816,0.0918,0.1323,0.3577,1.1,0.5,1.1,0.4,2.6,0.364,2.364,6.8,11.8,17.8
Second Week of February,24,3,22,41,15,36,57,0.3366,0.0816,0.0918,0.1323,0.3577,1.1,0.5,1.1,0.4,2.6,0.364,2.364,6.8,11.8,17.8
Third Week of Februrary,25,5,23,41,18,38,58,0.3366,0.0816,0.0918,0.1323,0.3577,1.1,0.5,1.1,0.4,2.6,0.364,2.364,6.8,11.8,17.8
