Reference Location:,"Concord, NH",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,49,59,69,67,77,87,0.4092,0.0992,0.1116,0.1026,0.2774,9.2,0,0,3.2,0,0.348,0.000,0.5,3.7,8.7
First Week of September,1,47,57,67,67,76,85,0.4092,0.0992,0.1116,0.1026,0.2774,8.2,0,0,3.3,0,0.402,0.000,0.5,4.1,9.1
Second Week of September,2,44,55,66,64,74,84,0.4092,0.0992,0.1116,0.1026,0.2774,8.2,0,0,3.3,0,0.402,0.000,0.5,4.1,9.1
Third Week of September,3,42,53,64,60,71,82,0.4092,0.0992,0.1116,0.1026,0.2774,8.2,0,0,3.3,0,0.402,0.000,0.5,4.1,9.1
Fourth Week of September,4,39,51,63,57,68,79,0.4092,0.0992,0.1116,0.1026,0.2774,8.2,0,0,3.3,0,0.402,0.000,0.5,4.1,9.1
September/October Transition,5,36,48,60,53,65,77,0.4092,0.0992,0.1116,0.1026,0.2774,8.2,0,0,3.3,0,0.402,0.000,0.5,4.1,9.1
First Week of October,6,34,46,58,52,63,74,0.3696,0.0896,0.1008,0.1188,0.3212,7.8,0.2,0,3.9,0.3,0.500,0.000,0.5,4.7,9.7
Second Week of October,7,31,43,55,49,60,71,0.3696,0.0896,0.1008,0.1188,0.3212,7.8,0.2,0,3.9,0.3,0.500,0.000,0.5,4.7,9.7
Third Week of October,8,29,41,53,45,57,69,0.3696,0.0896,0.1008,0.1188,0.3212,7.8,0.2,0,3.9,0.3,0.500,0.000,0.5,4.7,9.7
October/November Transition,9,27,39,51,42,54,66,0.3696,0.0896,0.1008,0.1188,0.3212,7.8,0.2,0,3.9,0.3,0.500,0.000,0.5,4.7,9.7
First Week of November,10,26,37,48,38,51,64,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,1.3,0.5,3.3,3.2,0.524,6.400,0.5,5.2,11.2
Second Week of November,11,24,35,46,35,48,61,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,1.3,0.5,3.3,3.2,0.524,6.400,0.5,5.2,11.2
Third Week of November,12,22,34,46,32,45,58,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,1.3,0.5,3.3,3.2,0.524,6.400,0.5,5.2,11.2
Fourth Week of November,13,19,31,43,29,42,55,0.3234,0.0784,0.0882,0.1377,0.3723,6.3,1.3,0.5,3.3,3.2,0.524,6.400,0.5,5.2,11.2
First Week of December,14,16,29,42,26,39,52,0.297,0.072,0.081,0.1485,0.4015,3.5,2.1,2.8,2.1,11.7,0.600,4.179,0.5,5.6,11.6
Second Week of December,15,12,27,42,25,37,49,0.297,0.072,0.081,0.1485,0.4015,3.5,2.1,2.8,2.1,11.7,0.600,4.179,0.5,5.6,11.6
Third Week of December,16,9,25,41,21,34,47,0.297,0.072,0.081,0.1485,0.4015,3.5,2.1,2.8,2.1,11.7,0.600,4.179,0.5,5.6,11.6
Fourth Week of December,17,6,22,38,20,32,44,0.297,0.072,0.081,0.1485,0.4015,3.5,2.1,2.8,2.1,11.7,0.600,4.179,0.5,5.6,11.6
December/January Transition,18,5,21,37,19,31,43,0.3036,0.0736,0.0828,0.1458,0.3942,1.8,1.8,3.5,1.2,14.5,0.667,4.143,0.5,6.2,12.2
First Week of January,19,2,20,38,17,30,43,0.3036,0.0736,0.0828,0.1458,0.3942,1.8,1.8,3.5,1.2,14.5,0.667,4.143,0.5,6.2,12.2
Second Week of January,20,1,18,35,16,29,42,0.3036,0.0736,0.0828,0.1458,0.3942,1.8,1.8,3.5,1.2,14.5,0.667,4.143,0.5,6.2,12.2
Third Week of January,21,0,17,34,16,29,42,0.3036,0.0736,0.0828,0.1458,0.3942,1.8,1.8,3.5,1.2,14.5,0.667,4.143,0.5,6.2,12.2
January/February Transition,22,-1,17,35,16,29,42,0.297,0.072,0.081,0.1485,0.4015,2,1.8,2.7,1.5,13.3,0.750,4.926,1.6,6.6,12.6
First Week of February,23,0,17,34,18,30,42,0.297,0.072,0.081,0.1485,0.4015,2,1.8,2.7,1.5,13.3,0.750,4.926,1.6,6.6,12.6
Second Week of February,24,2,18,34,20,32,44,0.297,0.072,0.081,0.1485,0.4015,2,1.8,2.7,1.5,13.3,0.750,4.926,1.6,6.6,12.6
Third Week of Februrary,25,3,19,35,21,33,45,0.297,0.072,0.081,0.1485,0.4015,2,1.8,2.7,1.5,13.3,0.750,4.926,1.6,6.6,12.6
