Reference Location:,"Albuquerque, NM",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,61,65,69,81,87,93,0.4422,0.1072,0.1206,0.0891,0.2409,8,0,0,1.3,0,0.163,0.000,1,6,11
First Week of September,1,59,64,69,78,85,92,0.5016,0.1216,0.1368,0.0648,0.1752,4.9,0,0,1.1,0,0.224,0.000,1.9,6.9,11.9
Second Week of September,2,56,62,68,75,83,91,0.5016,0.1216,0.1368,0.0648,0.1752,4.9,0,0,1.1,0,0.224,0.000,1.9,6.9,11.9
Third Week of September,3,54,60,66,75,82,89,0.5016,0.1216,0.1368,0.0648,0.1752,4.9,0,0,1.1,0,0.224,0.000,1.9,6.9,11.9
Fourth Week of September,4,51,57,63,71,79,87,0.5016,0.1216,0.1368,0.0648,0.1752,4.9,0,0,1.1,0,0.224,0.000,1.9,6.9,11.9
September/October Transition,5,47,55,63,69,77,85,0.5016,0.1216,0.1368,0.0648,0.1752,4.9,0,0,1.1,0,0.224,0.000,1.9,6.9,11.9
First Week of October,6,45,52,59,65,74,83,0.5016,0.1216,0.1368,0.0648,0.1752,3.3,0,0,0.8,0,0.242,0.000,2.3,7.3,12.3
Second Week of October,7,42,49,56,61,71,81,0.5016,0.1216,0.1368,0.0648,0.1752,3.3,0,0,0.8,0,0.242,0.000,2.3,7.3,12.3
Third Week of October,8,38,47,56,58,68,78,0.5016,0.1216,0.1368,0.0648,0.1752,3.3,0,0,0.8,0,0.242,0.000,2.3,7.3,12.3
October/November Transition,9,35,44,53,56,66,76,0.5016,0.1216,0.1368,0.0648,0.1752,3.3,0,0,0.8,0,0.242,0.000,2.3,7.3,12.3
First Week of November,10,33,41,49,53,63,73,0.462,0.112,0.126,0.081,0.219,2.4,0.1,0,0.5,0,0.208,0.000,2.4,7.4,13.4
Second Week of November,11,30,39,48,50,60,70,0.462,0.112,0.126,0.081,0.219,2.4,0.1,0,0.5,0,0.208,0.000,2.4,7.4,13.4
Third Week of November,12,28,36,44,45,56,67,0.462,0.112,0.126,0.081,0.219,2.4,0.1,0,0.5,0,0.208,0.000,2.4,7.4,13.4
Fourth Week of November,13,25,34,43,44,54,64,0.462,0.112,0.126,0.081,0.219,2.4,0.1,0,0.5,0,0.208,0.000,2.4,7.4,13.4
First Week of December,14,24,32,40,40,51,62,0.4356,0.1056,0.1188,0.0918,0.2482,1.8,0.3,0,0.4,0,0.222,0.000,2.3,7.3,13.3
Second Week of December,15,22,31,40,38,49,60,0.4356,0.1056,0.1188,0.0918,0.2482,1.8,0.3,0,0.4,0,0.222,0.000,2.3,7.3,13.3
Third Week of December,16,21,29,37,36,47,58,0.4356,0.1056,0.1188,0.0918,0.2482,1.8,0.3,0,0.4,0,0.222,0.000,2.3,7.3,13.3
Fourth Week of December,17,20,29,38,35,46,57,0.4356,0.1056,0.1188,0.0918,0.2482,1.8,0.3,0,0.4,0,0.222,0.000,2.3,7.3,13.3
December/January Transition,18,20,28,36,36,46,56,0.429,0.104,0.117,0.0945,0.2555,1.5,0.3,0,0.2,0,0.133,0.000,2.5,7.5,13.5
First Week of January,19,19,28,37,35,46,57,0.429,0.104,0.117,0.0945,0.2555,1.5,0.3,0,0.2,0,0.133,0.000,2.5,7.5,13.5
Second Week of January,20,20,29,38,38,48,58,0.429,0.104,0.117,0.0945,0.2555,1.5,0.3,0,0.2,0,0.133,0.000,2.5,7.5,13.5
Third Week of January,21,20,29,38,38,48,58,0.429,0.104,0.117,0.0945,0.2555,1.5,0.3,0,0.2,0,0.133,0.000,2.5,7.5,13.5
January/February Transition,22,21,30,39,38,49,60,0.4092,0.0992,0.1116,0.1026,0.2774,1.4,0.3,0,0.2,0,0.143,0.000,3.4,8.4,14.4
First Week of February,23,22,31,40,41,51,61,0.4092,0.0992,0.1116,0.1026,0.2774,1.4,0.3,0,0.2,0,0.143,0.000,3.4,8.4,14.4
Second Week of February,24,23,32,41,41,52,63,0.4092,0.0992,0.1116,0.1026,0.2774,1.4,0.3,0,0.2,0,0.143,0.000,3.4,8.4,14.4
Third Week of Februrary,25,24,33,42,43,54,65,0.4092,0.0992,0.1116,0.1026,0.2774,1.4,0.3,0,0.2,0,0.143,0.000,3.4,8.4,14.4
