Reference Location:,"Reno, NV",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,46,54,62,79,86,93,0.5742,0.1392,0.1566,0.0351,0.0949,0.8,0,0,0.1,0,0.125,0.000,0.6,5.6,10.6
First Week of September,1,44,52,60,76,84,92,0.5478,0.1328,0.1494,0.0459,0.1241,1.8,0,0,0.3,0,0.167,0.000,0.6,5.6,10.6
Second Week of September,2,42,50,58,74,82,90,0.5478,0.1328,0.1494,0.0459,0.1241,1.8,0,0,0.3,0,0.167,0.000,0.6,5.6,10.6
Third Week of September,3,40,48,56,69,79,89,0.5478,0.1328,0.1494,0.0459,0.1241,1.8,0,0,0.3,0,0.167,0.000,0.6,5.6,10.6
Fourth Week of September,4,38,46,54,65,76,87,0.5478,0.1328,0.1494,0.0459,0.1241,1.8,0,0,0.3,0,0.167,0.000,0.6,5.6,10.6
September/October Transition,5,35,44,53,63,74,85,0.5478,0.1328,0.1494,0.0459,0.1241,1.8,0,0,0.3,0,0.167,0.000,0.6,5.6,10.6
First Week of October,6,33,42,51,59,71,83,0.462,0.112,0.126,0.081,0.219,3.5,0.1,0,0.9,0.1,0.257,0.000,0.6,5.6,10.6
Second Week of October,7,31,40,49,56,68,80,0.462,0.112,0.126,0.081,0.219,3.5,0.1,0,0.9,0.1,0.257,0.000,0.6,5.6,10.6
Third Week of October,8,29,38,47,54,65,76,0.462,0.112,0.126,0.081,0.219,3.5,0.1,0,0.9,0.1,0.257,0.000,0.6,5.6,10.6
October/November Transition,9,27,36,45,51,62,73,0.462,0.112,0.126,0.081,0.219,3.5,0.1,0,0.9,0.1,0.257,0.000,0.6,5.6,10.6
First Week of November,10,25,34,43,46,58,70,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0.9,0.3,1.7,1.1,0.362,3.667,0.5,6.1,12.1
Second Week of November,11,23,33,43,43,55,67,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0.9,0.3,1.7,1.1,0.362,3.667,0.5,6.1,12.1
Third Week of November,12,21,31,41,40,52,64,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0.9,0.3,1.7,1.1,0.362,3.667,0.5,6.1,12.1
Fourth Week of November,13,20,30,40,37,49,61,0.3696,0.0896,0.1008,0.1188,0.3212,4.7,0.9,0.3,1.7,1.1,0.362,3.667,0.5,6.1,12.1
First Week of December,14,18,29,40,36,47,58,0.3366,0.0816,0.0918,0.1323,0.3577,4.5,1.8,0.6,2,3.3,0.444,5.500,0.5,6.1,12.1
Second Week of December,15,16,27,38,34,45,56,0.3366,0.0816,0.0918,0.1323,0.3577,4.5,1.8,0.6,2,3.3,0.444,5.500,0.5,6.1,12.1
Third Week of December,16,15,27,39,32,43,54,0.3366,0.0816,0.0918,0.1323,0.3577,4.5,1.8,0.6,2,3.3,0.444,5.500,0.5,6.1,12.1
Fourth Week of December,17,14,26,38,31,42,53,0.3366,0.0816,0.0918,0.1323,0.3577,4.5,1.8,0.6,2,3.3,0.444,5.500,0.5,6.1,12.1
December/January Transition,18,14,25,36,29,41,53,0.33,0.08,0.09,0.135,0.365,4.4,1.7,0.8,1.8,3.5,0.409,4.375,0.5,5.9,11.9
First Week of January,19,13,25,37,31,42,53,0.33,0.08,0.09,0.135,0.365,4.4,1.7,0.8,1.8,3.5,0.409,4.375,0.5,5.9,11.9
Second Week of January,20,14,26,38,32,43,54,0.33,0.08,0.09,0.135,0.365,4.4,1.7,0.8,1.8,3.5,0.409,4.375,0.5,5.9,11.9
Third Week of January,21,15,26,37,33,44,55,0.33,0.08,0.09,0.135,0.365,4.4,1.7,0.8,1.8,3.5,0.409,4.375,0.5,5.9,11.9
January/February Transition,22,16,27,38,34,45,56,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.5,0.5,2.2,2.7,0.423,5.400,0.5,6.5,12.5
First Week of February,23,18,28,38,34,46,58,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.5,0.5,2.2,2.7,0.423,5.400,0.5,6.5,12.5
Second Week of February,24,19,28,37,35,47,59,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.5,0.5,2.2,2.7,0.423,5.400,0.5,6.5,12.5
Third Week of Februrary,25,19,29,39,35,48,61,0.3234,0.0784,0.0882,0.1377,0.3723,5.2,1.5,0.5,2.2,2.7,0.423,5.400,0.5,6.5,12.5
