Reference Location:,"Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,71,78,85,92,99,106,0.5478,0.1328,0.1494,0.0459,0.1241,2.7,0,0,0.5,0,0.185,0.000,2.2,7.2,12.2
First Week of September,1,69,76,83,90,97,104,0.5742,0.1392,0.1566,0.0351,0.0949,1.8,0,0,0.3,0,0.167,0.000,2.1,7.1,12.1
Second Week of September,2,66,74,82,89,96,103,0.5742,0.1392,0.1566,0.0351,0.0949,1.8,0,0,0.3,0,0.167,0.000,2.1,7.1,12.1
Third Week of September,3,64,71,78,85,93,101,0.5742,0.1392,0.1566,0.0351,0.0949,1.8,0,0,0.3,0,0.167,0.000,2.1,7.1,12.1
Fourth Week of September,4,61,69,77,83,91,99,0.5742,0.1392,0.1566,0.0351,0.0949,1.8,0,0,0.3,0,0.167,0.000,2.1,7.1,12.1
September/October Transition,5,58,66,74,79,88,97,0.5742,0.1392,0.1566,0.0351,0.0949,1.8,0,0,0.3,0,0.167,0.000,2.1,7.1,12.1
First Week of October,6,55,63,71,76,85,94,0.5214,0.1264,0.1422,0.0567,0.1533,1.4,0,0,0.3,0,0.214,0.000,2.1,7.1,12.1
Second Week of October,7,52,60,68,73,82,91,0.5214,0.1264,0.1422,0.0567,0.1533,1.4,0,0,0.3,0,0.214,0.000,2.1,7.1,12.1
Third Week of October,8,50,57,64,68,78,88,0.5214,0.1264,0.1422,0.0567,0.1533,1.4,0,0,0.3,0,0.214,0.000,2.1,7.1,12.1
October/November Transition,9,47,55,63,65,75,85,0.5214,0.1264,0.1422,0.0567,0.1533,1.4,0,0,0.3,0,0.214,0.000,2.1,7.1,12.1
First Week of November,10,44,52,60,63,72,81,0.4686,0.1136,0.1278,0.0783,0.2117,1.4,0,0,0.3,0,0.214,0.000,2.3,7.3,13.3
Second Week of November,11,41,49,57,60,69,78,0.4686,0.1136,0.1278,0.0783,0.2117,1.4,0,0,0.3,0,0.214,0.000,2.3,7.3,13.3
Third Week of November,12,38,47,56,57,66,75,0.4686,0.1136,0.1278,0.0783,0.2117,1.4,0,0,0.3,0,0.214,0.000,2.3,7.3,13.3
Fourth Week of November,13,36,44,52,53,62,71,0.4686,0.1136,0.1278,0.0783,0.2117,1.4,0,0,0.3,0,0.214,0.000,2.3,7.3,13.3
First Week of December,14,34,42,50,52,60,68,0.429,0.104,0.117,0.0945,0.2555,2.2,0,0,0.5,0,0.227,0.000,2.6,7.6,13.6
Second Week of December,15,33,41,49,50,58,66,0.429,0.104,0.117,0.0945,0.2555,2.2,0,0,0.5,0,0.227,0.000,2.6,7.6,13.6
Third Week of December,16,31,39,47,47,56,65,0.429,0.104,0.117,0.0945,0.2555,2.2,0,0,0.5,0,0.227,0.000,2.6,7.6,13.6
Fourth Week of December,17,31,39,47,48,56,64,0.429,0.104,0.117,0.0945,0.2555,2.2,0,0,0.5,0,0.227,0.000,2.6,7.6,13.6
December/January Transition,18,31,39,47,46,55,64,0.4224,0.1024,0.1152,0.0972,0.2628,2.6,0,0,0.6,0,0.231,0.000,2.6,7.6,13.6
First Week of January,19,31,39,47,47,56,65,0.4224,0.1024,0.1152,0.0972,0.2628,2.6,0,0,0.6,0,0.231,0.000,2.6,7.6,13.6
Second Week of January,20,32,40,48,48,57,66,0.4224,0.1024,0.1152,0.0972,0.2628,2.6,0,0,0.6,0,0.231,0.000,2.6,7.6,13.6
Third Week of January,21,32,40,48,50,58,66,0.4224,0.1024,0.1152,0.0972,0.2628,2.6,0,0,0.6,0,0.231,0.000,2.6,7.6,13.6
January/February Transition,22,33,41,49,50,59,68,0.4026,0.0976,0.1098,0.1053,0.2847,3.2,0,0,0.8,0,0.250,0.000,2.8,7.8,13.8
First Week of February,23,34,42,50,51,60,69,0.4026,0.0976,0.1098,0.1053,0.2847,3.2,0,0,0.8,0,0.250,0.000,2.8,7.8,13.8
Second Week of February,24,35,43,51,51,61,71,0.4026,0.0976,0.1098,0.1053,0.2847,3.2,0,0,0.8,0,0.250,0.000,2.8,7.8,13.8
Third Week of Februrary,25,36,44,52,51,62,73,0.4026,0.0976,0.1098,0.1053,0.2847,3.2,0,0,0.8,0,0.250,0.000,2.8,7.8,13.8
