Reference Location:,"Ticonderoga, NY",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,48,58,68,67,76,85,0.4158,0.1008,0.1134,0.0999,0.2701,11.1,0,0,3.3,0,0.297,0.000,0.5,3.5,8.5
First Week of September,1,46,57,68,65,74,83,0.4026,0.0976,0.1098,0.1053,0.2847,9.3,0,0,3.3,0,0.355,0.000,0.5,3.9,8.9
Second Week of September,2,44,55,66,62,72,82,0.4026,0.0976,0.1098,0.1053,0.2847,9.3,0,0,3.3,0,0.355,0.000,0.5,3.9,8.9
Third Week of September,3,41,53,65,60,70,80,0.4026,0.0976,0.1098,0.1053,0.2847,9.3,0,0,3.3,0,0.355,0.000,0.5,3.9,8.9
Fourth Week of September,4,39,51,63,56,67,78,0.4026,0.0976,0.1098,0.1053,0.2847,9.3,0,0,3.3,0,0.355,0.000,0.5,3.9,8.9
September/October Transition,5,36,48,60,53,64,75,0.4026,0.0976,0.1098,0.1053,0.2847,9.3,0,0,3.3,0,0.355,0.000,0.5,3.9,8.9
First Week of October,6,34,46,58,50,61,72,0.3498,0.0848,0.0954,0.1269,0.3431,8.8,0.1,0,3.3,0.1,0.375,0.000,0.5,4.4,9.4
Second Week of October,7,32,44,56,46,58,70,0.3498,0.0848,0.0954,0.1269,0.3431,8.8,0.1,0,3.3,0.1,0.375,0.000,0.5,4.4,9.4
Third Week of October,8,30,42,54,43,55,67,0.3498,0.0848,0.0954,0.1269,0.3431,8.8,0.1,0,3.3,0.1,0.375,0.000,0.5,4.4,9.4
October/November Transition,9,28,40,52,40,52,64,0.3498,0.0848,0.0954,0.1269,0.3431,8.8,0.1,0,3.3,0.1,0.375,0.000,0.5,4.4,9.4
First Week of November,10,26,38,50,36,49,62,0.3036,0.0736,0.0828,0.1458,0.3942,6.4,0.9,0.7,2.6,2.4,0.406,3.429,0.5,4.9,10.9
Second Week of November,11,24,36,48,32,46,60,0.3036,0.0736,0.0828,0.1458,0.3942,6.4,0.9,0.7,2.6,2.4,0.406,3.429,0.5,4.9,10.9
Third Week of November,12,22,34,46,31,44,57,0.3036,0.0736,0.0828,0.1458,0.3942,6.4,0.9,0.7,2.6,2.4,0.406,3.429,0.5,4.9,10.9
Fourth Week of November,13,19,32,45,26,40,54,0.3036,0.0736,0.0828,0.1458,0.3942,6.4,0.9,0.7,2.6,2.4,0.406,3.429,0.5,4.9,10.9
First Week of December,14,15,30,45,23,37,51,0.2706,0.0656,0.0738,0.1593,0.4307,4.2,1.6,2.4,1.7,8.4,0.405,3.500,0.5,5.4,11.4
Second Week of December,15,11,27,43,22,35,48,0.2706,0.0656,0.0738,0.1593,0.4307,4.2,1.6,2.4,1.7,8.4,0.405,3.500,0.5,5.4,11.4
Third Week of December,16,8,25,42,19,32,45,0.2706,0.0656,0.0738,0.1593,0.4307,4.2,1.6,2.4,1.7,8.4,0.405,3.500,0.5,5.4,11.4
Fourth Week of December,17,5,23,41,17,30,43,0.2706,0.0656,0.0738,0.1593,0.4307,4.2,1.6,2.4,1.7,8.4,0.405,3.500,0.5,5.4,11.4
December/January Transition,18,3,21,39,16,29,42,0.2706,0.0656,0.0738,0.1593,0.4307,2.5,1.5,2.8,1.1,9.5,0.440,3.393,0.5,6.1,12.1
First Week of January,19,0,20,40,15,28,41,0.2706,0.0656,0.0738,0.1593,0.4307,2.5,1.5,2.8,1.1,9.5,0.440,3.393,0.5,6.1,12.1
Second Week of January,20,-3,18,39,11,26,41,0.2706,0.0656,0.0738,0.1593,0.4307,2.5,1.5,2.8,1.1,9.5,0.440,3.393,0.5,6.1,12.1
Third Week of January,21,-4,17,38,11,26,41,0.2706,0.0656,0.0738,0.1593,0.4307,2.5,1.5,2.8,1.1,9.5,0.440,3.393,0.5,6.1,12.1
January/February Transition,22,-4,16,36,11,26,41,0.2772,0.0672,0.0756,0.1566,0.4234,2.2,1.5,2.1,1.1,9.7,0.500,4.619,0.5,6.4,12.4
First Week of February,23,-4,16,36,13,27,41,0.2772,0.0672,0.0756,0.1566,0.4234,2.2,1.5,2.1,1.1,9.7,0.500,4.619,0.5,6.4,12.4
Second Week of February,24,-1,17,35,16,29,42,0.2772,0.0672,0.0756,0.1566,0.4234,2.2,1.5,2.1,1.1,9.7,0.500,4.619,0.5,6.4,12.4
Third Week of Februrary,25,0,18,36,17,30,43,0.2772,0.0672,0.0756,0.1566,0.4234,2.2,1.5,2.1,1.1,9.7,0.500,4.619,0.5,6.4,12.4
