Reference Location:,"New York City, NY",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,61,69,77,72,80,88,0.4158,0.1008,0.1134,0.0999,0.2701,9.7,0,0,3.6,0,0.371,0.000,1.4,6.4,11.4
First Week of September,1,60,67,74,71,79,87,0.4158,0.1008,0.1134,0.0999,0.2701,7.8,0,0,3.5,0,0.449,0.000,2.3,7.3,12.3
Second Week of September,2,57,66,75,68,77,86,0.4158,0.1008,0.1134,0.0999,0.2701,7.8,0,0,3.5,0,0.449,0.000,2.3,7.3,12.3
Third Week of September,3,55,64,73,67,75,83,0.4158,0.1008,0.1134,0.0999,0.2701,7.8,0,0,3.5,0,0.449,0.000,2.3,7.3,12.3
Fourth Week of September,4,52,61,70,62,72,82,0.4158,0.1008,0.1134,0.0999,0.2701,7.8,0,0,3.5,0,0.449,0.000,2.3,7.3,12.3
September/October Transition,5,49,59,69,61,70,79,0.4158,0.1008,0.1134,0.0999,0.2701,7.8,0,0,3.5,0,0.449,0.000,2.3,7.3,12.3
First Week of October,6,47,56,65,57,67,77,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.5,0,0.473,0.000,3.4,8.4,13.4
Second Week of October,7,44,54,64,54,64,74,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.5,0,0.473,0.000,3.4,8.4,13.4
Third Week of October,8,42,52,62,52,62,72,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.5,0,0.473,0.000,3.4,8.4,13.4
October/November Transition,9,40,49,58,48,59,70,0.4092,0.0992,0.1116,0.1026,0.2774,7.4,0,0,3.5,0,0.473,0.000,3.4,8.4,13.4
First Week of November,10,38,47,56,47,57,67,0.3564,0.0864,0.0972,0.1242,0.3358,7.2,0.2,0,3.4,0.4,0.472,0.000,4.2,9.2,15.2
Second Week of November,11,35,45,55,43,54,65,0.3564,0.0864,0.0972,0.1242,0.3358,7.2,0.2,0,3.4,0.4,0.472,0.000,4.2,9.2,15.2
Third Week of November,12,33,44,55,41,52,63,0.3564,0.0864,0.0972,0.1242,0.3358,7.2,0.2,0,3.4,0.4,0.472,0.000,4.2,9.2,15.2
Fourth Week of November,13,31,42,53,37,49,61,0.3564,0.0864,0.0972,0.1242,0.3358,7.2,0.2,0,3.4,0.4,0.472,0.000,4.2,9.2,15.2
First Week of December,14,28,40,52,36,47,58,0.3234,0.0784,0.0882,0.1377,0.3723,6.7,0.9,0.5,3.3,3,0.493,6.000,4.7,9.7,15.7
Second Week of December,15,26,38,50,33,45,57,0.3234,0.0784,0.0882,0.1377,0.3723,6.7,0.9,0.5,3.3,3,0.493,6.000,4.7,9.7,15.7
Third Week of December,16,23,36,49,29,42,55,0.3234,0.0784,0.0882,0.1377,0.3723,6.7,0.9,0.5,3.3,3,0.493,6.000,4.7,9.7,15.7
Fourth Week of December,17,21,34,47,29,41,53,0.3234,0.0784,0.0882,0.1377,0.3723,6.7,0.9,0.5,3.3,3,0.493,6.000,4.7,9.7,15.7
December/January Transition,18,20,33,46,28,40,52,0.3168,0.0768,0.0864,0.1404,0.3796,4.8,1.3,1.2,2.3,6.1,0.479,5.083,5.1,10.1,16.1
First Week of January,19,18,32,46,25,38,51,0.3168,0.0768,0.0864,0.1404,0.3796,4.8,1.3,1.2,2.3,6.1,0.479,5.083,5.1,10.1,16.1
Second Week of January,20,16,30,44,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,4.8,1.3,1.2,2.3,6.1,0.479,5.083,5.1,10.1,16.1
Third Week of January,21,15,30,45,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,4.8,1.3,1.2,2.3,6.1,0.479,5.083,5.1,10.1,16.1
January/February Transition,22,15,29,43,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,4.5,1.4,0.8,2.2,6.1,0.489,7.625,5.2,10.2,16.2
First Week of February,23,16,29,42,24,37,50,0.3168,0.0768,0.0864,0.1404,0.3796,4.5,1.4,0.8,2.2,6.1,0.489,7.625,5.2,10.2,16.2
Second Week of February,24,18,31,44,26,39,52,0.3168,0.0768,0.0864,0.1404,0.3796,4.5,1.4,0.8,2.2,6.1,0.489,7.625,5.2,10.2,16.2
Third Week of Februrary,25,19,31,43,27,40,53,0.3168,0.0768,0.0864,0.1404,0.3796,4.5,1.4,0.8,2.2,6.1,0.489,7.625,5.2,10.2,16.2
