Reference Location:,"Cleveland, OH",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,59,67,75,69,77,85,0.4356,0.1056,0.1188,0.0918,0.2482,9.7,0,0,2.7,0,0.278,0.000,2.7,7.7,12.7
First Week of September,1,57,66,75,68,76,84,0.4224,0.1024,0.1152,0.0972,0.2628,9.3,0,0,2.9,0,0.312,0.000,4,9,14
Second Week of September,2,55,64,73,64,74,84,0.4224,0.1024,0.1152,0.0972,0.2628,9.3,0,0,2.9,0,0.312,0.000,4,9,14
Third Week of September,3,53,62,71,62,72,82,0.4224,0.1024,0.1152,0.0972,0.2628,9.3,0,0,2.9,0,0.312,0.000,4,9,14
Fourth Week of September,4,50,60,70,58,69,80,0.4224,0.1024,0.1152,0.0972,0.2628,9.3,0,0,2.9,0,0.312,0.000,4,9,14
September/October Transition,5,47,57,67,54,66,78,0.4224,0.1024,0.1152,0.0972,0.2628,9.3,0,0,2.9,0,0.312,0.000,4,9,14
First Week of October,6,45,55,65,52,64,76,0.3762,0.0912,0.1026,0.1161,0.3139,9.2,0,0,2.5,0,0.272,0.000,5.9,10.9,15.9
Second Week of October,7,43,52,61,48,61,74,0.3762,0.0912,0.1026,0.1161,0.3139,9.2,0,0,2.5,0,0.272,0.000,5.9,10.9,15.9
Third Week of October,8,40,50,60,46,59,72,0.3762,0.0912,0.1026,0.1161,0.3139,9.2,0,0,2.5,0,0.272,0.000,5.9,10.9,15.9
October/November Transition,9,38,48,58,42,56,70,0.3762,0.0912,0.1026,0.1161,0.3139,9.2,0,0,2.5,0,0.272,0.000,5.9,10.9,15.9
First Week of November,10,35,46,57,39,53,67,0.3036,0.0736,0.0828,0.1458,0.3942,7.7,0.2,0.2,2.3,0.3,0.299,1.500,7.3,12.3,18.3
Second Week of November,11,32,44,56,36,50,64,0.3036,0.0736,0.0828,0.1458,0.3942,7.7,0.2,0.2,2.3,0.3,0.299,1.500,7.3,12.3,18.3
Third Week of November,12,30,42,54,34,48,62,0.3036,0.0736,0.0828,0.1458,0.3942,7.7,0.2,0.2,2.3,0.3,0.299,1.500,7.3,12.3,18.3
Fourth Week of November,13,28,39,50,31,45,59,0.3036,0.0736,0.0828,0.1458,0.3942,7.7,0.2,0.2,2.3,0.3,0.299,1.500,7.3,12.3,18.3
First Week of December,14,25,37,49,28,42,56,0.2244,0.0544,0.0612,0.1782,0.4818,5.8,0.8,1,1.8,1.8,0.310,1.800,8,13,19
Second Week of December,15,22,35,48,24,39,54,0.2244,0.0544,0.0612,0.1782,0.4818,5.8,0.8,1,1.8,1.8,0.310,1.800,8,13,19
Third Week of December,16,19,33,47,23,37,51,0.2244,0.0544,0.0612,0.1782,0.4818,5.8,0.8,1,1.8,1.8,0.310,1.800,8,13,19
Fourth Week of December,17,17,31,45,21,35,49,0.2244,0.0544,0.0612,0.1782,0.4818,5.8,0.8,1,1.8,1.8,0.310,1.800,8,13,19
December/January Transition,18,15,30,45,20,34,48,0.198,0.048,0.054,0.189,0.511,3.8,0.9,1.4,1.2,2.8,0.316,2.000,8.2,13.2,19.2
First Week of January,19,13,29,45,17,32,47,0.198,0.048,0.054,0.189,0.511,3.8,0.9,1.4,1.2,2.8,0.316,2.000,8.2,13.2,19.2
Second Week of January,20,12,28,44,18,32,46,0.198,0.048,0.054,0.189,0.511,3.8,0.9,1.4,1.2,2.8,0.316,2.000,8.2,13.2,19.2
Third Week of January,21,10,27,44,16,31,46,0.198,0.048,0.054,0.189,0.511,3.8,0.9,1.4,1.2,2.8,0.316,2.000,8.2,13.2,19.2
January/February Transition,22,9,26,43,16,31,46,0.231,0.056,0.063,0.1755,0.4745,3.3,1.2,1.1,1.1,3.5,0.333,3.182,7.2,12.2,18.2
First Week of February,23,10,26,42,17,31,45,0.231,0.056,0.063,0.1755,0.4745,3.3,1.2,1.1,1.1,3.5,0.333,3.182,7.2,12.2,18.2
Second Week of February,24,12,27,42,17,32,47,0.231,0.056,0.063,0.1755,0.4745,3.3,1.2,1.1,1.1,3.5,0.333,3.182,7.2,12.2,18.2
Third Week of Februrary,25,12,28,44,18,33,48,0.231,0.056,0.063,0.1755,0.4745,3.3,1.2,1.1,1.1,3.5,0.333,3.182,7.2,12.2,18.2
