Reference Location:,"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,56,64,72,75,83,91,0.4422,0.1072,0.1206,0.0891,0.2409,9.5,0,0,2.6,0,0.274,0.000,0.5,4.7,9.7
First Week of September,1,54,63,72,74,82,90,0.4422,0.1072,0.1206,0.0891,0.2409,7.5,0,0,2.5,0,0.333,0.000,0.5,5.4,10.4
Second Week of September,2,52,61,70,71,80,89,0.4422,0.1072,0.1206,0.0891,0.2409,7.5,0,0,2.5,0,0.333,0.000,0.5,5.4,10.4
Third Week of September,3,49,59,69,67,77,87,0.4422,0.1072,0.1206,0.0891,0.2409,7.5,0,0,2.5,0,0.333,0.000,0.5,5.4,10.4
Fourth Week of September,4,45,56,67,65,75,85,0.4422,0.1072,0.1206,0.0891,0.2409,7.5,0,0,2.5,0,0.333,0.000,0.5,5.4,10.4
September/October Transition,5,42,53,64,61,72,83,0.4422,0.1072,0.1206,0.0891,0.2409,7.5,0,0,2.5,0,0.333,0.000,0.5,5.4,10.4
First Week of October,6,39,51,63,57,69,81,0.396,0.096,0.108,0.108,0.292,7.2,0,0,2.7,0,0.375,0.000,1.2,6.2,11.2
Second Week of October,7,36,48,60,54,66,78,0.396,0.096,0.108,0.108,0.292,7.2,0,0,2.7,0,0.375,0.000,1.2,6.2,11.2
Third Week of October,8,34,46,58,51,64,77,0.396,0.096,0.108,0.108,0.292,7.2,0,0,2.7,0,0.375,0.000,1.2,6.2,11.2
October/November Transition,9,32,44,56,48,61,74,0.396,0.096,0.108,0.108,0.292,7.2,0,0,2.7,0,0.375,0.000,1.2,6.2,11.2
First Week of November,10,30,42,54,43,57,71,0.33,0.08,0.09,0.135,0.365,7.2,0.3,0.1,2.8,0.3,0.389,3.000,2,7,13
Second Week of November,11,28,40,52,41,55,69,0.33,0.08,0.09,0.135,0.365,7.2,0.3,0.1,2.8,0.3,0.389,3.000,2,7,13
Third Week of November,12,26,39,52,37,52,67,0.33,0.08,0.09,0.135,0.365,7.2,0.3,0.1,2.8,0.3,0.389,3.000,2,7,13
Fourth Week of November,13,24,37,50,34,49,64,0.33,0.08,0.09,0.135,0.365,7.2,0.3,0.1,2.8,0.3,0.389,3.000,2,7,13
First Week of December,14,22,36,50,31,46,61,0.2772,0.0672,0.0756,0.1566,0.4234,6.5,0.9,0.5,2.8,1.9,0.431,3.800,2.4,7.4,13.4
Second Week of December,15,19,34,49,27,43,59,0.2772,0.0672,0.0756,0.1566,0.4234,6.5,0.9,0.5,2.8,1.9,0.431,3.800,2.4,7.4,13.4
Third Week of December,16,17,32,47,26,41,56,0.2772,0.0672,0.0756,0.1566,0.4234,6.5,0.9,0.5,2.8,1.9,0.431,3.800,2.4,7.4,13.4
Fourth Week of December,17,15,31,47,23,39,55,0.2772,0.0672,0.0756,0.1566,0.4234,6.5,0.9,0.5,2.8,1.9,0.431,3.800,2.4,7.4,13.4
December/January Transition,18,13,30,47,22,38,54,0.264,0.064,0.072,0.162,0.438,5.2,0.9,1,2,2.9,0.385,2.900,3,8,14
First Week of January,19,12,29,46,21,37,53,0.264,0.064,0.072,0.162,0.438,5.2,0.9,1,2,2.9,0.385,2.900,3,8,14
Second Week of January,20,11,28,45,22,37,52,0.264,0.064,0.072,0.162,0.438,5.2,0.9,1,2,2.9,0.385,2.900,3,8,14
Third Week of January,21,10,27,44,19,36,53,0.264,0.064,0.072,0.162,0.438,5.2,0.9,1,2,2.9,0.385,2.900,3,8,14
January/February Transition,22,10,27,44,21,37,53,0.2772,0.0672,0.0756,0.1566,0.4234,4.8,1.1,0.9,2.1,3.2,0.438,3.556,3,8,14
First Week of February,23,10,27,44,20,37,54,0.2772,0.0672,0.0756,0.1566,0.4234,4.8,1.1,0.9,2.1,3.2,0.438,3.556,3,8,14
Second Week of February,24,13,28,43,23,40,57,0.2772,0.0672,0.0756,0.1566,0.4234,4.8,1.1,0.9,2.1,3.2,0.438,3.556,3,8,14
Third Week of Februrary,25,14,29,44,24,41,58,0.2772,0.0672,0.0756,0.1566,0.4234,4.8,1.1,0.9,2.1,3.2,0.438,3.556,3,8,14
