Reference Location:,"Oklahoma City, OK",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,65,72,79,81,90,99,0.462,0.112,0.126,0.081,0.219,7.6,0,0,2.6,0,0.342,0.000,4.1,9.1,14.1
First Week of September,1,62,70,78,78,88,98,0.462,0.112,0.126,0.081,0.219,8,0,0,3.1,0,0.388,0.000,5,10,15
Second Week of September,2,60,68,76,76,86,96,0.462,0.112,0.126,0.081,0.219,8,0,0,3.1,0,0.388,0.000,5,10,15
Third Week of September,3,56,66,76,72,83,94,0.462,0.112,0.126,0.081,0.219,8,0,0,3.1,0,0.388,0.000,5,10,15
Fourth Week of September,4,53,63,73,69,80,91,0.462,0.112,0.126,0.081,0.219,8,0,0,3.1,0,0.388,0.000,5,10,15
September/October Transition,5,50,60,70,65,77,89,0.462,0.112,0.126,0.081,0.219,8,0,0,3.1,0,0.388,0.000,5,10,15
First Week of October,6,47,57,67,63,75,87,0.462,0.112,0.126,0.081,0.219,6.5,0,0,2.9,0,0.446,0.000,6,11,16
Second Week of October,7,45,55,65,62,73,84,0.462,0.112,0.126,0.081,0.219,6.5,0,0,2.9,0,0.446,0.000,6,11,16
Third Week of October,8,42,53,64,58,70,82,0.462,0.112,0.126,0.081,0.219,6.5,0,0,2.9,0,0.446,0.000,6,11,16
October/November Transition,9,39,51,63,54,67,80,0.462,0.112,0.126,0.081,0.219,6.5,0,0,2.9,0,0.446,0.000,6,11,16
First Week of November,10,36,48,60,50,64,78,0.4092,0.0992,0.1116,0.1026,0.2774,4.6,0.2,0.2,2,0.5,0.435,2.500,6.4,11.4,17.4
Second Week of November,11,33,46,59,48,62,76,0.4092,0.0992,0.1116,0.1026,0.2774,4.6,0.2,0.2,2,0.5,0.435,2.500,6.4,11.4,17.4
Third Week of November,12,31,43,55,45,59,73,0.4092,0.0992,0.1116,0.1026,0.2774,4.6,0.2,0.2,2,0.5,0.435,2.500,6.4,11.4,17.4
Fourth Week of November,13,28,41,54,41,56,71,0.4092,0.0992,0.1116,0.1026,0.2774,4.6,0.2,0.2,2,0.5,0.435,2.500,6.4,11.4,17.4
First Week of December,14,26,38,50,38,53,68,0.3828,0.0928,0.1044,0.1134,0.3066,2.9,0.5,0.4,1.3,1.8,0.448,4.500,6,11,17
Second Week of December,15,23,36,49,34,50,66,0.3828,0.0928,0.1044,0.1134,0.3066,2.9,0.5,0.4,1.3,1.8,0.448,4.500,6,11,17
Third Week of December,16,21,34,47,32,48,64,0.3828,0.0928,0.1044,0.1134,0.3066,2.9,0.5,0.4,1.3,1.8,0.448,4.500,6,11,17
Fourth Week of December,17,19,33,47,30,47,64,0.3828,0.0928,0.1044,0.1134,0.3066,2.9,0.5,0.4,1.3,1.8,0.448,4.500,6,11,17
December/January Transition,18,18,32,46,29,46,63,0.3828,0.0928,0.1044,0.1134,0.3066,2.2,0.5,0.6,0.9,2.1,0.409,3.500,6.1,11.1,17.1
First Week of January,19,18,32,46,29,46,63,0.3828,0.0928,0.1044,0.1134,0.3066,2.2,0.5,0.6,0.9,2.1,0.409,3.500,6.1,11.1,17.1
Second Week of January,20,19,32,45,30,47,64,0.3828,0.0928,0.1044,0.1134,0.3066,2.2,0.5,0.6,0.9,2.1,0.409,3.500,6.1,11.1,17.1
Third Week of January,21,18,32,46,30,47,64,0.3828,0.0928,0.1044,0.1134,0.3066,2.2,0.5,0.6,0.9,2.1,0.409,3.500,6.1,11.1,17.1
January/February Transition,22,18,32,46,31,48,65,0.363,0.088,0.099,0.1215,0.3285,3.3,0.4,0.3,1.5,1.4,0.455,4.667,6.6,11.6,17.6
First Week of February,23,19,33,47,32,49,66,0.363,0.088,0.099,0.1215,0.3285,3.3,0.4,0.3,1.5,1.4,0.455,4.667,6.6,11.6,17.6
Second Week of February,24,21,35,49,32,50,68,0.363,0.088,0.099,0.1215,0.3285,3.3,0.4,0.3,1.5,1.4,0.455,4.667,6.6,11.6,17.6
Third Week of Februrary,25,22,36,50,34,52,70,0.363,0.088,0.099,0.1215,0.3285,3.3,0.4,0.3,1.5,1.4,0.455,4.667,6.6,11.6,17.6
