Reference Location:,"Scranton, PA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,51,61,71,68,77,86,0.4092,0.0992,0.1116,0.1026,0.2774,10.3,0,0,3.3,0,0.320,0.000,0.5,3.6,8.6
First Week of September,1,49,60,71,67,76,85,0.4092,0.0992,0.1116,0.1026,0.2774,8.5,0,0,3.6,0,0.424,0.000,0.5,4,9
Second Week of September,2,47,58,69,65,74,83,0.4092,0.0992,0.1116,0.1026,0.2774,8.5,0,0,3.6,0,0.424,0.000,0.5,4,9
Third Week of September,3,45,56,67,61,71,81,0.4092,0.0992,0.1116,0.1026,0.2774,8.5,0,0,3.6,0,0.424,0.000,0.5,4,9
Fourth Week of September,4,43,54,65,59,69,79,0.4092,0.0992,0.1116,0.1026,0.2774,8.5,0,0,3.6,0,0.424,0.000,0.5,4,9
September/October Transition,5,40,51,62,55,66,77,0.4092,0.0992,0.1116,0.1026,0.2774,8.5,0,0,3.6,0,0.424,0.000,0.5,4,9
First Week of October,6,37,49,61,51,63,75,0.3762,0.0912,0.1026,0.1161,0.3139,7.6,0.1,0,3.4,0.1,0.447,0.000,0.5,4.6,9.6
Second Week of October,7,35,47,59,47,60,73,0.3762,0.0912,0.1026,0.1161,0.3139,7.6,0.1,0,3.4,0.1,0.447,0.000,0.5,4.6,9.6
Third Week of October,8,33,45,57,45,58,71,0.3762,0.0912,0.1026,0.1161,0.3139,7.6,0.1,0,3.4,0.1,0.447,0.000,0.5,4.6,9.6
October/November Transition,9,32,43,54,42,55,68,0.3762,0.0912,0.1026,0.1161,0.3139,7.6,0.1,0,3.4,0.1,0.447,0.000,0.5,4.6,9.6
First Week of November,10,30,41,52,39,52,65,0.3102,0.0752,0.0846,0.1431,0.3869,6.2,0.7,0.3,2.9,1.5,0.468,5.000,0.5,5.3,11.3
Second Week of November,11,27,39,51,35,49,63,0.3102,0.0752,0.0846,0.1431,0.3869,6.2,0.7,0.3,2.9,1.5,0.468,5.000,0.5,5.3,11.3
Third Week of November,12,26,38,50,34,47,60,0.3102,0.0752,0.0846,0.1431,0.3869,6.2,0.7,0.3,2.9,1.5,0.468,5.000,0.5,5.3,11.3
Fourth Week of November,13,23,35,47,30,44,58,0.3102,0.0752,0.0846,0.1431,0.3869,6.2,0.7,0.3,2.9,1.5,0.468,5.000,0.5,5.3,11.3
First Week of December,14,20,33,46,27,41,55,0.264,0.064,0.072,0.162,0.438,5,1.3,1.2,2.3,5.3,0.460,4.417,0.5,6,12
Second Week of December,15,17,32,47,26,39,52,0.264,0.064,0.072,0.162,0.438,5,1.3,1.2,2.3,5.3,0.460,4.417,0.5,6,12
Third Week of December,16,15,30,45,23,36,49,0.264,0.064,0.072,0.162,0.438,5,1.3,1.2,2.3,5.3,0.460,4.417,0.5,6,12
Fourth Week of December,17,13,28,43,23,35,47,0.264,0.064,0.072,0.162,0.438,5,1.3,1.2,2.3,5.3,0.460,4.417,0.5,6,12
December/January Transition,18,11,27,43,19,33,47,0.2442,0.0592,0.0666,0.1701,0.4599,3.1,1.5,2.1,1.5,7.4,0.484,3.524,1.9,6.9,12.9
First Week of January,19,9,26,43,17,32,47,0.2442,0.0592,0.0666,0.1701,0.4599,3.1,1.5,2.1,1.5,7.4,0.484,3.524,1.9,6.9,12.9
Second Week of January,20,8,24,40,17,31,45,0.2442,0.0592,0.0666,0.1701,0.4599,3.1,1.5,2.1,1.5,7.4,0.484,3.524,1.9,6.9,12.9
Third Week of January,21,7,23,39,17,31,45,0.2442,0.0592,0.0666,0.1701,0.4599,3.1,1.5,2.1,1.5,7.4,0.484,3.524,1.9,6.9,12.9
January/February Transition,22,7,23,39,17,31,45,0.2508,0.0608,0.0684,0.1674,0.4526,3.3,1.2,1.8,1.5,7.2,0.455,4.000,2.2,7.2,13.2
First Week of February,23,7,23,39,17,31,45,0.2508,0.0608,0.0684,0.1674,0.4526,3.3,1.2,1.8,1.5,7.2,0.455,4.000,2.2,7.2,13.2
Second Week of February,24,9,24,39,20,33,46,0.2508,0.0608,0.0684,0.1674,0.4526,3.3,1.2,1.8,1.5,7.2,0.455,4.000,2.2,7.2,13.2
Third Week of Februrary,25,10,25,40,22,35,48,0.2508,0.0608,0.0684,0.1674,0.4526,3.3,1.2,1.8,1.5,7.2,0.455,4.000,2.2,7.2,13.2
