Reference Location:,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,59,67,75,74,82,90,0.4092,0.0992,0.1116,0.1026,0.2774,10.1,0,0,3.6,0,0.356,0.000,0.7,5.7,10.7
First Week of September,1,57,65,73,73,81,89,0.4158,0.1008,0.1134,0.0999,0.2701,8.2,0,0,3.5,0,0.427,0.000,1.3,6.3,11.3
Second Week of September,2,55,64,73,70,79,88,0.4158,0.1008,0.1134,0.0999,0.2701,8.2,0,0,3.5,0,0.427,0.000,1.3,6.3,11.3
Third Week of September,3,52,62,72,68,77,86,0.4158,0.1008,0.1134,0.0999,0.2701,8.2,0,0,3.5,0,0.427,0.000,1.3,6.3,11.3
Fourth Week of September,4,49,59,69,64,74,84,0.4158,0.1008,0.1134,0.0999,0.2701,8.2,0,0,3.5,0,0.427,0.000,1.3,6.3,11.3
September/October Transition,5,45,57,69,61,71,81,0.4158,0.1008,0.1134,0.0999,0.2701,8.2,0,0,3.5,0,0.427,0.000,1.3,6.3,11.3
First Week of October,6,43,54,65,59,69,79,0.4092,0.0992,0.1116,0.1026,0.2774,7.5,0,0,3.4,0,0.453,0.000,2.1,7.1,12.1
Second Week of October,7,41,52,63,55,66,77,0.4092,0.0992,0.1116,0.1026,0.2774,7.5,0,0,3.4,0,0.453,0.000,2.1,7.1,12.1
Third Week of October,8,39,49,59,53,64,75,0.4092,0.0992,0.1116,0.1026,0.2774,7.5,0,0,3.4,0,0.453,0.000,2.1,7.1,12.1
October/November Transition,9,37,47,57,50,61,72,0.4092,0.0992,0.1116,0.1026,0.2774,7.5,0,0,3.4,0,0.453,0.000,2.1,7.1,12.1
First Week of November,10,35,45,55,46,58,70,0.363,0.088,0.099,0.1215,0.3285,7.3,0.2,0.1,3.2,0.5,0.438,5.000,2.7,7.7,13.7
Second Week of November,11,32,43,54,44,56,68,0.363,0.088,0.099,0.1215,0.3285,7.3,0.2,0.1,3.2,0.5,0.438,5.000,2.7,7.7,13.7
Third Week of November,12,30,41,52,40,53,66,0.363,0.088,0.099,0.1215,0.3285,7.3,0.2,0.1,3.2,0.5,0.438,5.000,2.7,7.7,13.7
Fourth Week of November,13,28,40,52,39,51,63,0.363,0.088,0.099,0.1215,0.3285,7.3,0.2,0.1,3.2,0.5,0.438,5.000,2.7,7.7,13.7
First Week of December,14,26,38,50,35,48,61,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1,0.5,3.1,3.1,0.500,6.200,3,8,14
Second Week of December,15,24,36,48,33,46,59,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1,0.5,3.1,3.1,0.500,6.200,3,8,14
Third Week of December,16,22,34,46,32,44,56,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1,0.5,3.1,3.1,0.500,6.200,3,8,14
Fourth Week of December,17,20,33,46,29,42,55,0.3168,0.0768,0.0864,0.1404,0.3796,6.2,1,0.5,3.1,3.1,0.500,6.200,3,8,14
December/January Transition,18,18,32,46,28,41,54,0.3102,0.0752,0.0846,0.1431,0.3869,4.6,1.3,1.2,2.2,6,0.478,5.000,3.5,8.5,14.5
First Week of January,19,17,31,45,26,40,54,0.3102,0.0752,0.0846,0.1431,0.3869,4.6,1.3,1.2,2.2,6,0.478,5.000,3.5,8.5,14.5
Second Week of January,20,16,30,44,26,39,52,0.3102,0.0752,0.0846,0.1431,0.3869,4.6,1.3,1.2,2.2,6,0.478,5.000,3.5,8.5,14.5
Third Week of January,21,14,29,44,24,38,52,0.3102,0.0752,0.0846,0.1431,0.3869,4.6,1.3,1.2,2.2,6,0.478,5.000,3.5,8.5,14.5
January/February Transition,22,14,28,42,24,38,52,0.3168,0.0768,0.0864,0.1404,0.3796,4.4,1.3,1,2.2,6,0.500,6.000,3.9,8.9,14.9
First Week of February,23,15,28,41,26,39,52,0.3168,0.0768,0.0864,0.1404,0.3796,4.4,1.3,1,2.2,6,0.500,6.000,3.9,8.9,14.9
Second Week of February,24,17,29,41,26,40,54,0.3168,0.0768,0.0864,0.1404,0.3796,4.4,1.3,1,2.2,6,0.500,6.000,3.9,8.9,14.9
Third Week of Februrary,25,19,30,41,29,42,55,0.3168,0.0768,0.0864,0.1404,0.3796,4.4,1.3,1,2.2,6,0.500,6.000,3.9,8.9,14.9
