Reference Location:,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,55,64,73,72,80,88,0.4224,0.1024,0.1152,0.0972,0.2628,9.9,0,0,2.8,0,0.283,0.000,0.5,3.4,8.4
First Week of September,1,53,62,71,69,78,87,0.4224,0.1024,0.1152,0.0972,0.2628,8.7,0,0,2.7,0,0.310,0.000,0.5,3.8,8.8
Second Week of September,2,51,61,71,68,77,86,0.4224,0.1024,0.1152,0.0972,0.2628,8.7,0,0,2.7,0,0.310,0.000,0.5,3.8,8.8
Third Week of September,3,48,58,68,64,74,84,0.4224,0.1024,0.1152,0.0972,0.2628,8.7,0,0,2.7,0,0.310,0.000,0.5,3.8,8.8
Fourth Week of September,4,46,56,66,60,71,82,0.4224,0.1024,0.1152,0.0972,0.2628,8.7,0,0,2.7,0,0.310,0.000,0.5,3.8,8.8
September/October Transition,5,43,53,63,56,68,80,0.4224,0.1024,0.1152,0.0972,0.2628,8.7,0,0,2.7,0,0.310,0.000,0.5,3.8,8.8
First Week of October,6,40,51,62,54,66,78,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,2.3,0,0.284,0.000,0.5,4.4,9.4
Second Week of October,7,38,49,60,50,63,76,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,2.3,0,0.284,0.000,0.5,4.4,9.4
Third Week of October,8,36,47,58,48,61,74,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,2.3,0,0.284,0.000,0.5,4.4,9.4
October/November Transition,9,34,45,56,44,58,72,0.3762,0.0912,0.1026,0.1161,0.3139,8.1,0,0,2.3,0,0.284,0.000,0.5,4.4,9.4
First Week of November,10,32,43,54,41,55,69,0.3036,0.0736,0.0828,0.1458,0.3942,7.5,0.4,0.1,2.5,0.4,0.333,4.000,0.5,5,11
Second Week of November,11,29,41,53,37,52,67,0.3036,0.0736,0.0828,0.1458,0.3942,7.5,0.4,0.1,2.5,0.4,0.333,4.000,0.5,5,11
Third Week of November,12,28,40,52,33,49,65,0.3036,0.0736,0.0828,0.1458,0.3942,7.5,0.4,0.1,2.5,0.4,0.333,4.000,0.5,5,11
Fourth Week of November,13,25,38,51,30,46,62,0.3036,0.0736,0.0828,0.1458,0.3942,7.5,0.4,0.1,2.5,0.4,0.333,4.000,0.5,5,11
First Week of December,14,23,36,49,29,44,59,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2.2,2,0.349,2.857,0.5,5.6,11.6
Second Week of December,15,20,34,48,25,41,57,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2.2,2,0.349,2.857,0.5,5.6,11.6
Third Week of December,16,17,32,47,23,39,55,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2.2,2,0.349,2.857,0.5,5.6,11.6
Fourth Week of December,17,15,31,47,21,37,53,0.2376,0.0576,0.0648,0.1728,0.4672,6.3,0.8,0.7,2.2,2,0.349,2.857,0.5,5.6,11.6
December/January Transition,18,13,30,47,20,36,52,0.2112,0.0512,0.0576,0.1836,0.4964,4.5,1,1.2,1.6,3.1,0.356,2.583,0.5,6.3,12.3
First Week of January,19,11,29,47,18,35,52,0.2112,0.0512,0.0576,0.1836,0.4964,4.5,1,1.2,1.6,3.1,0.356,2.583,0.5,6.3,12.3
Second Week of January,20,10,28,46,17,34,51,0.2112,0.0512,0.0576,0.1836,0.4964,4.5,1,1.2,1.6,3.1,0.356,2.583,0.5,6.3,12.3
Third Week of January,21,9,27,45,18,34,50,0.2112,0.0512,0.0576,0.1836,0.4964,4.5,1,1.2,1.6,3.1,0.356,2.583,0.5,6.3,12.3
January/February Transition,22,8,26,44,17,34,51,0.231,0.056,0.063,0.1755,0.4745,4.6,1,1,1.6,3.5,0.348,3.500,0.5,6.5,12.5
First Week of February,23,8,26,44,18,34,50,0.231,0.056,0.063,0.1755,0.4745,4.6,1,1,1.6,3.5,0.348,3.500,0.5,6.5,12.5
Second Week of February,24,11,27,43,19,36,53,0.231,0.056,0.063,0.1755,0.4745,4.6,1,1,1.6,3.5,0.348,3.500,0.5,6.5,12.5
Third Week of Februrary,25,12,28,44,22,38,54,0.231,0.056,0.063,0.1755,0.4745,4.6,1,1,1.6,3.5,0.348,3.500,0.5,6.5,12.5
