Reference Location:,"Providence, RI",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Weather Table,,Tempurature (In Degrees Fahrenheit),,,,,,Average % Of Cloudiness Category,,,,,Days of,,,Monthly Inches,,Inches Per Event,,Wind Speed,,
Reference Week,Week,Min Low,Average Low,Max Low,Min High,Average High,Max High,Clear,Mostly Clear,Partly Cloudy,Mostly Cloudy,Overcast,Rain,Mix,Snow,Rainfall,Snowfall,Rain,Snow,Min,Average,Max
Last Week of August,0,54,63,72,69,78,87,0.4026,0.0976,0.1098,0.1053,0.2847,8.9,0,0,3.2,0,0.360,0.000,0.5,4.7,9.7
First Week of September,1,52,61,70,69,77,85,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.5,5.3,10.3
Second Week of September,2,50,60,70,66,75,84,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.5,5.3,10.3
Third Week of September,3,47,58,69,64,73,82,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.5,5.3,10.3
Fourth Week of September,4,44,55,66,60,70,80,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.5,5.3,10.3
September/October Transition,5,42,53,64,59,68,77,0.4092,0.0992,0.1116,0.1026,0.2774,7.6,0,0,3.3,0,0.434,0.000,0.5,5.3,10.3
First Week of October,6,39,51,63,55,65,75,0.396,0.096,0.108,0.108,0.292,7.9,0.1,0,3.7,0.1,0.468,0.000,1.1,6.1,11.1
Second Week of October,7,36,48,60,53,63,73,0.396,0.096,0.108,0.108,0.292,7.9,0.1,0,3.7,0.1,0.468,0.000,1.1,6.1,11.1
Third Week of October,8,34,46,58,49,60,71,0.396,0.096,0.108,0.108,0.292,7.9,0.1,0,3.7,0.1,0.468,0.000,1.1,6.1,11.1
October/November Transition,9,33,44,55,47,58,69,0.396,0.096,0.108,0.108,0.292,7.9,0.1,0,3.7,0.1,0.468,0.000,1.1,6.1,11.1
First Week of November,10,31,42,53,44,55,66,0.3498,0.0848,0.0954,0.1269,0.3431,7.1,0.7,0.1,3.7,1.3,0.521,13.000,1.8,6.8,12.8
Second Week of November,11,28,40,52,40,52,64,0.3498,0.0848,0.0954,0.1269,0.3431,7.1,0.7,0.1,3.7,1.3,0.521,13.000,1.8,6.8,12.8
Third Week of November,12,27,39,51,38,50,62,0.3498,0.0848,0.0954,0.1269,0.3431,7.1,0.7,0.1,3.7,1.3,0.521,13.000,1.8,6.8,12.8
Fourth Week of November,13,25,37,49,34,47,60,0.3498,0.0848,0.0954,0.1269,0.3431,7.1,0.7,0.1,3.7,1.3,0.521,13.000,1.8,6.8,12.8
First Week of December,14,23,35,47,33,45,57,0.3168,0.0768,0.0864,0.1404,0.3796,5.9,1.7,1.1,3.1,5.7,0.525,5.182,2.2,7.2,13.2
Second Week of December,15,20,33,46,29,42,55,0.3168,0.0768,0.0864,0.1404,0.3796,5.9,1.7,1.1,3.1,5.7,0.525,5.182,2.2,7.2,13.2
Third Week of December,16,17,31,45,27,40,53,0.3168,0.0768,0.0864,0.1404,0.3796,5.9,1.7,1.1,3.1,5.7,0.525,5.182,2.2,7.2,13.2
Fourth Week of December,17,15,29,43,25,38,51,0.3168,0.0768,0.0864,0.1404,0.3796,5.9,1.7,1.1,3.1,5.7,0.525,5.182,2.2,7.2,13.2
December/January Transition,18,13,28,43,23,37,51,0.3168,0.0768,0.0864,0.1404,0.3796,4,2,1.7,2.1,8.4,0.525,4.941,2.7,7.7,13.7
First Week of January,19,11,27,43,22,36,50,0.3168,0.0768,0.0864,0.1404,0.3796,4,2,1.7,2.1,8.4,0.525,4.941,2.7,7.7,13.7
Second Week of January,20,9,25,41,21,35,49,0.3168,0.0768,0.0864,0.1404,0.3796,4,2,1.7,2.1,8.4,0.525,4.941,2.7,7.7,13.7
Third Week of January,21,8,25,42,21,35,49,0.3168,0.0768,0.0864,0.1404,0.3796,4,2,1.7,2.1,8.4,0.525,4.941,2.7,7.7,13.7
January/February Transition,22,8,24,40,20,34,48,0.3102,0.0752,0.0846,0.1431,0.3869,3.8,1.9,1.4,2.4,7.8,0.632,5.571,2.9,7.9,13.9
First Week of February,23,9,24,39,22,35,48,0.3102,0.0752,0.0846,0.1431,0.3869,3.8,1.9,1.4,2.4,7.8,0.632,5.571,2.9,7.9,13.9
Second Week of February,24,11,26,41,25,37,49,0.3102,0.0752,0.0846,0.1431,0.3869,3.8,1.9,1.4,2.4,7.8,0.632,5.571,2.9,7.9,13.9
Third Week of Februrary,25,12,26,40,25,38,51,0.3102,0.0752,0.0846,0.1431,0.3869,3.8,1.9,1.4,2.4,7.8,0.632,5.571,2.9,7.9,13.9
